Name,Environmental fate,Ecotoxicity,Human health,SMILES
Aluminium sulphate (Ref: T534),Low,Moderate,High,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3]
Ametryn (Ref: G 34162 ),Moderate,Moderate,Moderate,CCNC1=NC(=NC(=N1)SC)NC(C)C
Amidosulfuron,High,Moderate,Moderate,CN(S(=O)(=O)C)S(=O)(=O)NC(=O)NC1=NC(=CC(=N1)OC)OC
Aminopyralid (Ref: XDE 750),High,Moderate,Moderate,C1=C(C(=C(N=C1Cl)C(=O)O)Cl)N
Amitraz (Ref: ENT 27967),Moderate,High,High,CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C
Amitrole,Moderate,Moderate,High,C1=NNC(=N1)N
Ammonium acetate,Low,Moderate,Moderate,CC(=O)[O-].[NH4+]
Ammonium carbonate,Low,Moderate,Low,C(=O)([O-])[O-].[NH4+].[NH4+]
Ammonium hydroxide,Low,High,Moderate,[NH4+].[OH-]
Ammonium sulphamate,High,Low,Low,[NH4+].NS(=O)(=O)[O-]
Ammonium sulphate,Low,Moderate,Low,[NH4+].[NH4+].[O-]S(=O)(=O)[O-]
Ammonium thiocyanate,Low,Moderate,Moderate,C(#N)[S-].[NH4+]
Ancymidol (Ref: EL 531),Moderate,Low,Moderate,COC1=CC=C(C=C1)C(C2CC2)(C3=CN=CN=C3)O
Anilazine (Ref: ENT 26 058),Moderate,High,High,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl
Anthracene oil,High,Moderate,Moderate,C1=CC=C2C=C3C=CC=CC3=CC2=C1
Asulam sodium (Ref: AE F102789),High,Moderate,Moderate,COC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)N.[Na+]
Atrazine (Ref: G 30027),Moderate,Moderate,High,CCNC1=NC(=NC(=N1)Cl)NC(C)C
Azafenidin,Moderate,Moderate,High,C#CCOC1=C(C=C(C(=C1)N2C(=O)N3CCCCC3=N2)Cl)Cl
Azamethiphos (Ref: GCA 18809),High,High,High,COP(=O)(OC)SCN1C2=NC=C(C=C2OC1=O)Cl
Azimsulfuron,High,Moderate,Moderate,CN1C(=C(C=N1)C2=NN(N=N2)C)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC
Azinphos-ethyl (Ref: BAY 16259),High,High,High,CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2N=N1
Azinphos-methyl,Moderate,High,High,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1
Aziprotryne (Ref: C 7019),Moderate,High,Low,CC(C)NC1=NC(=NC(=N1)N=[N+]=[N-])SC
Azocyclotin (Ref: BAY BUE 1452),Moderate,High,High,C1CCC(CC1)[Sn](C2CCCCC2)(C3CCCCC3)N4C=NC=N4
Azoxystrobin (Ref: ICI 5504),High,Moderate,Moderate,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC
Beflubutamid (Ref: UBH 820),High,Moderate,High,CCC(C(=O)NCC1=CC=CC=C1)OC2=CC(=C(C=C2)F)C(F)(F)F
Benalaxyl (Ref: M 9834),Moderate,Moderate,Moderate,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)CC2=CC=CC=C2
Benazolin (Ref: RD 7693),High,Moderate,Low,C1=CC2=C(C(=C1)Cl)N(C(=O)S2)CC(=O)O
Bendiocarb (Ref: NC 6897),Moderate,High,High,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C
Benfluralin (Ref: EL 110),High,High,Moderate,CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
Benfuracarb,Moderate,High,High,CCOC(=O)CCN(C(C)C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C
Benfuresate (Ref: NC 20484),Moderate,Moderate,Moderate,CCS(=O)(=O)OC1=CC2=C(C=C1)OCC2(C)C
Benodanil (Ref: BAS 3170),Moderate,Moderate,Low,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I
Benomyl (Ref: T 1991),Moderate,Moderate,High,CCCCNC(=O)N1C2=CC=CC=C2N=C1NC(=O)OC
Benoxacor (Ref: CGA 154281),High,Moderate,Low,CC1COC2=CC=CC=C2N1C(=O)C(Cl)Cl
Bensulfuron-methyl (Ref: DPX F5384),Moderate,Moderate,Moderate,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)OC)OC
Bensulide (Ref: R 4461),High,High,High,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1
Bensultap (Ref: OMS 3011),Moderate,Moderate,Moderate,CN(C)C(CSS(=O)(=O)C1=CC=CC=C1)CSS(=O)(=O)C2=CC=CC=C2
Bentazone,High,Moderate,Moderate,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O
Beta-cyfluthrin (Ref: OMS 3051),High,High,High,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C
Beta-cypermethrin (Ref: OMS 3068),Moderate,High,High,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
Bifenazate,Moderate,High,High,CC(C)OC(=O)NNC1=C(C=CC(=C1)C2=CC=CC=C2)OC
Bifenox,Moderate,High,Moderate,COC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-]
Bifenthrin (Ref: FMC 54800),High,High,High,CC1=C(C=CC=C1COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)C3=CC=CC=C3
Binapacryl (Ref: FMC 9044),High,High,High,CCC(C)C1=CC(=CC(=C1OC(=O)C=C(C)C)[N+](=O)[O-])[N+](=O)[O-]
Bioallethrin,Moderate,High,High,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C
Bioresmethrin (Ref: FMC 17370),Moderate,High,Moderate,CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C
Biphenyl,Moderate,Moderate,High,C1=CC=C(C=C1)C2=CC=CC=C2
Bispyribac-sodium (Ref: KIH-2023),Moderate,Moderate,Low,COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)[O-])OC.[Na+]
Bitertanol (Ref: KWG 0599),Moderate,High,High,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O
Boscalid (Ref: BAS 510F),High,Moderate,Moderate,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl
Brodifacoum (Ref: WBA 8119),High,High,High,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br
Bromacil (Ref: DPX N0976),High,Moderate,Moderate,CCC(C)N1C(=O)C(=C(NC1=O)C)Br
Bromadiolone (Ref: LM 637),Moderate,High,High,C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O
Bromethalin (Ref: OMS 3020),High,High,High,CN(C1=C(C=C(C=C1C(F)(F)F)[N+](=O)[O-])[N+](=O)[O-])C2=C(C=C(C=C2Br)Br)Br
Bromofenoxim (Ref: C9122),Moderate,Moderate,Moderate,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])ONC=C2C=C(C(=O)C(=C2)Br)Br
Bromophos,High,High,High,COP(=S)(OC)OC1=CC(=C(C=C1Cl)Br)Cl
Bromopropylate (Ref: GS 19851),High,Moderate,Low,CC(C)OC(=O)C(C1=CC=C(C=C1)Br)(C2=CC=C(C=C2)Br)O
Bromoxynil (Ref: ENT 20852),Moderate,Moderate,High,C1=C(C=C(C(=C1Br)O)Br)C#N
Bromuconazole (Ref: LS 860263),High,Moderate,Moderate,C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br
Bronopol,High,Moderate,Moderate,C(C(CO)([N+](=O)[O-])Br)O
Bupirimate (Ref: PP 588),Moderate,Moderate,High,CCCCC1=C(N=C(N=C1OS(=O)(=O)N(C)C)NCC)C
Buprofezin (Ref: PP 618),Moderate,Moderate,Moderate,CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2
Butachlor (Ref: CP 53619),Moderate,High,Moderate,CCCCOCN(C1=C(C=CC=C1CC)CC)C(=O)CCl
Butocarboxim (Ref: Co 755),High,High,Moderate,CC(C(=NOC(=O)NC)C)SC
Butoxycarboxim (Ref: Co 859),High,Moderate,Moderate,CC(C(=NOC(=O)NC)C)S(=O)(=O)C
Butralin (Ref: Amchem70-25),High,Moderate,Moderate,CCC(C)NC1=C(C=C(C=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
Butylate (Ref: R 1910),Moderate,Moderate,Moderate,CCSC(=O)N(CC(C)C)CC(C)C
Cadusafos (Ref: FMC 67825),Moderate,High,High,CCC(C)SP(=O)(OCC)SC(C)CC
Calcium carbonate,Low,Low,Low,C(=O)([O-])[O-].[Ca+2]
Calcium chloride,Low,Moderate,Low,[Cl-].[Cl-].[Ca+2]
Calcium hydroxide,Low,Moderate,Low,[OH-].[OH-].[Ca+2]
Calcium phosphate,Low,Low,Low,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2]
Camphechlor (Ref: Hercules 3956),Moderate,High,High,C1C2C(C(C(C1(Cl)Cl)(C2(CCl)C(Cl)Cl)CCl)Cl)Cl
Captafol (Ref: Ortho-5865),Moderate,Moderate,High,C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl
Captan (Ref: SR 406),Moderate,Moderate,High,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl
Carbaryl (Ref: UC 7744),Moderate,High,High,CNC(=O)OC1=CC=CC2=CC=CC=C21
Carbendazim (Ref: BAS 346F),Moderate,High,High,COC(=O)NC1=NC2=CC=CC=C2N1
Carbetamide (Ref: RP 11561),Moderate,Moderate,High,CCNC(=O)C(C)OC(=O)NC1=CC=CC=C1
Carbofuran (Ref: OMS 864),Moderate,High,High,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C
Carbophenothion (Ref: ENT 23708),Moderate,High,High,CCOP(=S)(OCC)SCSC1=CC=C(C=C1)Cl
Carbosulfan (Ref: OMS 3022),Moderate,High,High,CCCCN(CCCC)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C
Carboxin (Ref: D 735),Moderate,Moderate,Moderate,CC1=C(SCCO1)C(=O)NC2=CC=CC=C2
Carfentrazone-ethyl (Ref: F 8426),Moderate,Moderate,Moderate,CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl
Cetrimide,Moderate,High,Moderate,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
Chinomethionat (Ref: ENT 25606),High,High,Moderate,CC1=CC2=C(C=C1)N=C3C(=N2)SC(=O)S3
Chlomethoxyfen (Ref: X-52),Moderate,Moderate,Moderate,COC1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-]
Chloralose,High,High,Moderate,C(C(C1C(C2C(O1)OC(O2)C(Cl)(Cl)Cl)O)O)O
Chloramben (Ref: ACP M-629),High,Moderate,High,C1=C(C=C(C(=C1N)Cl)C(=O)O)Cl
Chlorbromuron (Ref: C6313),Moderate,Moderate,Low,CN(C(=O)NC1=CC(=C(C=C1)Br)Cl)OC
Chlordane (Ref: OMS 1437),High,High,High,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
Chlorethoxyfos (Ref: DPX 43898),Moderate,High,High,CCOP(=S)(OCC)OC(C(Cl)(Cl)Cl)Cl
Chlorfenapyr (Ref: MK 242),Moderate,High,High,CCOCN1C(=C(C(=C1C(F)(F)F)Br)C#N)C2=CC=C(C=C2)Cl
Chlorfenson (Ref: K 6451),Low,Moderate,Low,C1=CC(=CC=C1OS(=O)(=O)C2=CC=C(C=C2)Cl)Cl
Chlorfenvinphos (Ref: OMS 166),Moderate,High,High,CCOP(=O)(OCC)OC(=CCl)C1=C(C=C(C=C1)Cl)Cl
Chlorfluazuron (Ref: CGA 112913),High,High,Low,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)Cl)F
Chloridazon (Ref: BAS 119H),Moderate,Moderate,Moderate,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl
Chlormephos (Ref: MC 2188),Moderate,High,High,CCOP(=S)(OCC)SCCl
Chlormequat chloride (Ref: BAS 062W),Moderate,Moderate,Moderate,C[N+](C)(C)CCCl.[Cl-]
Chlorobenzilate (Ref: ENT 18596),Moderate,Moderate,Moderate,CCOC(=O)C(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O
Chloroneb,High,Moderate,Low,COC1=CC(=C(C=C1Cl)OC)Cl
Chlorophacinone (Ref: LM 91),Moderate,High,High,C1=CC=C(C=C1)C(C2=CC=C(C=C2)Cl)C(=O)C3C(=O)C4=CC=CC=C4C3=O
Chloropicrin,High,High,High,C([N+](=O)[O-])(Cl)(Cl)Cl
Chloropropylate (Ref: ENT 26999),Low,Moderate,Low,CC(C)OC(=O)C(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O
Chlorothalonil (Ref: DS 2787),Moderate,High,High,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl
Chlorotoluron (Ref: C 2242),Moderate,High,Moderate,CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl
Chloroxuron (Ref: C 1983),High,Moderate,Low,CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl
Chlorpropham (Ref: ENT 18060),Moderate,Moderate,Moderate,CC(C)OC(=O)NC1=CC(=CC=C1)Cl
Chlorpyrifos (Ref: OMS 971),Moderate,High,High,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
Chlorpyrifos-methyl (Ref: OMS 1155),Moderate,High,High,COP(=S)(OC)OC1=NC(=C(C=C1Cl)Cl)Cl
Chlorsulfuron (Ref: DPX 4189),High,Moderate,Moderate,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl
Chlorthal-dimethyl (Ref: DAC 893),High,Moderate,Moderate,COC(=O)C1=C(C(=C(C(=C1Cl)Cl)C(=O)OC)Cl)Cl
Chlorthiamid (Ref: WL 5792.),Moderate,Moderate,Moderate,C1=CC(=C(C(=C1)Cl)C(=S)N)Cl
Chlozolinate (Ref: M 8164),Moderate,Moderate,Moderate,CCOC(=O)C1(C(=O)N(C(=O)O1)C2=CC(=CC(=C2)Cl)Cl)C
Cholecalciferol,Moderate,Moderate,High,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
Choline chloride,High,Moderate,Moderate,C[N+](C)(C)CCO.[Cl-]
Cinidon-ethyl (Ref: BAS 615H),Moderate,Moderate,Moderate,CCOC(=O)C(=CC1=C(C=CC(=C1)N2C(=O)C3=C(C2=O)CCCC3)Cl)Cl
Cinosulfuron (Ref: CGA 142464),High,Moderate,Low,COCCOC1=CC=CC=C1S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OC)OC
Clethodim (Ref: RE 45601),High,Moderate,High,CCC(=C1C(=O)CC(CC1=O)CC(C)SCC)NOCC=CCl
Clodinafop propargyl (Ref: CGA 184927),Moderate,Moderate,Moderate,CC(C(=O)OCC#C)OC1=CC=C(C=C1)OC2=NC=C(C=C2F)Cl
Clofencet (Ref: MON 21250 ),High,Moderate,Moderate,CCC1=C(C(=O)C=NN1C2=CC=C(C=C2)Cl)C(=O)O
Clofentezine (Ref: NC 21314),High,High,Moderate,C1=CC=C(C(=C1)C2=NN=C(N=N2)C3=CC=CC=C3Cl)Cl
Clomazone (Ref: FMC 57020),Moderate,Moderate,High,CC1(CON(C1=O)CC2=CC=CC=C2Cl)C
Clopyralid,High,Moderate,Moderate,C1=CC(=NC(=C1Cl)C(=O)O)Cl
Cloquintocet-mexyl (Ref: CGA 185072),Moderate,Moderate,Low,CCCCCC(C)OC(=O)COC1=C2C(=C(C=C1)Cl)C=CC=N2
Clothianidin (Ref: CGA 322704),High,High,High,CN=C(NCC1=CN=C(S1)Cl)N[N+](=O)[O-]
Copper II acetate,Low,High,Moderate,CC(=O)[O-].CC(=O)[O-].[Cu+2]
Copper II carbonate,Low,High,Moderate,C(=O)([O-])[O-].[Cu+2]
Copper II chloride,Low,Moderate,Moderate,Cl[Cu]Cl
Copper (II) hydroxide,Low,High,Moderate,[Cu+2].[OH-].[OH-]
Copper (I) oxide,Low,Moderate,Moderate,[Cu].[Cu].O
Copper oxychloride,Moderate,High,Moderate,O(Cl)Cl.[Cu+2]
Copper sulphate,Low,High,Moderate,[O-]S(=O)(=O)[O-].[Cu+2]
Coumachlor,Low,High,High,CC(=O)CC(C1=CC=C(C=C1)Cl)C2=C(C3=CC=CC=C3OC2=O)O
Coumatetralyl,Moderate,Moderate,High,C1CC(C2=CC=CC=C2C1)C3=C(C4=CC=CC=C4OC3=O)O
Crimidine,High,High,High,CC1=CC(=NC(=N1)Cl)N(C)C
"Cyanamide (Ref: LH 21,810A)",High,Moderate,Moderate,C(#N)N
Cyanazine,Moderate,Moderate,High,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N
Cyazofamid (Ref: IKF 916),Moderate,Moderate,Moderate,CC1=CC=C(C=C1)C2=C(N=C(N2S(=O)(=O)N(C)C)C#N)Cl
Cyclanilide (Ref: RPA 090946),Moderate,Moderate,High,C1CC1(C(=O)NC2=C(C=C(C=C2)Cl)Cl)C(=O)O
Cycloate (Ref: R 2063),Moderate,Moderate,High,CCN(C1CCCCC1)C(=O)SCC
Cycloxydim (Ref: BAS 517H),High,Moderate,Moderate,CCCC(=C1C(=O)CC(CC1=O)C2CCCSC2)NOCC
Cyflufenamid (Ref: NF 149),Moderate,Moderate,Moderate,C1CC1CONC(=NC(=O)CC2=CC=CC=C2)C3=C(C=CC(=C3F)F)C(F)(F)F
Cyfluthrin (Ref: OMS 2012),Moderate,High,High,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C
Cyhalofop-butyl (Ref: DE 537),Low,Moderate,Low,CCCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)C#N)F
Cyhalothrin (Ref: OMS 2011),High,High,High,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C
Cyhexatin (Ref: OMS 3029),High,High,Moderate,C1CCC(CC1)[Sn](C2CCCCC2)C3CCCCC3.O
Cymoxanil (Ref: DPX T3217),High,Moderate,Moderate,CCNC(=O)NC(=O)C(=NOC)C#N
Cypermethrin (Ref: OMS 2002),Moderate,High,High,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
Cyproconazole (Ref: SAN 619),High,High,High,CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O
Cyprodinil (Ref: CGA 219417),High,High,Moderate,CC1=NC(=NC(=C1)C2CC2)NC3=CC=CC=C3
Cyromazine (Ref: OMS 2014),Moderate,Moderate,High,C1CC1NC2=NC(=NC(=N2)N)N
Dalapon-sodium,High,Moderate,Low,CC(C(=O)[O-])(Cl)Cl.[Na+]
Daminozide,High,Moderate,Moderate,CN(C)NC(=O)CCC(=O)O
Dazomet (Ref: N 521),High,High,Moderate,CN1CN(C(=S)SC1)C
DDT (Ref: OMS 16),High,High,High,"C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl (for p,p'-DDT)"
Deltamethrin (Ref: OMS 1998),Moderate,High,High,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C
Demeton-S-methyl,Moderate,High,High,CCSCCSP(=O)(OC)OC
Desmedipham (Ref: EP 475),Moderate,Moderate,High,CCOC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2
Desmetryn (Ref: G 34360),Moderate,Moderate,Moderate,CC(C)NC1=NC(=NC(=N1)NC)SC
Di-1-p-menthene,Low,Moderate,Low,C(CC(C)(C)C1CCC(C)=CC1)C1CCC(C)=CC1
Diafenthiuron (Ref: CGA 106630),Low,High,Low,CC(C)C1=CC(=CC(=C1NC(=S)NC(C)(C)C)C(C)C)OC2=CC=CC=C2
Di-allate (Ref: CP 15),Moderate,Moderate,Moderate,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl
Diazinon (Ref: OMS 469),Moderate,High,High,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C
Dicamba (Ref: SAN 837H),High,Moderate,Moderate,COC1=C(C=CC(=C1C(=O)O)Cl)Cl
Dichlobenil (Ref: H 133),Moderate,Moderate,High,C1=CC(=C(C(=C1)Cl)C#N)Cl
Dichlofenthion (Ref: ENT 17470),High,High,High,CCOP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl
Dichlofluanid (Ref: BAY 47531),Moderate,High,Low,CN(C)S(=O)(=O)N(C1=CC=CC=C1)SC(F)(Cl)Cl
Dichlorophen,Moderate,Moderate,Moderate,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O
Dichlorprop (Ref: RD 406),High,Moderate,Moderate,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl
Dichlorprop-P (Ref: BAS 044H),High,Moderate,High,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl
Dichlorvos (Ref: OMS 14),High,High,High,COP(=O)(OC)OC=C(Cl)Cl
Diclofop-methyl (Ref: HOE 023408),Moderate,Moderate,High,CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl
Dicloran (Ref: RD 6584),Moderate,Moderate,High,C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-]
Dicofol (Ref: ENT 23648),High,High,High,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl
Dicrotophos (Ref: OMS 253),High,High,High,CC(=CC(=O)N(C)C)OP(=O)(OC)OC
Dicyclopentadiene,High,Moderate,Moderate,C1C=CC2C1C3CC2C=C3
Dieldrin (Ref: ENT 16225 ),High,High,High,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl
Dienochlor (Ref: SAN 804),High,High,Low,C1(=C(C(C(=C1Cl)Cl)(C2(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
Diethofencarb (Ref: S 1605),Moderate,Moderate,High,CCOC1=C(C=C(C=C1)NC(=O)OC(C)C)OCC
Difenacoum,High,High,High,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=CC=C6
Difenoconazole (Ref: CGA 169374),High,High,Moderate,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl
Difenoxuron (Ref: C3470),Moderate,Moderate,Moderate,CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)OC
Difenzoquat (Ref: BAS 450H),Low,Moderate,Moderate,CN1C(=CC(=[N+]1C)C2=CC=CC=C2)C3=CC=CC=C3
Difethialone (Ref: OMS 3053),High,High,High,C1C(CC2=CC=CC=C2C1C3=C(SC4=CC=CC=C4C3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br
Diflubenzuron (Ref: OMS 1804),Moderate,High,High,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F
Diflufenican (Ref: AE 088657),High,Moderate,Moderate,C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F
Dimefox,High,Moderate,High,CN(C)P(=O)(N(C)C)F
Dimefuron (Ref: RP 23465),High,Moderate,Low,CC(C)(C)C1=NN(C(=O)O1)C2=C(C=C(C=C2)NC(=O)N(C)C)Cl
Dimepiperate (Ref: MY 93),Moderate,Moderate,Moderate,CC(C)(C1=CC=CC=C1)SC(=O)N2CCCCC2
Dimethachlor (Ref: CGA 17020),High,Moderate,High,CC1=C(C(=CC=C1)C)N(CCOC)C(=O)CCl
