Unnamed: 0,Environmental fate,BCUT2D_LOGPHI,qed,Chi2v,Chi3v,BalabanJ,Chi1v,BCUT2D_LOGPLOW,MolLogP,Chi4v,Chi0v,FpDensityMorgan2,Kappa3,Kappa2,SPS,BCUT2D_CHGHI
Alpha-cypermethrin (Ref: OMS 3004),High,2.599929679,0.528046798,8.222629525,5.213148759,1.721481495,9.54046734,-2.142236553,6.17798,3.570249235,16.9452988,1.821428571,4.493889414,8.261449021,20.39285714,2.615221577
Ametryn (Ref: G 34162 ),Not High,2.132645064,0.748462705,4.072086977,2.097855792,2.891747032,6.182793938,-2.145388922,1.8456,1.363218731,10.35084271,1.866666667,3.907554427,5.747178635,10.46666667,2.051130686
Amidosulfuron,High,2.166988461,0.624923487,7.927109978,5.805461874,2.929290103,9.030422494,-2.450669778,-1.2485,3.10733543,14.22621883,1.608695652,5.185662737,6.926833178,11.86956522,2.27979622
Aminopyralid (Ref: XDE 750),High,2.240535619,0.686254415,2.767161396,1.747993716,3.373859011,3.624863361,-2.033510912,1.6688,1.037973702,7.225162858,2.166666667,1.595567867,3.1640625,9.833333333,2.134579614
Amitraz (Ref: ENT 27967),Not High,2.19622929,0.583439445,5.734489874,3.46250464,2.068364402,7.403290493,-2.122781226,4.87188,2.236827153,13.96044294,1.136363636,4.285747096,7.030059524,11.5,1.970696333
Amitrole,Not High,1.762650532,0.440165582,0.870712754,0.43365482,3.049648321,1.50228651,-1.838819587,-0.6131,0.2149387,3.049127729,2.666666667,0.313601333,0.96520151,8.666666667,1.751526632
Ammonium acetate,Not High,1.306450627,0.407760806,0.491581624,0.0,0.0,0.90824829,-2.159359711,-0.8676,0.0,3.316496581,1.8,21.58820252,3.43,5.0,1.459608658
Ammonium carbonate,Not High,1.205695759,0.371595458,0.25,0.0,-4.5e-08,0.612372436,-2.368778607,-1.6946,0.0,3.724744871,1.166666667,23.31894376,8.890110506,4.0,1.263304413
Ammonium hydroxide,Not High,-0.289294773,0.408652137,0.0,0.0,0.0,0.0,-0.480605227,0.1994,0.0,1.447213595,1.0,-14.58,0.92,0.0,-0.368857031
Ammonium sulphamate,High,1.492798984,0.383782027,1.478397839,0.0,0.0,2.207106781,-2.082548926,-1.2185,0.0,4.026840012,1.5,1061.387093,2.084527213,9.666666667,1.644211366
Ammonium sulphate,Not High,1.573123747,0.333661641,1.224744871,0.0,-8e-08,2.0,-1.906534883,-0.5856,0.0,4.857738033,1.0,1885.898844,3.962711572,8.285714286,1.492952108
Ammonium thiocyanate,Not High,1.156998797,0.334887949,0.273861279,0.0,0.0,0.835979233,-1.152460759,0.39058,0.0,3.171958467,1.75,6.883957759,16.58802183,1.75,0.866535904
Ancymidol (Ref: EL 531),Not High,2.489563589,0.910126393,4.896309754,3.698973815,2.045722087,6.372663982,-2.297553585,2.1311,2.480204019,10.78290479,1.736842105,2.080902368,4.626154697,17.78947368,2.463221515
Anilazine (Ref: ENT 26 058),Not High,2.232772662,0.909988703,3.885248505,2.368813784,2.304646044,5.369831184,-1.991457451,3.5754,1.61129406,10.05272212,1.5,2.723228634,4.822874836,10.1875,2.047091347
Anthracene oil,High,2.214535144,0.456410247,3.546509365,2.614031049,2.523732645,4.809401077,-1.740376276,3.993,1.882638632,7.773502692,0.714285714,1.080316882,2.845083623,10.85714286,1.946569776
Atrazine (Ref: G 30027),Not High,2.092596373,0.801863319,3.419084537,1.529818232,2.831956368,4.912623341,-2.141272725,1.7771,1.070114806,9.259991256,1.857142857,3.334193689,4.950243339,10.35714286,2.039543556
Azafenidin,Not High,2.32299273,0.808816725,5.760591205,4.109838293,2.102045638,7.615561053,-2.258622768,2.6891,2.985045602,13.19350892,2.136363636,2.602062428,6.072680778,13.5,2.197585933
Azamethiphos (Ref: GCA 18809),High,2.593240845,0.781699886,8.035635145,6.245561892,2.333386224,8.509448928,-2.125829106,2.7345,3.744659546,12.49775504,2.210526316,3.036562671,5.682516792,12.15789474,2.233931138
Azimsulfuron,High,2.230650366,0.491297832,7.023090078,4.885299102,1.853277029,9.287512957,-2.357182215,-1.0718,3.476954545,16.49839563,1.793103448,4.20613022,7.661441242,11.17241379,2.284221965
Azinphos-ethyl (Ref: BAY 16259),High,2.607229661,0.714905187,10.23176941,7.875681921,2.217786046,10.68428547,-2.228190104,2.7797,5.825917886,14.28823761,1.952380952,4.109318142,7.465933933,11.9047619,2.195041154
Azinphos-methyl,Not High,2.595294655,0.781360333,9.975267585,8.017986058,2.296294908,9.509218221,-2.227482191,1.9995,4.001989828,12.87402405,2.052631579,3.211494986,6.107870443,11.89473684,2.170330954
Aziprotryne (Ref: C 7019),Not High,2.152078539,0.366692275,3.707592812,1.885325893,3.04616524,5.495740564,-2.126600858,2.3556,1.1953117,9.485376714,2.133333333,3.606018196,5.37535906,9.866666667,2.045831482
Azoxystrobin (Ref: ICI 5504),High,2.315643912,0.330012691,5.761538375,3.871708302,1.896982693,8.734887828,-2.056279852,4.09318,2.535304824,16.2337352,1.6,4.716510578,9.705328791,10.63333333,2.182857975
Beflubutamid (Ref: UBH 820),High,2.334389705,0.784074659,5.357555745,3.49435986,2.046968319,7.659733959,-2.372074197,4.3183,2.180319542,13.43872046,1.84,5.20372357,8.003614293,12.52,2.343833247
Benalaxyl (Ref: M 9834),Not High,2.273837755,0.791223969,5.86566492,4.076857798,2.430341149,7.953865935,-2.451654876,3.44064,2.851605383,14.57521767,1.583333333,3.823523944,7.773307474,11.66666667,2.295592675
Benazolin (Ref: RD 7693),High,2.243876891,0.875078067,4.334823335,3.180058799,2.76485568,5.284558357,-2.18124453,1.801,2.609345868,9.008719651,2.266666667,1.754890681,3.674519059,10.73333333,2.119209638
Bendiocarb (Ref: NC 6897),Not High,2.450705847,0.789694651,3.826882719,2.053162371,2.298082754,4.922885952,-2.295992813,1.9121,1.439362458,9.365043969,2.125,1.884455623,3.588759725,15.6875,2.339286337
Benfluralin (Ref: EL 110),High,2.426152876,0.551412744,4.808305713,3.269934191,3.638721513,6.919433479,-2.257707904,4.1482,2.147199355,12.59165503,1.565217391,4.299219696,7.24842552,11.34782609,2.383854449
Benfuracarb,Not High,2.415948067,0.472809651,8.699513656,5.362295469,1.969792124,10.22472074,-2.340038315,4.0575,3.624716983,18.29824172,2.035714286,6.035800196,9.5152388,14.57142857,2.328813152
Benfuresate (Ref: NC 20484),Not High,2.398544403,0.776968922,6.619582355,3.99890618,2.349619121,7.111642872,-2.181804785,2.0851,2.271877177,11.0040024,2.117647059,2.386315489,3.90797371,17.35294118,2.318463645
Benodanil (Ref: BAS 3170),Not High,2.136857443,0.841714587,4.462186509,3.090818875,2.186811346,5.959889399,-2.125323469,3.5435,1.997607145,10.63986348,1.5625,2.605055576,5.115512289,9.8125,2.079314805
Benomyl (Ref: T 1991),Not High,2.188418571,0.847401445,4.461599002,2.969698388,2.350217005,6.776665156,-2.305674414,2.5724,1.908887762,12.04989348,2.095238095,3.305878854,6.735629459,10.38095238,2.176457535
Benoxacor (Ref: CGA 154281),High,2.339750429,0.726197042,4.73295141,2.843069311,2.404984323,5.813267215,-2.467343759,2.6042,1.951932977,10.20270541,2.1875,1.97245735,4.515959969,19.25,2.314150241
Bensulfuron-methyl (Ref: DPX F5384),Not High,2.172784427,0.636430335,6.962570162,4.526590423,2.127819015,9.376444557,-2.355267562,0.9319,3.200164171,16.07076822,1.642857143,5.541760816,8.99157112,10.67857143,2.205885309
Bensulide (Ref: R 4461),High,2.618313816,0.478892208,13.40136222,9.394301903,2.553910806,13.01759333,-2.25617246,3.7726,8.46806617,17.10453401,1.652173913,8.115110169,9.51166895,12.95652174,2.233037792
Bensultap (Ref: OMS 3011),Not High,2.280483234,0.564821175,13.66540736,10.8195657,2.014935594,13.74728555,-2.330018598,3.1608,8.400231964,17.74425277,1.076923077,6.02055165,9.273922571,13.65384615,2.22970432
Bentazone,High,2.266357871,0.801888909,5.395058122,3.907766922,2.606555901,6.328075633,-2.477535506,1.2075,3.112647824,9.783454684,1.875,1.547072756,3.482071033,18.1875,2.363222865
Beta-cyfluthrin (Ref: OMS 3051),High,2.600056213,0.499726358,8.339998909,5.302423118,1.769045078,9.646116243,-2.143782342,6.31708,3.581262163,17.24591301,1.931034483,4.720388162,8.442870432,20.13793103,2.615318979
Beta-cypermethrin (Ref: OMS 3068),Not High,2.599929679,0.528046798,8.222629525,5.213148759,1.721481495,9.54046734,-2.142236553,6.17798,3.570249235,16.9452988,1.821428571,4.493889414,8.261449021,20.39285714,2.615221577
Bifenazate,Not High,2.295499556,0.824046587,4.985151554,2.948571638,2.164634493,7.059740999,-2.314567243,3.8237,1.977737816,12.92089729,1.772727273,4.15007289,7.355955271,10.18181818,2.084184249
Bifenox,Not High,2.33134411,0.464943161,4.94808862,3.222225496,2.399020158,6.673461203,-2.054652962,4.4805,2.143317958,12.7203435,1.909090909,3.468871653,6.635055684,10.13636364,2.216596518
Bifenthrin (Ref: FMC 54800),High,2.601572274,0.503249024,8.307818119,6.002285499,1.704911756,9.660437978,-2.112909985,6.66242,3.835726834,17.14224316,1.793103448,4.502043589,7.864845989,21.0,2.618033506
Binapacryl (Ref: FMC 9044),High,2.399035512,0.258006741,5.349547982,3.242800327,3.554156211,7.003314058,-2.102536202,3.8881,1.92399954,13.36042479,1.869565217,4.599647527,7.479886206,11.47826087,2.283784904
Bioallethrin,Not High,2.596364136,0.569226799,7.276032983,4.950733167,2.067252684,7.889968688,-2.202633676,4.002,3.419688155,14.23281656,2.045454545,2.943022426,5.864062937,29.31818182,2.613418644
Bioresmethrin (Ref: FMC 17370),Not High,2.59406212,0.539835014,7.760192075,4.987841259,1.542209936,8.795486214,-2.099638064,5.152,3.433908458,15.41246113,1.92,4.036552724,6.909573679,20.8,2.608819818
Biphenyl,Not High,2.16566886,0.590501888,2.732050808,1.88091147,2.45714948,4.071367205,-1.731257902,3.3536,1.261205885,6.773502692,0.75,1.37393594,3.224946402,9.666666667,1.912300675
Bitertanol (Ref: KWG 0599),Not High,2.306805054,0.766176915,7.085172526,4.073011862,1.825659727,8.29307902,-2.384656652,3.9297,2.535621109,14.70265617,1.6,4.059905987,7.069085296,14.08,2.335551914
Boscalid (Ref: BAS 510F),High,2.290319094,0.655191527,5.642822297,3.887372717,1.936438113,7.673882527,-2.131123532,5.3077,2.549498253,13.47410169,1.652173913,3.524659785,6.816482904,10.34782609,2.129127269
Brodifacoum (Ref: WBA 8119),High,2.454316959,0.24575406,10.08068733,7.673682646,1.407183202,12.55971835,-2.225574562,7.79,5.657179041,20.5341896,1.457142857,3.979823114,8.862046387,17.28571429,2.329597036
Bromacil (Ref: DPX N0976),High,2.082881287,0.878196139,4.09455758,3.214569043,3.529081536,5.288346623,-2.376667767,1.57852,1.506942963,10.01212824,2.071428571,1.819827975,4.125446455,12.85714286,2.120449593
Bromadiolone (Ref: LM 637),Not High,2.389273185,0.229590089,9.407307419,6.830912574,1.504070716,12.1394489,-2.165997131,7.1837,4.724854381,20.35164668,1.342857143,4.784329821,9.902708787,12.97142857,2.271259514
Bromethalin (Ref: OMS 3020),High,2.48397515,0.302546013,7.774449746,5.106777894,2.895058327,9.144226834,-2.192407926,6.5772,5.174940354,17.80981148,1.444444444,4.405601488,7.716024628,11.37037037,2.411563889
Bromofenoxim (Ref: C9122),Not High,2.304511897,0.526657134,6.052846318,3.943200102,2.180088894,7.723928466,-2.132116688,3.4106,2.893997008,14.73594057,1.708333333,4.055396608,7.360124631,13.75,2.20885078
Bromophos,High,2.501940297,0.572893002,7.418063916,5.557380935,3.063766854,8.077530535,-1.97017767,4.652,2.659654426,13.17757892,1.75,3.570365326,6.005197583,11.5625,2.203458821
Bromopropylate (Ref: GS 19851),High,2.327264272,0.735227222,7.009610703,4.219475112,2.547618684,8.378953309,-2.393071803,4.3991,2.612570252,15.38778462,1.318181818,3.590825053,6.939849895,11.54545455,2.416474211
Bromoxynil (Ref: ENT 20852),Not High,2.323339891,0.791922188,3.608976192,2.354970254,3.348369661,4.315875146,-1.764368314,2.78888,1.816520081,8.477049754,1.727272727,1.731431732,3.244738766,9.181818182,2.037955961
Bromuconazole (Ref: LS 860263),High,2.43066767,0.767071805,6.962526532,4.533549225,2.011553139,7.821246677,-2.314632823,3.6642,3.779506973,13.56705889,2.3,2.723306949,5.638183065,26.05,2.427235706
Bronopol,High,2.154469699,0.273843954,2.9674505,1.60285463,4.090340516,2.910297989,-2.385629606,-0.6611,0.165470054,6.036311942,1.888888889,1.884458489,3.09218107,11.44444444,2.37517849
Bupirimate (Ref: PP 588),Not High,2.241531561,0.786241915,6.626064763,4.185539934,3.229204537,8.412021428,-2.277839188,1.74462,2.177957097,14.11955765,1.904761905,4.817297203,7.55627348,11.71428571,2.212646468
Buprofezin (Ref: PP 618),Not High,2.285098208,0.821370517,7.260562233,3.91461838,2.323385479,8.163973568,-2.529841793,4.1822,3.337147987,14.14584234,1.80952381,3.785096005,6.096692565,18.76190476,2.34146294
Butachlor (Ref: CP 53619),Not High,2.27096325,0.389228092,5.245536515,3.741481952,3.04059293,8.272696953,-2.354399896,4.1574,2.441705807,14.07940187,1.80952381,5.00909879,9.800132642,10.66666667,2.198135598
Butocarboxim (Ref: Co 755),High,2.06480664,0.416304575,3.417855129,2.466772783,3.912237963,4.86230633,-2.183374062,1.4698,0.788016704,8.565805317,2.25,4.226890617,5.879535771,13.83333333,2.041594024
Butoxycarboxim (Ref: Co 859),High,2.007485459,0.418265494,5.199329544,3.332798187,4.473265368,5.86230633,-2.252106165,0.1514,1.205791283,9.382301898,2.0,4.218641965,4.942860059,14.71428571,2.182508806
Butralin (Ref: Amchem70-25),High,2.391657519,0.653232887,6.107350756,3.359250922,3.588145947,6.813591353,-2.177105212,4.0109,1.829148973,12.96657794,1.571428571,3.899181502,6.06976294,12.80952381,2.299820955
Butylate (Ref: R 1910),Not High,2.122225858,0.702512438,5.606863113,2.490906163,4.151457931,6.371588753,-2.340670313,3.4735,1.898511289,10.85622764,1.571428571,6.30050834,7.156653982,11.07142857,2.149722067
Cadusafos (Ref: FMC 67825),Not High,2.721730871,0.566594588,11.53989634,10.42258283,4.371665188,10.17718662,-1.975227622,5.1944,10.27857705,12.88364799,1.466666667,6.933246109,8.050730215,16.33333333,2.284217922
Camphechlor (Ref: Hercules 3956),Not High,2.774547163,0.523425981,9.029782845,8.532018648,2.676764037,8.857676086,-2.551507811,5.6627,8.382820305,15.00186877,1.611111111,1.67266466,5.197765365,50.16666667,2.812165625
Captafol (Ref: Ortho-5865),Not High,2.48121272,0.338692748,8.202413271,6.166451026,2.160445589,7.624442872,-2.311399496,3.5209,3.448314882,12.82499363,1.611111111,2.634025463,5.408269402,28.16666667,2.508272995
Captan (Ref: SR 406),Not High,2.462704698,0.323312311,7.77732441,4.032467941,2.179857529,6.593407105,-2.264742352,2.9135,3.242161918,11.11374994,1.5625,2.348289516,4.406909764,29.8125,2.493993625
Carbaryl (Ref: UC 7744),Not High,2.244264845,0.769567031,3.116804193,2.156410831,2.464953756,4.683739641,-2.21581867,2.558,1.435589269,8.357948465,1.866666667,1.908303217,4.002881594,9.933333333,2.042720589
Carbendazim (Ref: BAS 346F),Not High,2.124469109,0.720984649,2.719140879,1.795234821,2.310490604,4.091060446,-2.112840512,1.7412,1.1597056,7.573111253,2.285714286,1.516811422,3.370672566,10.07142857,2.043921861
Carbetamide (Ref: RP 11561),Not High,2.056049809,0.836620648,3.433143394,2.024237828,2.419926733,5.435443874,-2.360896242,1.7597,1.200835869,9.895953268,1.941176471,4.545327924,6.522570101,11.41176471,2.160225525
Carbofuran (Ref: OMS 864),Not High,2.411353517,0.789737865,4.422447704,2.461758846,2.298082754,5.221744443,-2.251604943,2.1183,1.818627366,9.66390246,2.25,1.957374255,3.700750186,16.1875,2.321295758
Carbophenothion (Ref: ENT 23708),Not High,2.614912572,0.355407068,11.28862482,9.151033919,2.431478516,11.10608145,-1.916984353,5.4203,8.21018329,14.39698682,1.722222222,6.286951763,8.853030676,11.72222222,2.17960815
Carbosulfan (Ref: OMS 3022),Not High,2.415665979,0.544125841,8.593561197,5.259546688,1.976780131,10.28467905,-2.304656522,5.2961,3.766837876,17.52571521,1.884615385,5.810275739,9.51105921,14.84615385,2.327460488
Carboxin (Ref: D 735),Not High,2.259294662,0.855983133,4.507555053,3.338266415,2.086650444,6.086004867,-2.178064411,2.62,2.255545265,9.842206361,2.125,2.578081721,5.074231901,15.5625,2.179559644
Carfentrazone-ethyl (Ref: F 8426),Not High,2.252393895,0.539998727,6.142014906,4.14565812,2.47619465,8.236582981,-2.254287889,3.24302,2.723148738,15.19168055,2.038461538,4.040816327,8.131482834,12.46153846,2.231563904
Cetrimide,Not High,2.117324846,0.357881232,6.903018179,3.682487667,0.0,8.364975334,-2.996004035,2.3977,2.427135306,15.60356276,0.842105263,20.90595211,14.8409382,11.36842105,2.043441514
Chinomethionat (Ref: ENT 25606),High,2.207393908,0.60011514,5.461849683,4.036392459,2.514523654,6.036074951,-1.831805694,2.57462,3.203561508,9.484216032,1.733333333,1.438167026,3.079795011,11.26666667,2.050359224
Chlomethoxyfen (Ref: X-52),Not High,2.35456769,0.605828161,4.611206777,3.0000855,2.31965731,6.219337058,-1.94145583,4.7025,2.004287137,11.81209521,1.85,3.122725132,5.982929562,10.15,2.155188867
Chloralose,High,2.420759325,0.598205189,6.188863653,3.139236043,2.012130747,5.977935995,-2.419153274,-0.4629,2.096613597,10.63927431,1.823529412,2.652815608,4.956413249,43.76470588,2.566475863
Chloramben (Ref: ACP M-629),High,2.269566588,0.692333259,2.976111682,1.935974491,3.373859011,3.755000035,-1.99557533,2.2738,1.182554089,7.355299532,2.0,1.624250355,3.207836991,9.833333333,2.113691995
Chlorbromuron (Ref: C6313),Not High,2.250038663,0.85125721,4.000619816,2.963220341,2.729689123,5.252728102,-2.296773875,3.1276,1.286163831,10.59361542,2.266666667,3.370769532,5.344008008,9.866666667,2.077539888
Chlordane (Ref: OMS 1437),High,2.790301039,0.451292438,9.294475915,9.791961427,2.264384235,8.354834449,-2.466936402,5.6828,7.460477664,14.58765521,1.388888889,1.28086079,4.074683778,57.33333333,2.841486774
Chlorethoxyfos (Ref: DPX 43898),Not High,2.537496824,0.535832054,7.97444742,5.032268286,4.476907591,8.157770371,-2.221802744,4.2356,3.468042956,12.81826804,1.6,6.869242663,7.196932528,15.33333333,2.368592098
Chlorfenapyr (Ref: MK 242),Not High,2.427825176,0.675230423,5.782015264,4.150561453,2.773865747,7.70874634,-2.161222115,5.45548,3.027980276,14.25803797,1.913043478,3.547017321,6.952345453,11.52173913,2.403327252
Chlorfenson (Ref: K 6451),Not High,2.212436225,0.81084953,5.864488819,3.887218376,2.267141922,7.09312441,-2.088878391,3.7611,2.448296463,11.33607873,1.222222222,3.160026368,5.180406586,11.22222222,2.156701332
Chlorfenvinphos (Ref: OMS 166),Not High,2.529147186,0.460592567,6.126830739,4.395425889,3.047340265,8.451834303,-2.000630002,5.7283,3.274012914,14.09992884,1.85,4.956874049,8.278238907,12.55,2.289690795
Chlorfluazuron (Ref: CGA 112913),High,2.40753134,0.346273748,7.606313293,4.838803889,1.743191058,9.958796458,-2.349514137,7.093,3.293558414,18.50491297,1.529411765,5.849473914,9.997827635,11.17647059,2.316855071
Chloridazon (Ref: BAS 119H),Not High,2.114680377,0.79338231,3.344363132,2.326521365,2.660282009,4.664517212,-2.217405085,1.4681,1.327465744,8.478020785,1.933333333,1.712117863,3.744477633,10.2,2.06674346
Chlormephos (Ref: MC 2188),Not High,2.604964499,0.518771569,8.415171999,6.677364375,3.90847195,8.041153421,-1.909460912,3.2134,5.685482525,9.862840873,1.818181818,5.449030487,6.69655533,11.90909091,2.166943852
Chlormequat chloride (Ref: BAS 062W),Not High,1.884050412,0.319881492,3.080877592,0.92436667,0.0,2.959652278,-2.996001882,-2.0646,0.760638829,7.129213996,1.625,9.738354325,4.421922239,10.5,2.01757652
Chlorobenzilate (Ref: ENT 18596),Not High,2.322383497,0.870120696,5.317537988,3.598788285,2.554539375,7.154264833,-2.381504824,3.7924,2.272064994,12.85740595,1.380952381,3.207998525,6.477637416,11.23809524,2.410741092
Chloroneb,High,2.345157324,0.741456107,2.93570048,2.016979163,3.164874105,4.013338829,-1.876250551,3.0106,1.284801322,8.238983957,1.25,1.762312679,3.874784955,9.666666667,2.064037045
Chlorophacinone (Ref: LM 91),Not High,2.348180861,0.619806917,6.94115026,5.139616427,1.794523805,8.97077103,-2.305937651,4.7364,3.715685169,15.01889233,1.185185185,3.002601428,6.934028082,14.85185185,2.453194498
Chloropicrin,High,2.24887402,0.236106424,2.946320043,0.621059003,3.791118417,2.289595298,-2.149575452,1.5908,0.0,5.165390434,1.571428571,2.907958533,2.026419253,11.28571429,2.333593826
Chloropropylate (Ref: ENT 26999),Not High,2.32633086,0.850265185,6.051131206,3.666096717,2.547618684,7.548885716,-2.393006107,4.1809,2.335881054,13.72764944,1.318181818,3.433603802,6.693774027,11.54545455,2.416686038
Chlorothalonil (Ref: DS 2787),Not High,2.397734479,0.524970362,3.741393636,3.192304069,3.781719624,4.715000434,-1.887548797,4.04356,1.899925919,9.430000867,1.0,1.628792107,4.255635544,9.285714286,2.191738402
Chlorotoluron (Ref: C 2242),Not High,2.193881654,0.762996081,3.695742917,2.23648499,2.781208374,4.627138715,-2.267519729,2.74192,1.086434433,9.221406113,2.071428571,2.635383945,4.330313101,9.714285714,2.039431904
Chloroxuron (Ref: C 1983),High,2.238625683,0.919060886,4.841375154,2.813083906,2.00922775,6.440087544,-2.266989949,4.2258,1.606298282,12.01640575,1.5,3.897157786,6.300630972,9.95,2.036744064
Chlorpropham (Ref: ENT 18060),Not High,2.145180958,0.818819204,3.525846528,1.648854605,2.559925674,4.686965004,-2.173295333,3.2969,1.117913308,8.837141346,2.214285714,3.661951242,4.861820261,10.0,2.043810417
Chlorpyrifos (Ref: OMS 971),Not High,2.505339914,0.548341319,7.029481866,4.972432894,3.006125183,8.707427315,-2.032198785,4.7181,3.59452941,13.63158821,1.722222222,4.494247868,7.246563253,11.61111111,2.237519143
Chlorpyrifos-methyl (Ref: OMS 1155),Not High,2.4915769,0.620156074,6.772980042,4.852765373,3.063766854,7.532360064,-1.989477093,3.9379,2.190686894,12.21737465,1.75,3.439045197,5.825051429,11.5625,2.215770335
Chlorsulfuron (Ref: DPX 4189),High,2.196729628,0.845948959,6.240998093,4.3186273,2.163978048,8.027179218,-2.346846014,1.35242,2.999191754,13.64267332,1.913043478,4.26574805,6.751816662,10.91304348,2.206525648
Chlorthal-dimethyl (Ref: DAC 893),High,2.411907701,0.609365141,4.500950086,3.747736374,3.656892594,5.90078,-2.09315665,3.8734,2.355506976,12.16856684,0.944444444,2.518276492,5.974619917,10.11111111,2.281636916
Chlorthiamid (Ref: WL 5792.),Not High,2.229730864,0.714441282,3.215136114,2.043226859,3.318913173,4.028957925,-2.099567679,2.6276,1.666222478,7.801932786,1.727272727,1.831136801,3.390937135,9.636363636,2.05861281
Chlozolinate (Ref: M 8164),Not High,2.330179258,0.628570991,5.262769757,3.292110929,2.406863934,6.757291407,-2.45935512,2.7984,2.36352883,12.69539947,1.857142857,2.685624383,5.537122722,21.42857143,2.574180268
