Unnamed: 0,Environmental fate,VSA_EState5,MaxPartialCharge,MolLogP,BCUT2D_LOGPHI,MinAbsPartialCharge,BCUT2D_LOGPLOW,BCUT2D_MRHI,qed,SPS,FpDensityMorgan1,BCUT2D_MWLOW,BCUT2D_CHGHI,MinAbsEStateIndex,Kappa3,MaxAbsEStateIndex
Acibenzolar-S-methyl (Ref: CGA 245704),Not High,0.0,0.220152113,2.1945,2.22562378,0.220152113,-1.908261101,8.131348159,0.723312882,10.53846154,1.538461538,10.20615655,2.09989157,0.066342593,1.445604159,11.43944444
Aclonifen (Ref: AE F068300),High,0.859833081,0.293434892,3.6227,2.382480872,0.293434892,-1.973087169,6.34670954,0.521569082,10.05555556,1.166666667,10.23018871,2.176766971,0.035234316,2.35614614,10.66969533
Acrinathrin (Ref: RU 38702),Not High,-3.448176239,0.434156276,6.45158,2.594636035,0.434156276,-2.448795751,5.83433216,0.216952933,19.47368421,0.947368421,10.08670084,2.620598994,0.313657663,6.846008547,12.7831484
Alachlor (Ref: CP 50144 ),Not High,-0.167587554,0.243316122,2.9871,2.268976808,0.243316122,-2.348034335,6.29021654,0.586931627,10.44444444,1.277777778,10.01882234,2.193088167,0.037140023,3.23871366,11.95265023
Aldicarb (Ref: ENT 27093),High,0.0,0.432577515,1.4698,2.173619757,0.322658339,-2.193612259,8.001256526,0.416304575,11.66666667,1.666666667,10.23191266,2.118870505,0.103153345,5.008836912,10.53209325
Aldoxycarb,High,0.0,0.432577538,0.1514,2.110964832,0.322658339,-2.32423665,7.922946676,0.418265494,12.85714286,1.5,10.23171506,2.279170681,0.744860166,3.733886942,11.15088443
Aldrin (Ref: OMS 194),High,0.815154321,0.166379471,5.2702,2.810577819,0.109329916,-2.456469324,6.653218349,0.311830458,58.77777778,0.833333333,9.752512085,2.848353741,0.066358025,0.973444995,6.761998457
Allethrin (Ref: FMC 249),High,0.03092674,0.310236645,4.002,2.596364136,0.310236645,-2.202633676,5.997051288,0.569226799,29.31818182,1.409090909,10.08059192,2.613418644,0.057011999,2.943022426,12.4800611
Alloxydim,High,-2.392890763,0.316655017,2.1051,2.402226215,0.316655017,-2.466277239,6.270747498,0.146935333,22.52173913,1.434782609,9.652463601,2.49894535,0.01910856,4.283775602,12.80561287
Alpha-cypermethrin (Ref: OMS 3004),High,0.289262743,0.311285242,6.17798,2.599929679,0.311285242,-2.142236553,6.55440166,0.528046798,20.39285714,1.142857143,10.08891602,2.615221577,0.113804497,4.493889414,12.61141838
Ametryn (Ref: G 34162 ),Not High,1.250277778,0.228190235,1.8456,2.132645064,0.228190235,-2.145388922,7.979903195,0.748462705,10.46666667,1.2,10.40329732,2.051130686,0.316280234,3.907554427,4.263926682
Amidosulfuron,High,-0.19219351,0.335798558,-1.2485,2.166988461,0.335798558,-2.450669778,8.025219538,0.624923487,11.86956522,1.130434783,10.56865409,2.27979622,0.006544785,5.185662737,11.70865882
Aminopyralid (Ref: XDE 750),High,-1.25537037,0.355696023,1.6688,2.240535619,0.355696023,-2.033510912,6.364283705,0.686254415,9.833333333,1.583333333,10.30032636,2.134579614,0.008611111,1.595567867,10.46506173
Amitraz (Ref: ENT 27967),Not High,0.0,0.096075482,4.87188,2.19622929,0.096075482,-2.122781226,5.784157005,0.583439445,11.5,0.727272727,10.12446928,1.970696333,0.983672648,4.285747096,4.505306805
Amitrole,Not High,0.356481481,0.215232734,-0.6131,1.762650532,0.215232734,-1.838819587,5.073701098,0.440165582,8.666666667,1.833333333,11.12075343,1.751526632,0.356481481,0.313601333,5.048611111
Ammonium acetate,Not High,-1.083333333,0.038278599,-0.8676,1.306450627,0.038278599,-2.159359711,5.598258322,0.407760806,5.0,1.8,10.85498521,1.459608658,0.0,21.58820252,8.888888889
Ammonium carbonate,Not High,0.0,-0.043088438,-1.6946,1.205695759,0.043088438,-2.368778607,5.471110761,0.371595458,4.0,1.166666667,11.46040314,1.263304413,0.0,23.31894376,8.333333333
Ammonium hydroxide,Not High,0.0,-0.368859027,0.1994,-0.289294773,0.368859027,-0.480605227,2.134000763,0.408652137,0.0,1.0,14.0069995,-0.368857031,0.0,-14.58,0.0
Ammonium sulphamate,High,0.0,0.156242475,-1.2185,1.492798984,0.156242475,-2.082548926,7.828490959,0.383782027,9.666666667,1.5,13.94878746,1.644211366,0.0,1061.387093,8.854166667
Ammonium sulphate,Not High,0.0,0.031050815,-0.5856,1.573123747,0.031050815,-1.906534883,7.792806969,0.333661641,8.285714286,1.0,14.006,1.492952108,0.0,1885.898844,8.520833333
Ammonium thiocyanate,Not High,0.0,-0.079746475,0.39058,1.156998797,0.079746475,-1.152460759,7.635942336,0.334887949,1.75,1.75,11.80994216,0.866535904,0.0,6.883957759,7.134259259
Ancymidol (Ref: EL 531),Not High,1.026021773,0.120361728,2.1311,2.489563589,0.120361728,-2.297553585,5.386549436,0.910126393,17.78947368,1.105263158,9.833710916,2.463221515,0.242495276,2.080902368,11.13648337
Anilazine (Ref: ENT 26 058),Not High,0.248240741,0.232372778,3.5754,2.232772662,0.232372778,-1.991457451,6.330547207,0.909988703,10.1875,0.875,10.30187044,2.047091347,0.022734788,2.723228634,5.954063366
Anthracene oil,High,0.0,-0.017765168,3.993,2.214535144,0.017765168,-1.740376276,5.974985321,0.456410247,10.85714286,0.428571429,10.04121709,1.946569776,1.311296296,1.080316882,2.240740741
Atrazine (Ref: G 30027),Not High,0.992222222,0.228497087,1.7771,2.092596373,0.228497087,-2.141272725,6.27951995,0.801863319,10.35714286,1.214285714,10.40331207,2.039543556,0.193611111,3.334193689,5.72696775
Azafenidin,Not High,3.510017997,0.350277469,2.6891,2.32299273,0.350277469,-2.258622768,6.361979478,0.808816725,13.5,1.318181818,10.15829661,2.197585933,0.078751653,2.602062428,12.47516023
Azamethiphos (Ref: GCA 18809),High,-0.587587868,0.42147116,2.7345,2.593240845,0.405847065,-2.125829106,8.541468444,0.781699886,12.15789474,1.526315789,10.44610273,2.233931138,0.027205845,3.036562671,11.87839653
Azimsulfuron,High,0.020629233,0.335066875,-1.0718,2.230650366,0.335066875,-2.357182215,7.897187974,0.491297832,11.17241379,1.137931034,10.34047512,2.284221965,0.029859813,4.20613022,12.75617489
Azinphos-ethyl (Ref: BAY 16259),High,0.257882338,0.277908689,2.7797,2.607229661,0.277908689,-2.228190104,8.670681964,0.714905187,11.9047619,1.285714286,10.23934201,2.195041154,0.191993575,4.109318142,12.30490442
Azinphos-methyl,Not High,0.245660116,0.277908689,1.9995,2.595294655,0.277908689,-2.227482191,8.670590572,0.781360333,11.89473684,1.368421053,10.23934202,2.170330954,0.201985072,3.211494986,12.16582263
Aziprotryne (Ref: C 7019),Not High,0.50625,0.226822542,2.3556,2.152078539,0.226822542,-2.126600858,7.979901057,0.366692275,9.866666667,1.4,10.40358278,2.045831482,0.083333333,3.606018196,8.286776581
Azoxystrobin (Ref: ICI 5504),High,0.519794885,0.341249767,4.09318,2.315643912,0.341249767,-2.056279852,6.165104261,0.330012691,10.63333333,0.966666667,10.06442488,2.182857975,0.183816138,4.716510578,12.1266992
Beflubutamid (Ref: UBH 820),High,-2.054536623,0.418857958,4.3183,2.334389705,0.418857958,-2.372074197,5.805840489,0.784074659,12.52,1.16,10.15258873,2.343833247,0.212559156,5.20372357,13.29710137
Benalaxyl (Ref: M 9834),Not High,-0.559662278,0.328176535,3.44064,2.273837755,0.328176535,-2.451654876,6.010147516,0.791223969,11.66666667,1.0,10.0391421,2.295592675,0.128240741,3.823523944,12.99751134
Benazolin (Ref: RD 7693),High,-1.058592845,0.32319041,1.801,2.243876891,0.32319041,-2.18124453,7.160759176,0.875078067,10.73333333,1.533333333,10.3106749,2.119209638,0.305092593,1.754890681,11.48584877
Bendiocarb (Ref: NC 6897),Not High,0.647903793,0.411973885,1.9121,2.450705847,0.411973885,-2.295992813,5.715503839,0.789694651,15.6875,1.375,10.27804824,2.339286337,0.349467593,1.884455623,11.11271447
Benfluralin (Ref: EL 110),High,0.0,0.416414444,4.1482,2.426152876,0.360621264,-2.257707904,5.759891437,0.551412744,11.34782609,1.086956522,10.09086803,2.383854449,0.201433059,4.299219696,12.83324403
Benfuracarb,Not High,0.795383009,0.425702043,4.0575,2.415948067,0.425702043,-2.340038315,7.947262655,0.472809651,14.57142857,1.321428571,10.01774567,2.328813152,0.124797725,6.035800196,12.58138026
Benfuresate (Ref: NC 20484),Not High,1.115447373,0.308398007,2.0851,2.398544403,0.308398007,-2.181804785,7.865527883,0.776968922,17.35294118,1.411764706,9.869064674,2.318463645,0.037720616,2.386315489,11.37676918
Benodanil (Ref: BAS 3170),Not High,-0.072962963,0.256234537,3.5435,2.136857443,0.256234537,-2.125323469,14.11193242,0.841714587,9.8125,0.9375,10.179841,2.079314805,0.072962963,2.605055576,11.91900008
Benomyl (Ref: T 1991),Not High,0.13615599,0.41320683,2.5724,2.188418571,0.41320683,-2.305674414,5.956324924,0.847401445,10.38095238,1.333333333,10.29713829,2.176457535,0.13615599,3.305878854,12.3049778
Benoxacor (Ref: CGA 154281),High,0.36992284,0.260258758,2.6042,2.339750429,0.260258758,-2.467343759,6.543191966,0.726197042,19.25,1.5,10.14843105,2.314150241,0.067222222,1.97245735,11.87750378
Bensulfuron-methyl (Ref: DPX F5384),Not High,-1.311513293,0.337660463,0.9319,2.172784427,0.337660463,-2.355267562,7.888094683,0.636430335,10.67857143,1.035714286,10.10563605,2.205885309,0.080230183,5.541760816,12.29569303
Bensulide (Ref: R 4461),High,0.488870386,0.247381081,3.7726,2.618313816,0.247381081,-2.25617246,8.674586402,0.478892208,12.95652174,1.130434783,10.37091312,2.233037792,0.0341723,8.115110169,12.1123766
Bensultap (Ref: OMS 3011),Not High,0.558605757,0.229550624,3.1608,2.280483234,0.229550624,-2.330018598,8.721809557,0.564821175,13.65384615,0.730769231,10.35800395,2.22970432,0.206505102,6.02055165,12.40125859
Bentazone,High,-0.482083333,0.326195646,1.2075,2.266357871,0.267832934,-2.477535506,7.906996472,0.801888909,18.1875,1.25,10.13920826,2.363222865,0.337407407,1.547072756,11.9805787
Beta-cyfluthrin (Ref: OMS 3051),High,-1.38716903,0.311285242,6.31708,2.600056213,0.311285242,-2.143782342,6.554403694,0.499726358,20.13793103,1.24137931,10.08704307,2.615318979,0.063442156,4.720388162,14.15065785
Beta-cypermethrin (Ref: OMS 3068),Not High,0.289262743,0.311285242,6.17798,2.599929679,0.311285242,-2.142236553,6.55440166,0.528046798,20.39285714,1.142857143,10.08891602,2.615221577,0.113804497,4.493889414,12.61141838
Bifenazate,Not High,0.629192649,0.425706198,3.8237,2.295499556,0.425706198,-2.314567243,5.744690351,0.824046587,10.18181818,1.045454545,10.05013168,2.084184249,0.181158671,4.15007289,11.54468462
Bifenox,Not High,-0.32841569,0.344530995,4.4805,2.33134411,0.344530995,-2.054652962,6.350649114,0.464943161,10.13636364,1.181818182,10.14623504,2.216596518,0.203909675,3.468871653,11.629225
Bifenthrin (Ref: FMC 54800),High,-1.745840308,0.426122298,6.66242,2.601572274,0.426122298,-2.112909985,6.299410423,0.503249024,21.0,1.137931034,9.966976062,2.618033506,0.070791171,4.502043589,12.69249533
Binapacryl (Ref: FMC 9044),High,-1.243463719,0.335834655,3.8881,2.399035512,0.335834655,-2.102536202,5.855989955,0.258006741,11.47826087,1.260869565,9.959302292,2.283784904,0.238472222,4.599647527,11.82456444
Bioallethrin,Not High,0.03092674,0.310236645,4.002,2.596364136,0.310236645,-2.202633676,5.997051288,0.569226799,29.31818182,1.409090909,10.08059192,2.613418644,0.057011999,2.943022426,12.4800611
Bioresmethrin (Ref: FMC 17370),Not High,1.005379005,0.309957973,5.152,2.59406212,0.309957973,-2.099638064,5.778960103,0.539835014,20.8,1.2,10.08344935,2.608819818,0.010695266,4.036552724,12.40190449
Biphenyl,Not High,0.0,-0.018404256,3.3536,2.16566886,0.018404256,-1.731257902,5.621924011,0.590501888,9.666666667,0.416666667,10.06881928,1.912300675,1.276018519,1.37393594,2.12037037
Bitertanol (Ref: KWG 0599),Not High,0.669889928,0.218752628,3.9297,2.306805054,0.218752628,-2.384656652,5.63377416,0.766176915,14.08,0.96,9.878152597,2.335551914,0.36051987,4.059905987,10.69757803
Boscalid (Ref: BAS 510F),High,-0.301376361,0.258307216,5.3077,2.290319094,0.258307216,-2.131123532,6.329393411,0.655191527,10.34782609,0.913043478,10.03404485,2.129127269,0.174975974,3.524659785,12.41590126
Brodifacoum (Ref: WBA 8119),High,0.012947849,0.343352271,7.79,2.454316959,0.343352271,-2.225574562,9.103001869,0.24575406,17.28571429,0.8,9.715042623,2.329597036,0.030453132,3.979823114,13.101706
Bromacil (Ref: DPX N0976),High,0.0,0.328349741,1.57852,2.082881287,0.310184665,-2.376667767,9.103106943,0.878196139,12.85714286,1.5,10.23823269,2.120449593,0.080416667,1.819827975,11.7068287
Bromadiolone (Ref: LM 637),Not High,-0.665096683,0.343353675,7.1837,2.389273185,0.343353675,-2.165997131,9.103001601,0.229590089,12.97142857,0.742857143,9.84493396,2.271259514,0.107880201,4.784329821,13.00061
Bromethalin (Ref: OMS 3020),High,0.0,0.418424364,6.5772,2.48397515,0.33666442,-2.192407926,9.113961353,0.302546013,11.37037037,0.925925926,10.07442764,2.411563889,0.167271353,4.405601488,13.57368415
Bromofenoxim (Ref: C9122),Not High,-0.417128251,0.320619646,3.4106,2.304511897,0.320619646,-2.132116688,9.127719805,0.526657134,13.75,1.083333333,10.11413308,2.20885078,0.19404964,4.055396608,11.53328171
Bromophos,High,0.335092593,0.379571639,4.652,2.501940297,0.379571639,-1.97017767,9.1033996,0.572893002,11.5625,1.1875,10.33091242,2.203458821,0.335092593,3.570365326,5.96822027
Bromopropylate (Ref: GS 19851),High,-0.687828798,0.347443699,4.3991,2.327264272,0.347443699,-2.393071803,9.104480736,0.735227222,11.54545455,0.954545455,9.861466139,2.416474211,0.314887304,3.590825053,12.55049957
Bromoxynil (Ref: ENT 20852),Not High,0.114814815,0.143513489,2.78888,2.323339891,0.143513489,-1.764368314,9.108907764,0.791922188,9.181818182,1.272727273,10.21624829,2.037955961,0.114814815,1.731431732,9.223101852
Bromuconazole (Ref: LS 860263),High,0.0,0.137254847,3.6642,2.43066767,0.137254847,-2.314632823,9.092595234,0.767071805,26.05,1.45,9.903324633,2.427235706,0.289598293,2.723306949,6.361932477
Bronopol,High,0.0,0.319034789,-0.6611,2.154469699,0.319034789,-2.385629606,9.095907668,0.273843954,11.44444444,1.555555556,10.35286126,2.37517849,0.725694444,1.884458489,9.922013889
Bupirimate (Ref: PP 588),Not High,0.485930178,0.385668068,1.74462,2.241531561,0.354393483,-2.277839188,7.84192413,0.786241915,11.71428571,1.238095238,10.09346752,2.212646468,0.111666667,4.817297203,11.92910541
Buprofezin (Ref: PP 618),Not High,0.598194444,0.331048049,4.1822,2.285098208,0.283786224,-2.529841793,8.13600154,0.821370517,18.76190476,1.19047619,10.13116585,2.34146294,0.001898148,3.785096005,12.82135771
Butachlor (Ref: CP 53619),Not High,-0.137048847,0.243316366,4.1574,2.27096325,0.243316366,-2.354399896,6.290233552,0.389228092,10.66666667,1.19047619,10.01873872,2.198135598,0.029423973,5.00909879,12.22644991
Butocarboxim (Ref: Co 755),High,0.0,0.432586399,1.4698,2.06480664,0.322658205,-2.183374062,7.994428599,0.416304575,13.83333333,1.666666667,10.32301813,2.041594024,0.272829743,4.226890617,10.57995985
Butoxycarboxim (Ref: Co 859),High,0.0,0.432586421,0.1514,2.007485459,0.322658204,-2.252106165,7.915938521,0.418265494,14.71428571,1.5,10.32288262,2.182508806,0.2325,4.218641965,11.04995851
Butralin (Ref: Amchem70-25),High,0.0,0.299257288,4.0109,2.391657519,0.299257288,-2.177105212,5.751603401,0.653232887,12.80952381,1.142857143,9.858456731,2.299820955,0.020972222,3.899181502,11.28853316
Butylate (Ref: R 1910),Not High,1.968732048,0.281136084,3.4735,2.122225858,0.281136084,-2.340670313,8.130012536,0.702512438,11.07142857,1.142857143,10.14591032,2.149722067,0.231388889,6.30050834,11.70310185
Cadusafos (Ref: FMC 67825),Not High,-2.531319444,0.313193393,5.1944,2.721730871,0.313193393,-1.975227622,8.88990606,0.566594588,16.33333333,1.066666667,10.37661924,2.284217922,0.401795792,6.933246109,12.45550926
Camphechlor (Ref: Hercules 3956),Not High,0.110733025,0.127080266,5.6627,2.774547163,0.125968037,-2.551507811,6.517302337,0.523425981,50.16666667,1.055555556,9.692774396,2.812165625,0.107685185,1.67266466,6.450316358
Captafol (Ref: Ortho-5865),Not High,-1.19029132,0.243209457,3.5209,2.48121272,0.243209457,-2.311399496,8.018170723,0.338692748,28.16666667,1.166666667,9.851918804,2.508272995,0.278695988,2.634025463,12.09738914
Captan (Ref: SR 406),Not High,-1.068472222,0.256394464,2.9135,2.462704698,0.256394464,-2.264742352,8.030747843,0.323312311,29.8125,1.125,9.851918804,2.493993625,0.25400463,2.348289516,11.90231481
Carbaryl (Ref: UC 7744),Not High,0.576342593,0.411859733,2.558,2.244264845,0.409697068,-2.21581867,5.896103239,0.769567031,9.933333333,1.133333333,10.11255278,2.042720589,0.452450869,1.908303217,11.09156226
Carbendazim (Ref: BAS 346F),Not High,0.387083333,0.413189963,1.7412,2.124469109,0.413189963,-2.112840512,5.854879957,0.720984649,10.07142857,1.5,10.31130071,2.043921861,0.387083333,1.516811422,10.86468348
Carbetamide (Ref: RP 11561),Not High,-0.309526224,0.411897676,1.7597,2.056049809,0.411897676,-2.360896242,5.879847332,0.836620648,11.41176471,1.294117647,10.30764731,2.160225525,0.309526224,4.545327924,11.41824405
Carbofuran (Ref: OMS 864),Not High,1.151412037,0.411971662,2.1183,2.411353517,0.411971662,-2.251604943,5.711549454,0.789737865,16.1875,1.5,10.0177473,2.321295758,0.231659226,1.957374255,11.1535308
Carbophenothion (Ref: ENT 23708),Not High,0.0,0.247639752,5.4203,2.614912572,0.247639752,-1.916984353,8.690521438,0.355407068,11.72222222,1.166666667,10.36430742,2.17960815,0.593144209,6.286951763,5.835130399
Carbosulfan (Ref: OMS 3022),Not High,1.191910626,0.42570192,5.2961,2.415665979,0.42570192,-2.304656522,7.94704627,0.544125841,14.84615385,1.230769231,10.01774572,2.327460488,0.26130918,5.810275739,12.55738017
Carboxin (Ref: D 735),Not High,1.451480222,0.26500736,2.62,2.259294662,0.26500736,-2.178064411,8.036146888,0.855983133,15.5625,1.375,10.2887575,2.179559644,0.089444444,2.578081721,11.90810563
Carfentrazone-ethyl (Ref: F 8426),Not High,-1.920587995,0.354828821,3.24302,2.252393895,0.354828821,-2.254287889,6.321236012,0.539998727,12.46153846,1.384615385,10.08426567,2.231563904,0.042350351,4.040816327,14.24945324
Cetrimide,Not High,0.0,0.077992828,2.3977,2.117324846,0.077992828,-2.996004035,4.47903276,0.357881232,11.36842105,0.526315789,10.05196094,2.043441514,0.0,20.90595211,2.290220142
Chinomethionat (Ref: ENT 25606),High,0.0,0.291035356,2.57462,2.207393908,0.265260746,-1.831805694,7.34583017,0.60011514,11.26666667,1.066666667,10.19483133,2.050359224,0.05280376,1.438167026,11.19171281
Chlomethoxyfen (Ref: X-52),Not High,0.876140016,0.31068367,4.7025,2.35456769,0.31068367,-1.94145583,6.350579505,0.605828161,10.15,1.1,10.24761869,2.155188867,0.108875906,3.122725132,10.79082464
Chloralose,High,0.0,0.240527151,-0.4629,2.420759325,0.240527151,-2.419153274,6.674846201,0.598205189,43.76470588,1.176470588,10.07043041,2.566475863,0.546576134,2.652815608,9.813794407
Chloramben (Ref: ACP M-629),High,-1.144259259,0.33684198,2.2738,2.269566588,0.33684198,-1.99557533,6.373780624,0.692333259,9.833333333,1.416666667,10.17749603,2.113691995,0.020277778,1.624250355,10.52756173
Chlorbromuron (Ref: C6313),Not High,0.0,0.34498232,3.1276,2.250038663,0.306010247,-2.296773875,9.103383745,0.85125721,9.866666667,1.6,10.30132015,2.077539888,0.364917486,3.370769532,11.37471596
Chlordane (Ref: OMS 1437),High,-0.488425926,0.166392137,5.6828,2.790301039,0.12137494,-2.466936402,6.6553574,0.451292438,57.33333333,0.888888889,9.844729551,2.841486774,0.183796296,1.28086079,6.618912037
Chlorethoxyfos (Ref: DPX 43898),Not High,0.0,0.328252498,4.2356,2.537496824,0.308935807,-2.221802744,8.071526924,0.535832054,15.33333333,1.2,10.83075654,2.368592098,0.33407124,6.869242663,5.695851442
Chlorfenapyr (Ref: MK 242),Not High,0.0,0.432183107,5.45548,2.427825176,0.361050593,-2.161222115,9.103508162,0.675230423,11.52173913,1.304347826,10.09299904,2.403327252,0.097823602,3.547017321,13.40910294
Chlorfenson (Ref: K 6451),Not High,0.203101852,0.338712333,3.7611,2.212436225,0.338712333,-2.088878391,7.867205173,0.81084953,11.22222222,0.777777778,10.33990549,2.156701332,0.04337963,3.160026368,11.89951342
Chlorfenvinphos (Ref: OMS 166),Not High,0.082006173,0.529594974,5.7283,2.529147186,0.402365732,-2.000630002,7.483867564,0.460592567,12.55,1.25,10.17879918,2.289690795,0.082006173,4.956874049,12.29876557
Chlorfluazuron (Ref: CGA 112913),High,-4.349531637,0.417446253,7.093,2.40753134,0.417446253,-2.349514137,6.375729172,0.346273748,11.17647059,0.941176471,10.16041423,2.316855071,0.061915719,5.849473914,13.664605
Chloridazon (Ref: BAS 119H),Not High,0.0,0.291875441,1.4681,2.114680377,0.291875441,-2.217405085,6.32287857,0.79338231,10.2,1.266666667,10.30102338,2.06674346,0.00569161,1.712117863,11.6785223
Chlormephos (Ref: MC 2188),Not High,0.0,0.247987342,3.2134,2.604964499,0.247987342,-1.909460912,8.677182555,0.518771569,11.90909091,1.363636364,10.90606374,2.166943852,0.427854938,5.449030487,5.521468726
Chlormequat chloride (Ref: BAS 062W),Not High,0.753472222,0.091764584,-2.0646,1.884050412,0.091764584,-2.996001882,6.174699344,0.319881492,10.5,1.25,10.5674411,2.01757652,0.0,9.738354325,5.470540123
Chlorobenzilate (Ref: ENT 18596),Not High,-0.741069539,0.34717772,3.7924,2.322383497,0.34717772,-2.381504824,6.304385856,0.870120696,11.23809524,1.0,9.861840924,2.410741092,0.168971053,3.207998525,12.29754819
Chloroneb,High,1.087901235,0.138714153,3.0106,2.345157324,0.138714153,-1.876250551,6.348307889,0.741456107,9.666666667,0.916666667,10.29782141,2.064037045,0.484953704,1.762312679,5.81662037
Chlorophacinone (Ref: LM 91),Not High,-3.264189955,0.181441583,4.7364,2.348180861,0.181441583,-2.305937651,6.361177196,0.619806917,14.85185185,0.703703704,9.804855441,2.453194498,0.322933149,3.002601428,13.4460308
Chloropicrin,High,0.0,0.448706986,1.5908,2.24887402,0.260449341,-2.149575452,6.654391197,0.236106424,11.28571429,1.428571429,11.43972451,2.333593826,1.016203704,2.907958533,9.430555556
Chloropropylate (Ref: ENT 26999),Not High,-0.743384354,0.347443706,4.1809,2.32633086,0.347443706,-2.393006107,6.304393814,0.850265185,11.54545455,0.954545455,9.861135375,2.416686038,0.348494985,3.433603802,12.50796485
Chlorothalonil (Ref: DS 2787),Not High,0.0,0.102378679,4.04356,2.397734479,0.102378679,-1.887548797,6.50303518,0.524970362,9.285714286,0.642857143,10.13263138,2.191738402,0.036265432,1.628792107,8.704536407
Chlorotoluron (Ref: C 2242),Not High,0.0,0.320817445,2.74192,2.193881654,0.320817445,-2.267519729,6.312161282,0.762996081,9.714285714,1.428571429,10.20169949,2.039431904,0.162111363,2.635383945,11.28018471
Chloroxuron (Ref: C 1983),High,1.397825544,0.320816671,4.2258,2.238625683,0.320816671,-2.266989949,6.301106597,0.919060886,9.95,1.0,10.2676298,2.036744064,0.170028135,3.897157786,11.49115034
Chlorpropham (Ref: ENT 18060),Not High,0.0,0.411370985,3.2969,2.145180958,0.411370985,-2.173295333,6.30432198,0.818819204,10.0,1.5,10.30434353,2.043810417,0.130385015,3.661951242,11.15775699
Chlorpyrifos (Ref: OMS 971),Not High,0.05212963,0.381355943,4.7181,2.505339914,0.381355943,-2.032198785,8.072978733,0.548341319,11.61111111,1.166666667,10.47071059,2.237519143,0.05212963,4.494247868,5.937656211
Chlorpyrifos-methyl (Ref: OMS 1155),Not High,0.030648148,0.380830901,3.9379,2.4915769,0.380830901,-1.989477093,8.072809352,0.620156074,11.5625,1.1875,10.47071123,2.215770335,0.030648148,3.439045197,5.851275825
Chlorsulfuron (Ref: DPX 4189),High,0.141036646,0.335023421,1.35242,2.196729628,0.335023421,-2.346846014,7.898004749,0.845948959,10.91304348,1.217391304,10.36408289,2.206525648,0.008819636,4.26574805,12.10943815
Chlorthal-dimethyl (Ref: DAC 893),High,-1.62922997,0.340518014,3.8734,2.411907701,0.340518014,-2.09315665,6.51950636,0.609365141,10.11111111,0.722222222,10.11563352,2.281636916,0.20510519,2.518276492,11.48566067
Chlorthiamid (Ref: WL 5792.),Not High,0.0,0.106513529,2.6276,2.229730864,0.106513529,-2.099567679,7.803250897,0.714441282,9.636363636,1.272727273,10.20029763,2.05861281,0.222777778,1.831136801,5.772561728
Chlozolinate (Ref: M 8164),Not High,-1.788649691,0.422514816,2.7984,2.330179258,0.422514816,-2.45935512,6.35624443,0.628570991,21.42857143,1.285714286,10.06853385,2.574180268,0.057784811,2.685624383,12.37009732
