Unnamed: 0,Environmental fate,MolLogP,VSA_EState1,Chi4n,SlogP_VSA10,Chi3v,Chi1v,PEOE_VSA1,fr_halogen,BCUT2D_CHGHI,SMR_VSA5,VSA_EState10,NumHDonors,fr_quatN,fr_NH1,Chi2v
Alloxydim,High,2.1051,4.75896673,2.766601864,0.0,3.820290601,7.667833089,4.736862954,0,2.49894535,40.03367647,0.0,1,0,1,6.214252269
Alpha-cypermethrin (Ref: OMS 3004),High,6.17798,11.39789951,3.298782484,0.0,5.213148759,9.54046734,9.473725908,2,2.615221577,19.95144079,11.46206606,0,0,0,8.222629525
Ametryn (Ref: G 34162 ),Not High,1.8456,0.0,1.007707794,11.89667856,2.097855792,6.182793938,10.63357721,0,2.051130686,31.96948891,1.507851474,2,0,2,4.072086977
Amidosulfuron,High,-1.2485,57.02950064,1.155697705,10.74287647,5.805461874,9.030422494,9.473725908,0,2.27979622,0.0,0.0,2,0,2,7.927109978
Aminopyralid (Ref: XDE 750),High,1.6688,0.0,0.658263989,5.687386275,1.747993716,3.624863361,10.84019487,2,2.134579614,0.0,10.9862963,2,0,0,2.767161396
Amitraz (Ref: ENT 27967),Not High,4.87188,0.0,2.236827153,11.37477255,3.46250464,7.403290493,4.899909731,0,1.970696333,27.6949488,0.0,0,0,0,5.734489874
Amitrole,Not High,-0.6131,0.0,0.2149387,5.948339281,0.43365482,1.50228651,5.733667477,0,1.751526632,0.0,0.0,2,0,1,0.870712754
Ammonium acetate,Not High,-0.8676,0.0,0.0,0.0,0.0,0.90824829,16.05161093,0,1.459608658,6.9237372,0.0,1,1,0,0.491581624
Ammonium carbonate,Not High,-1.6946,0.0,0.0,4.794537184,0.0,0.612372436,27.30868467,0,1.263304413,0.0,0.0,2,2,0,0.25
Ammonium hydroxide,Not High,0.1994,0.0,0.0,0.0,0.0,0.0,11.62673819,0,-0.368857031,0.0,0.0,1,1,0,0.0
Ammonium sulphamate,High,-1.2185,26.5625,0.0,0.0,0.0,2.207106781,10.70329622,0,1.644211366,0.0,0.0,2,1,0,1.478397839
Ammonium sulphate,Not High,-0.5856,34.08333333,0.0,0.0,0.0,2.0,21.40659245,0,1.492952108,0.0,0.0,2,2,0,1.224744871
Ammonium thiocyanate,Not High,0.39058,0.0,0.0,0.0,0.0,0.835979233,18.7793355,0,0.866535904,0.0,3.699074074,1,1,0,0.273861279
Ancymidol (Ref: EL 531),Not High,2.1311,5.157332924,2.480204019,0.0,3.698973815,6.372663982,9.843390349,0,2.463221515,18.44269406,0.0,1,0,0,4.896309754
Anilazine (Ref: ENT 26 058),Not High,3.5754,0.0,1.064838598,11.63572556,2.368813784,5.369831184,5.316788604,3,2.047091347,0.0,17.22703802,1,0,1,3.885248505
Anthracene oil,High,3.993,0.0,1.882638632,0.0,2.614031049,4.809401077,0.0,0,1.946569776,0.0,0.0,0,0,0,3.546509365
Atrazine (Ref: G 30027),Not High,1.7771,0.0,0.910006486,11.89667856,1.529818232,4.912623341,10.63357721,1,2.039543556,26.81305243,5.72696775,2,0,2,3.419084537
Azafenidin,Not High,2.6891,8.339047225,2.46726186,0.0,4.109838293,7.615561053,4.736862954,2,2.197585933,25.80722127,12.29083457,0,0,0,5.760591205
Azamethiphos (Ref: GCA 18809),High,2.7345,27.61998677,1.349161643,0.0,6.245561892,8.509448928,13.46464526,1,2.233931138,5.87678839,6.607170721,0,0,0,8.035635145
Azimsulfuron,High,-1.0718,38.36451838,2.256679568,10.74287647,4.885299102,9.287512957,9.473725908,0,2.284221965,5.025959979,0.0,2,0,2,7.023090078
Azinphos-ethyl (Ref: BAY 16259),High,2.7797,12.32795966,1.661388056,0.0,7.875681921,10.68428547,9.047494323,0,2.195041154,19.72426279,6.695292711,0,0,0,10.23176941
Azinphos-methyl,Not High,1.9995,11.53434854,1.413301745,0.0,8.017986058,9.509218221,9.047494323,0,2.170330954,5.87678839,6.450292711,0,0,0,9.975267585
Aziprotryne (Ref: C 7019),Not High,2.3556,0.0,0.84461948,11.89667856,1.885325893,5.495740564,5.316788604,0,2.045831482,25.04575171,1.364552154,1,0,1,3.707592812
Azoxystrobin (Ref: ICI 5504),High,4.09318,21.37825971,2.535304824,0.0,3.871708302,8.734887828,18.94745182,0,2.182857975,0.0,0.0,0,0,0,5.761538375
Beflubutamid (Ref: UBH 820),High,4.3183,56.84375035,2.180319542,17.56166019,3.49435986,7.659733959,10.05365156,4,2.343833247,32.16958013,0.0,1,0,1,5.357555745
Benalaxyl (Ref: M 9834),Not High,3.44064,4.86175052,2.851605383,5.687386275,4.076857798,7.953865935,4.736862954,0,2.295592675,33.23387405,0.0,0,0,0,5.86566492
Benazolin (Ref: RD 7693),High,1.801,1.873842593,1.35916994,0.0,3.180058799,5.284558357,5.106527395,1,2.119209638,6.544756406,6.907525195,1,0,0,4.334823335
Bendiocarb (Ref: NC 6897),Not High,1.9121,16.10446452,1.439362458,4.794537184,2.053162371,4.922885952,19.52737747,0,2.339286337,19.63458555,0.0,1,0,1,3.826882719
Benfluralin (Ref: EL 110),High,4.1482,38.49973208,2.147199355,30.23340397,3.269934191,6.919433479,4.899909731,3,2.383854449,32.86541616,0.0,0,0,0,4.808305713
Benfuracarb,Not High,4.0575,19.8428999,2.84465752,4.794537184,5.362295469,10.22472074,14.21058886,0,2.328813152,59.10322088,1.21681625,0,0,0,8.699513656
Benfuresate (Ref: NC 20484),Not High,2.0851,33.25994,1.757140365,0.0,3.99890618,7.111642872,8.919948386,0,2.318463645,26.18620207,0.0,0,0,0,6.619582355
Benodanil (Ref: BAS 3170),Not High,3.5435,0.952343632,1.365267234,5.687386275,3.090818875,5.959889399,5.316788604,1,2.079314805,0.0,2.157492404,1,0,1,4.462186509
Benomyl (Ref: T 1991),Not High,2.5724,5.883565282,1.908887762,15.53741365,2.969698388,6.776665156,10.05365156,0,2.176457535,19.76538045,0.0,2,0,2,4.461599002
Benoxacor (Ref: CGA 154281),High,2.6042,5.51579743,1.741655736,5.687386275,2.843069311,5.813267215,9.636772685,2,2.314150241,17.80184772,11.25355978,0,0,0,4.73295141
Bensulfuron-methyl (Ref: DPX F5384),Not High,0.9319,40.91404457,2.133332115,10.74287647,4.526590423,9.376444557,14.21058886,0,2.205885309,5.752853607,0.0,2,0,2,6.962570162
Bensulide (Ref: R 4461),High,3.7726,38.3008254,1.618560077,0.0,9.394301903,13.01759333,9.047494323,0,2.233037792,44.79836505,6.877906075,1,0,1,13.40136222
Bensultap (Ref: OMS 3011),Not High,3.1608,49.60503435,1.992897072,0.0,10.8195657,13.74728555,4.899909731,0,2.22970432,15.83280778,0.0,0,0,0,13.66540736
Bentazone,High,1.2075,26.81260015,1.686658236,5.687386275,3.907766922,6.328075633,0.0,0,2.363222865,19.88931523,0.0,1,0,1,5.395058122
Beta-cyfluthrin (Ref: OMS 3051),High,6.31708,25.18054027,3.309795412,4.390415048,5.302423118,9.646116243,9.473725908,3,2.615318979,19.95144079,11.42067334,0,0,0,8.339998909
Beta-cypermethrin (Ref: OMS 3068),Not High,6.17798,11.39789951,3.298782484,0.0,5.213148759,9.54046734,9.473725908,2,2.615221577,19.95144079,11.46206606,0,0,0,8.222629525
Bifenazate,Not High,3.8237,10.30193279,1.977737816,10.48192346,2.948571638,7.059740999,9.473725908,0,2.084184249,19.95144079,0.0,2,0,2,4.985151554
Bifenox,Not High,4.4805,10.04254412,1.696248192,5.687386275,3.222225496,6.673461203,9.473725908,2,2.216596518,0.0,11.76643515,0,0,0,4.94808862
Bifenthrin (Ref: FMC 54800),High,6.66242,43.54172896,3.699993458,13.17124514,6.002285499,9.660437978,4.736862954,4,2.618033506,33.55439208,5.342564226,0,0,0,8.307818119
Binapacryl (Ref: FMC 9044),High,3.8881,5.126911376,1.92399954,11.37477255,3.242800327,7.003314058,4.736862954,0,2.283784904,40.03367647,0.0,0,0,0,5.349547982
Bioallethrin,Not High,4.002,5.660757275,3.419688155,0.0,4.950733167,7.889968688,4.736862954,0,2.613418644,53.56429563,0.0,0,0,0,7.276032983
Bioresmethrin (Ref: FMC 17370),Not High,5.152,11.12565944,3.433908458,0.0,4.987841259,8.795486214,9.154013891,0,2.608819818,40.72265239,0.0,0,0,0,7.760192075
Biphenyl,Not High,3.3536,0.0,1.261205885,0.0,1.88091147,4.071367205,0.0,0,1.912300675,0.0,0.0,0,0,0,2.732050808
Bitertanol (Ref: KWG 0599),Not High,3.9297,7.591175359,2.535621109,0.0,4.073011862,8.29307902,9.843390349,0,2.335551914,33.10307916,0.0,1,0,0,7.085172526
Boscalid (Ref: BAS 510F),High,5.3077,0.0,2.218351003,5.687386275,3.887372717,7.673882527,5.316788604,2,2.129127269,0.0,11.90229272,1,0,1,5.642822297
Brodifacoum (Ref: WBA 8119),High,7.79,6.698324242,5.392846285,0.0,7.673682646,12.55971835,9.523678332,1,2.329597036,24.67745534,3.496403023,1,0,0,10.08068733
Bromacil (Ref: DPX N0976),High,1.57852,1.661365741,1.216782641,0.0,3.214569043,5.288346623,4.983978521,1,2.120449593,33.23387405,3.158130197,1,0,1,4.09455758
Bromadiolone (Ref: LM 637),Not High,7.1837,6.551360902,4.460521625,0.0,6.830912574,12.1394489,14.63020573,1,2.271259514,18.44269406,3.453514943,2,0,0,9.407307419
Bromethalin (Ref: OMS 3020),High,6.5772,42.00502888,2.384302779,35.92079024,5.106777894,9.144226834,4.899909731,6,2.411563889,6.176298517,9.638468519,0,0,0,7.774449746
Bromofenoxim (Ref: C9122),Not High,3.4106,0.650447148,1.672126898,11.37477255,3.943200102,7.723928466,4.837588584,2,2.20885078,0.0,6.203291127,1,0,1,6.052846318
Bromophos,High,4.652,16.05483836,0.843794743,0.0,5.557380935,8.077530535,13.57124149,3,2.203458821,0.0,20.17605828,0,0,0,7.418063916
Bromopropylate (Ref: GS 19851),High,4.3991,7.006800858,2.083904739,0.0,4.219475112,8.378953309,9.843390349,2,2.416474211,25.5524916,6.70259044,1,0,0,7.009610703
Bromoxynil (Ref: ENT 20852),Not High,2.78888,1.03412037,0.630063846,0.0,2.354970254,4.315875146,5.106527395,2,2.037955961,0.0,6.213101852,1,0,0,3.608976192
Bromuconazole (Ref: LS 860263),High,3.6642,7.829809461,2.543684854,0.0,4.533549225,7.821246677,4.736862954,3,2.427235706,23.39380291,15.95519384,0,0,0,6.962526532
Bronopol,High,-0.6611,-1.770833333,0.165470054,0.0,1.60285463,2.910297989,10.21305479,1,2.37517849,4.448193277,2.548611111,2,0,0,2.9674505
Bupirimate (Ref: PP 588),Not High,1.74462,30.03937437,1.69152529,5.948339281,4.185539934,8.412021428,9.499874037,0,2.212646468,40.03367647,0.0,1,0,1,6.626064763
Buprofezin (Ref: PP 618),Not High,4.1822,0.0,2.066660173,10.48192346,3.91461838,8.163973568,0.0,0,2.34146294,46.19945208,1.61421438,0,0,0,7.260562233
Butachlor (Ref: CP 53619),Not High,4.1574,5.659028093,2.297428951,5.687386275,3.741481952,8.272696953,4.736862954,1,2.198135598,46.45449809,5.781018457,0,0,0,5.245536515
Butocarboxim (Ref: Co 755),High,1.4698,0.0,0.403872039,4.794537184,2.466772783,4.86230633,5.316788604,0,2.041594024,19.09741243,1.649644511,1,0,1,3.417855129
Butoxycarboxim (Ref: Co 859),High,0.1514,22.09991701,0.543130233,4.794537184,3.332798187,5.86230633,5.316788604,0,2.182508806,19.09741243,0.0,1,0,1,5.199329544
Butralin (Ref: Amchem70-25),High,4.0109,0.0,1.829148973,17.06215882,3.359250922,6.813591353,5.316788604,0,2.299820955,52.49633892,0.0,1,0,1,6.107350756
Butylate (Ref: R 1910),Not High,3.4735,0.0,1.319915329,4.794537184,2.490906163,6.371588753,4.899909731,0,2.149722067,34.618686,1.41037037,0,0,0,5.606863113
Cadusafos (Ref: FMC 67825),Not High,5.1944,17.91143519,0.833661419,0.0,10.42258283,10.17718662,4.523747162,0,2.284217922,57.9602053,3.023148148,0,0,0,11.53989634
Camphechlor (Ref: Hercules 3956),Not High,5.6627,-1.130810185,3.571713971,0.0,8.532018648,8.857676086,0.0,8,2.812165625,26.34462116,50.40321759,0,0,0,9.029782845
Captafol (Ref: Ortho-5865),Not High,3.5209,-0.629516566,2.021393373,0.0,6.166451026,7.624442872,0.0,4,2.508272995,21.34329903,23.66776305,0,0,0,8.202413271
Captan (Ref: SR 406),Not High,2.9135,-0.692880763,1.96335107,0.0,4.032467941,6.593407105,0.0,3,2.493993625,15.96621117,17.36940382,0,0,0,7.77732441
Carbaryl (Ref: UC 7744),Not High,2.558,5.126759259,1.435589269,4.794537184,2.156410831,4.683739641,10.05365156,0,2.042720589,0.0,0.0,1,0,1,3.116804193
Carbendazim (Ref: BAS 346F),Not High,1.7412,4.440090231,1.1597056,10.74287647,1.795234821,4.091060446,9.720841475,0,2.043921861,0.0,0.0,2,0,2,2.719140879
Carbetamide (Ref: RP 11561),Not High,1.7597,4.906538171,1.200835869,10.48192346,2.024237828,5.435443874,10.05365156,0,2.160225525,19.95144079,0.0,2,0,2,3.433143394
Carbofuran (Ref: OMS 864),Not High,2.1183,10.89047336,1.818627366,4.794537184,2.461758846,5.221744443,14.79051451,0,2.321295758,25.86934683,0.0,1,0,1,4.422447704
Carbophenothion (Ref: ENT 23708),Not High,5.4203,11.11831832,1.117796289,0.0,9.151033919,11.10608145,9.047494323,1,2.17960815,18.74295787,14.56329406,0,0,0,11.28862482
Carbosulfan (Ref: OMS 3022),Not High,5.2961,15.41679132,2.894995042,4.794537184,5.259546688,10.28467905,9.473725908,0,2.327460488,65.40010772,1.4363214,0,0,0,8.593561197
Carboxin (Ref: D 735),Not High,2.62,5.34721986,1.44044037,5.687386275,3.338266415,6.086004867,10.05365156,0,2.179559644,6.9237372,1.54124126,1,0,1,4.507555053
Carfentrazone-ethyl (Ref: F 8426),Not High,3.24302,45.49415361,2.266415979,13.17124514,4.14565812,8.236582981,4.736862954,5,2.231563904,32.19476342,11.90024814,0,0,0,6.142014906
Cetrimide,Not High,2.3977,1.122777778,2.427135306,0.0,3.682487667,8.364975334,21.46448171,1,2.043441514,83.97359667,0.0,0,1,0,6.903018179
Chinomethionat (Ref: ENT 25606),High,2.57462,0.05280376,1.443659218,0.0,4.036392459,6.036074951,0.0,0,2.050359224,6.9237372,2.322698176,0,0,0,5.461849683
Chlomethoxyfen (Ref: X-52),Not High,4.7025,10.506766,1.557217371,5.687386275,3.0000855,6.219337058,9.473725908,2,2.155188867,0.0,11.77414,0,0,0,4.611206777
Chloralose,High,-0.4629,13.75263968,1.788006897,0.0,3.139236043,5.977935995,29.53017105,3,2.566475863,40.78845495,16.73804574,3,0,0,6.188863653
Chloramben (Ref: ACP M-629),High,2.2738,0.0,0.765954097,5.687386275,1.935974491,3.755000035,10.84019487,2,2.113691995,0.0,11.15990741,2,0,0,2.976111682
Chlorbromuron (Ref: C6313),Not High,3.1276,0.779872003,0.858995381,10.48192346,2.963220341,5.252728102,5.316788604,2,2.077539888,0.0,9.126118372,1,0,1,4.000619816
Chlordane (Ref: OMS 1437),High,5.6828,-1.503194444,3.48364159,0.0,9.791961427,8.354834449,0.0,8,2.841486774,31.25669606,51.00593364,0,0,0,9.294475915
Chlorethoxyfos (Ref: DPX 43898),Not High,4.2356,13.66992788,0.587459784,0.0,5.032268286,8.157770371,9.047494323,4,2.368592098,23.20315854,27.29807933,0,0,0,7.97444742
Chlorfenapyr (Ref: MK 242),Not High,5.45548,46.04750069,2.186709714,13.17124514,4.150561453,7.70874634,9.303962602,5,2.403327252,19.83085246,8.727163884,0,0,0,5.782015264
Chlorfenson (Ref: K 6451),Not High,3.7611,28.75226505,1.26620801,0.0,3.887218376,7.09312441,4.183085433,2,2.156701332,4.895483476,11.38672182,0,0,0,5.864488819
Chlorfenvinphos (Ref: OMS 166),Not High,5.7283,27.64589406,1.343824905,0.0,4.395425889,8.451834303,4.523747162,3,2.289690795,13.8474744,17.57559676,0,0,0,6.126830739
Chlorfluazuron (Ref: CGA 112913),High,7.093,70.85290959,2.524424156,32.4339987,4.838803889,9.958796458,10.05365156,8,2.316855071,6.176298517,17.9256591,2,0,2,7.606313293
Chloridazon (Ref: BAS 119H),Not High,1.4681,1.207037037,1.19861658,5.687386275,2.326521365,4.664517212,5.733667477,1,2.06674346,0.0,5.734369961,1,0,0,3.344363132
Chlormephos (Ref: MC 2188),Not High,3.2134,10.585,0.487792595,0.0,6.677364375,8.041153421,9.047494323,1,2.166943852,13.8474744,12.04074342,0,0,0,8.415171999
Chlormequat chloride (Ref: BAS 062W),Not High,-2.0646,0.961805556,0.253546276,0.0,0.92436667,2.959652278,16.89006402,2,2.01757652,0.0,5.470540123,0,1,0,3.080877592
Chlorobenzilate (Ref: ENT 18596),Not High,3.7924,5.021427154,2.020088679,0.0,3.598788285,7.154264833,9.843390349,2,2.410741092,12.52478801,11.70804826,1,0,0,5.317537988
Chloroneb,High,3.0106,9.906687453,0.823193001,0.0,2.016979163,4.013338829,9.473725908,2,2.064037045,0.0,11.63324074,0,0,0,2.93570048
Chlorophacinone (Ref: LM 91),Not High,4.7364,0.0,3.589697011,0.0,5.139616427,8.97077103,0.0,1,2.453194498,5.917906046,5.983115001,0,0,0,6.94115026
Chloropicrin,High,1.5908,-2.361111111,0.0,0.0,0.621059003,2.289595298,0.0,3,2.333593826,3.916470719,14.09953704,0,0,0,2.946320043
Chloropropylate (Ref: ENT 26999),Not High,4.1809,5.229760488,2.083904739,0.0,3.666096717,7.548885716,9.843390349,2,2.416686038,25.5524916,11.75438571,1,0,0,6.051131206
Chlorothalonil (Ref: DS 2787),Not High,4.04356,0.0,0.829868049,0.0,3.192304069,4.715000434,0.0,4,2.191738402,0.0,22.81197657,0,0,0,3.741393636
Chlorotoluron (Ref: C 2242),Not High,2.74192,0.0,0.905891803,10.48192346,2.23648499,4.627138715,10.21669833,1,2.039431904,6.9237372,5.911951058,1,0,1,3.695742917
Chloroxuron (Ref: C 1983),High,4.2258,5.659004472,1.480310124,10.48192346,2.813083906,6.440087544,14.95356129,1,2.036744064,0.0,5.80965948,1,0,1,4.841375154
Chlorpropham (Ref: ENT 18060),Not High,3.2969,4.900872071,0.92762546,10.48192346,1.648854605,4.686965004,4.736862954,1,2.043810417,19.95144079,5.741914088,1,0,1,3.525846528
Chlorpyrifos (Ref: OMS 971),Not High,4.7181,16.05611347,1.004627072,0.0,4.972432894,8.707427315,4.523747162,3,2.237519143,13.8474744,22.67465017,0,0,0,7.029481866
Chlorpyrifos-methyl (Ref: OMS 1155),Not High,3.9379,15.10778014,0.747498077,0.0,4.852765373,7.532360064,13.57124149,3,2.215770335,0.0,22.27011735,0,0,0,6.772980042
Chlorsulfuron (Ref: DPX 4189),High,1.35242,30.86778538,1.571206753,10.74287647,4.3186273,8.027179218,4.736862954,1,2.206525648,11.81922068,5.812397753,2,0,2,6.240998093
Chlorthal-dimethyl (Ref: DAC 893),High,3.8734,8.986627771,1.194239281,0.0,3.747736374,5.90078,9.473725908,4,2.281636916,0.0,23.46665659,0,0,0,4.500950086
Chlorthiamid (Ref: WL 5792.),Not High,2.6276,0.0,0.733211021,0.0,2.043226859,4.028957925,5.733667477,2,2.05861281,0.0,16.29104938,1,0,0,3.215136114
Chlozolinate (Ref: M 8164),Not High,2.7984,9.662382965,1.849005287,10.48192346,3.292110929,6.757291407,9.473725908,2,2.574180268,19.44852521,11.68234187,0,0,0,5.262769757
Cholecalciferol,Not High,7.619,0.0,6.65870292,0.0,8.353356217,12.06754873,5.106527395,0,2.498996973,104.427953,0.0,1,0,0,10.83149848
Choline chloride,High,-3.3111,0.84375,0.3,0.0,0.770820393,2.474096319,21.99659141,1,2.01676191,0.0,0.0,1,1,0,2.73753768
Cinidon-ethyl (Ref: BAS 615H),Not High,4.2266,4.836496637,3.150340687,5.687386275,4.988387493,9.139483231,4.736862954,2,2.392367303,32.60702369,12.12690948,0,0,0,6.842890409
Cinosulfuron (Ref: CGA 142464),High,0.4244,46.90120009,1.906934454,10.74287647,4.466042205,9.262327649,18.94745182,0,2.225994954,4.895483476,0.0,2,0,2,6.630856834
Clethodim (Ref: RE 45601),High,4.0041,0.0,2.794643331,0.0,5.014601045,9.555632215,0.0,1,2.327537338,51.70443612,7.28586762,1,0,1,7.571548922
Clodinafop propargyl (Ref: CGA 184927),Not High,3.6101,29.10385739,1.657396598,4.390415048,2.961559393,7.228379292,14.21058886,2,2.157042922,13.02770359,5.623165338,0,0,0,5.022328112
Clofencet (Ref: MON 21250 ),High,2.1465,1.445617284,1.852696921,0.0,2.95303655,6.024916794,5.106527395,1,2.174653776,13.34455882,5.805961278,1,0,0,4.31387616
Clofentezine (Ref: NC 21314),High,3.9074,0.0,1.730012997,0.0,3.367582424,6.583021148,0.0,2,2.102363666,0.0,12.16823074,0,0,0,4.821306405
Clomazone (Ref: FMC 57020),Not High,2.64,0.0,1.59602035,0.0,3.027221822,5.566611789,0.0,1,2.398589701,20.39223081,6.027937138,0,0,0,4.997697035
Clopyralid,High,2.0866,0.0,0.568318156,0.0,1.530097602,3.41952156,5.106527395,2,2.09346052,0.0,10.91703704,1,0,0,2.564006408
Cloquintocet-mexyl (Ref: CGA 185072),Not High,4.779,10.91095402,2.364220523,0.0,3.901388328,8.347786363,9.473725908,1,2.121343235,45.63472728,6.133799589,0,0,0,5.937225059
Clothianidin (Ref: CGA 322704),High,0.6532,0.434280255,0.791246284,0.0,2.491043466,5.028854747,5.316788604,1,2.047022314,6.544756406,6.917737107,2,0,2,4.071528145
Coumachlor,Not High,4.263,5.328453859,2.824299237,0.0,4.184262891,7.844919513,9.523678332,1,2.253879922,19.26246487,5.912189372,1,0,0,6.094673011
Coumatetralyl,Not High,3.9668,5.42631165,3.508965278,0.0,4.537754648,7.579831722,9.523678332,0,2.277628013,25.18037091,0.0,1,0,0,5.791589006
Crimidine,High,1.50442,0.0,0.745530286,5.817862778,1.440634745,3.656758158,4.899909731,1,1.995624082,6.9237372,5.645308642,0,0,0,2.869044376
"Cyanamide (Ref: LH 21,810A)",High,-0.57382,0.0,0.0,0.0,0.0,0.512281932,5.733667477,0,1.118679834,0.0,0.0,1,0,0,0.129099445
Cyanazine,Not High,1.67088,0.0,0.95061892,11.89667856,1.815855549,5.192854466,10.63357721,1,2.177666573,26.31013685,5.732648495,2,0,2,3.98184983
Cyazofamid (Ref: IKF 916),Not High,2.0381,26.71506913,1.787167607,0.0,4.915451123,7.746220209,0.0,1,2.278297951,6.9237372,6.047898558,0,0,0,6.956353804
Cyclanilide (Ref: RPA 090946),Not High,2.7967,0.0,1.49585053,5.687386275,3.321167751,5.71088916,10.423316,2,2.566903356,12.84164325,11.59200829,2,0,1,4.809187621
Cycloate (Ref: R 2063),Not High,3.5141,0.0,2.135468515,4.794537184,3.62861258,6.711265582,4.899909731,0,2.230230894,51.99342334,1.444626795,0,0,0,4.992035704
Cycloxydim (Ref: BAS 517H),High,3.2731,0.0,3.351738213,0.0,5.697717552,9.574298607,0.0,0,2.364765716,52.37240414,1.958494469,1,0,1,7.280361833
Cyflufenamid (Ref: NF 149),Not High,4.4307,68.15935056,2.595243655,21.95207524,4.256523497,8.842267061,0.0,5,2.373812672,25.43876339,0.0,1,0,1,6.654653378
Cyfluthrin (Ref: OMS 2012),Not High,6.31708,25.18054027,3.309795412,4.390415048,5.302423118,9.646116243,9.473725908,3,2.615318979,19.95144079,11.42067334,0,0,0,8.339998909
Cyhalofop-butyl (Ref: DE 537),Not High,4.60028,29.9119021,2.053066455,4.390415048,3.499519251,8.340120417,14.21058886,1,2.158356464,32.79308403,0.0,0,0,0,5.611601447
Cyhalothrin (Ref: OMS 2011),High,6.54398,49.24236891,3.415186104,13.17124514,5.592591845,9.79046734,9.473725908,4,2.621342747,26.1277393,5.319767599,0,0,0,8.178015538
Cymoxanil (Ref: DPX T3217),High,-0.64192,0.0,0.570994328,4.794537184,1.067948067,3.756944534,10.15437719,0,2.137063743,6.9237372,0.0,2,0,2,2.047849852
Cypermethrin (Ref: OMS 2002),Not High,6.17798,11.39789951,3.298782484,0.0,5.213148759,9.54046734,9.473725908,2,2.615221577,19.95144079,11.46206606,0,0,0,8.222629525
