Unnamed: 0,Environmental fate,BCUT2D_LOGPHI,MolLogP,Chi1v,MinAbsEStateIndex,MaxPartialCharge,MinPartialCharge,qed,BalabanJ,SMR_VSA10,Chi2v,MinAbsPartialCharge,BCUT2D_CHGLO,FpDensityMorgan3,BCUT2D_MRLOW,BCUT2D_MRHI
Benalaxyl (Ref: M 9834),Not High,2.273837755,3.44064,7.953865935,0.128240741,0.328176535,-0.467478575,0.791223969,2.430341149,17.56387129,5.86566492,0.328176535,-2.30171301,2.125,-0.142581856,6.010147516
Benazolin (Ref: RD 7693),High,2.243876891,1.801,5.284558357,0.305092593,0.32319041,-0.479913247,0.875078067,2.76485568,39.12365169,4.334823335,0.32319041,-1.99837447,2.933333333,-0.137155537,7.160759176
Bendiocarb (Ref: NC 6897),Not High,2.450705847,1.9121,4.922885952,0.349467593,0.411973885,-0.448896133,0.789694651,2.298082754,6.093240071,3.826882719,0.411973885,-2.160620406,2.8125,-0.043827758,5.715503839
Benfluralin (Ref: EL 110),High,2.426152876,4.1482,6.919433479,0.201433059,0.416414444,-0.360621264,0.551412744,3.638721513,17.06215882,4.808305713,0.360621264,-2.225409263,1.869565217,-0.392595518,5.759891437
Benfuracarb,Not High,2.415948067,4.0575,10.22472074,0.124797725,0.425702043,-0.483302329,0.472809651,1.969792124,24.19650634,8.699513656,0.425702043,-2.279804506,2.678571429,-0.142763577,7.947262655
Benfuresate (Ref: NC 20484),Not High,2.398544403,2.0851,7.111642872,0.037720616,0.308398007,-0.492370542,0.776968922,2.349619121,10.11812686,6.619582355,0.308398007,-2.152963612,2.764705882,0.290800927,7.865527883
Benodanil (Ref: BAS 3170),Not High,2.136857443,3.5435,5.959889399,0.072962963,0.256234537,-0.321965931,0.841714587,2.186811346,34.18543663,4.462186509,0.256234537,-2.05644476,2.25,0.102128672,14.11193242
Benomyl (Ref: T 1991),Not High,2.188418571,2.5724,6.776665156,0.13615599,0.41320683,-0.452571671,0.847401445,2.350217005,29.1060953,4.461599002,0.41320683,-2.090980899,2.80952381,0.186368719,5.956324924
Benoxacor (Ref: CGA 154281),High,2.339750429,2.6042,5.813267215,0.067222222,0.260258758,-0.489250076,0.726197042,2.404984323,34.79644578,4.73295141,0.260258758,-2.347926437,2.875,-0.117309745,6.543191966
Bensulfuron-methyl (Ref: DPX F5384),Not High,2.172784427,0.9319,9.376444557,0.080230183,0.337660463,-0.480765414,0.636430335,2.127819015,27.97205023,6.962570162,0.337660463,-2.107604238,2.214285714,0.059952549,7.888094683
Bensulide (Ref: R 4461),High,2.618313816,3.7726,13.01759333,0.0341723,0.247381081,-0.318905441,0.478892208,2.553910806,38.90540964,13.40136222,0.247381081,-2.250706621,2.130434783,0.185868835,8.674586402
Bensultap (Ref: OMS 3011),Not High,2.280483234,3.1608,13.74728555,0.206505102,0.229550624,-0.304735486,0.564821175,2.014935594,39.32632828,13.66540736,0.229550624,-2.228096124,1.384615385,0.345002387,8.721809557
Bentazone,High,2.266357871,1.2075,6.328075633,0.337407407,0.326195646,-0.267832934,0.801888909,2.606555901,21.80389517,5.395058122,0.267832934,-2.309290482,2.5,0.083394936,7.906996472
Beta-cyfluthrin (Ref: OMS 3051),High,2.600056213,6.31708,9.646116243,0.063442156,0.311285242,-0.454280415,0.499726358,1.769045078,29.17118507,8.339998909,0.311285242,-2.138826611,2.551724138,-0.149080377,6.554403694
Beta-cypermethrin (Ref: OMS 3068),Not High,2.599929679,6.17798,9.54046734,0.113804497,0.311285242,-0.457370815,0.528046798,1.721481495,29.17118507,8.222629525,0.311285242,-2.133296373,2.464285714,-0.149079894,6.55440166
Bifenazate,Not High,2.295499556,3.8237,7.059740999,0.181158671,0.425706198,-0.494522,0.824046587,2.164634493,11.78062635,4.985151554,0.425706198,-2.145867429,2.409090909,0.117347678,5.744690351
Bifenox,Not High,2.33134411,4.4805,6.673461203,0.203909675,0.344530995,-0.465231512,0.464943161,2.399020158,34.85857134,4.94808862,0.344530995,-2.088950772,2.5,-0.384752833,6.350649114
Bifenthrin (Ref: FMC 54800),High,2.601572274,6.66242,9.660437978,0.070791171,0.426122298,-0.4605547,0.503249024,1.704911756,17.57024518,8.307818119,0.426122298,-2.123099517,2.413793103,-0.147153004,6.299410423
Binapacryl (Ref: FMC 9044),High,2.399035512,3.8881,7.003314058,0.238472222,0.335834655,-0.415657054,0.258006741,3.554156211,17.34407784,5.349547982,0.335834655,-2.139117835,2.304347826,-0.394310566,5.855989955
Bioallethrin,Not High,2.596364136,4.002,7.889968688,0.057011999,0.310236645,-0.457090999,0.569226799,2.067252684,11.75255023,7.276032983,0.310236645,-2.134259633,2.590909091,-0.149703367,5.997051288
Bioresmethrin (Ref: FMC 17370),Not High,2.59406212,5.152,8.795486214,0.010695266,0.309957973,-0.46857681,0.539835014,1.542209936,5.969305288,7.760192075,0.309957973,-2.034756126,2.6,-0.147100652,5.778960103
Biphenyl,Not High,2.16566886,3.3536,4.071367205,1.276018519,-0.018404256,-0.062225395,0.590501888,2.45714948,0.0,2.732050808,0.018404256,-1.980707141,1.083333333,1.62006332,5.621924011
Bitertanol (Ref: KWG 0599),Not High,2.306805054,3.9297,8.29307902,0.36051987,0.218752628,-0.46582123,0.766176915,1.825659727,0.0,7.085172526,0.218752628,-2.323790586,2.16,-0.073057404,5.63377416
Boscalid (Ref: BAS 510F),High,2.290319094,5.3077,7.673882527,0.174975974,0.258307216,-0.321316429,0.655191527,1.936438113,34.79644578,5.642822297,0.258307216,-2.115625072,2.391304348,0.102194642,6.329393411
Brodifacoum (Ref: WBA 8119),High,2.454316959,7.79,12.55971835,0.030453132,0.343352271,-0.506591997,0.24575406,1.407183202,26.89918825,10.08068733,0.343352271,-2.318599276,2.228571429,0.436781455,9.103001869
Bromacil (Ref: DPX N0976),High,2.082881287,1.57852,5.288346623,0.080416667,0.328349741,-0.310184665,0.878196139,3.529081536,15.9299439,4.09455758,0.310184665,-2.117271016,2.571428571,0.485986775,9.103106943
Bromadiolone (Ref: LM 637),Not High,2.389273185,7.1837,12.1394489,0.107880201,0.343353675,-0.506591986,0.229590089,1.504070716,26.89918825,9.407307419,0.343353675,-2.218587823,2.028571429,0.160919737,9.103001601
Bromethalin (Ref: OMS 3020),High,2.48397515,6.5772,9.144226834,0.167271353,0.418424364,-0.33666442,0.302546013,2.895058327,70.53937679,7.774449746,0.33666442,-2.251232094,1.851851852,-0.393592293,9.113961353
Bromofenoxim (Ref: C9122),Not High,2.304511897,3.4106,7.723928466,0.19404964,0.320619646,-0.375346629,0.526657134,2.180088894,49.01790529,6.052846318,0.320619646,-2.086098345,2.25,-0.394428045,9.127719805
Bromophos,High,2.501940297,4.652,8.077530535,0.335092593,0.379571639,-0.422481256,0.572893002,3.063766854,57.657287,7.418063916,0.379571639,-2.187409987,2.25,0.273016207,9.1033996
Bromopropylate (Ref: GS 19851),High,2.327264272,4.3991,8.378953309,0.314887304,0.347443699,-0.460310659,0.735227222,2.547618684,37.82919308,7.009610703,0.347443699,-2.278021591,1.636363636,-0.165741661,9.104480736
Bromoxynil (Ref: ENT 20852),Not High,2.323339891,2.78888,4.315875146,0.114814815,0.143513489,-0.505580002,0.791922188,3.348369661,31.8598878,3.608976192,0.143513489,-1.985538837,2.090909091,0.468183079,9.108907764
Bromuconazole (Ref: LS 860263),High,2.43066767,3.6642,7.821246677,0.289598293,0.137254847,-0.367082757,0.767071805,2.011553139,39.13182368,6.962526532,0.137254847,-2.293271176,2.9,-0.016851652,9.092595234
Bronopol,High,2.154469699,-0.6611,2.910297989,0.725694444,0.319034789,-0.387772458,0.273843954,4.090340516,15.9299439,2.9674505,0.319034789,-2.107977199,1.888888889,-0.54159238,9.095907668
Bupirimate (Ref: PP 588),Not High,2.241531561,1.74462,8.412021428,0.111666667,0.385668068,-0.354393483,0.786241915,3.229204537,16.25250416,6.626064763,0.354393483,-2.158712681,2.428571429,0.411005014,7.84192413
Buprofezin (Ref: PP 618),Not High,2.285098208,4.1822,8.163973568,0.001898148,0.331048049,-0.283786224,0.821370517,2.323385479,28.64803751,7.260562233,0.283786224,-2.384033936,2.333333333,0.220140725,8.13600154
Butachlor (Ref: CP 53619),Not High,2.27096325,4.1574,8.272696953,0.029423973,0.243316366,-0.360654615,0.389228092,3.04059293,23.19550589,5.245536515,0.243316366,-2.264659942,2.285714286,-0.116998506,6.290233552
Butocarboxim (Ref: Co 755),High,2.06480664,1.4698,4.86230633,0.272829743,0.432586399,-0.322658205,0.416304575,3.912237963,23.56681002,3.417855129,0.322658205,-2.050589574,2.666666667,0.152563696,7.994428599
Butoxycarboxim (Ref: Co 859),High,2.007485459,0.1514,5.86230633,0.2325,0.432586421,-0.322658204,0.418265494,4.473265368,21.64217821,5.199329544,0.322658204,-2.06793696,2.357142857,0.152518862,7.915938521
Butralin (Ref: Amchem70-25),High,2.391657519,4.0109,6.813591353,0.020972222,0.299257288,-0.371392761,0.653232887,3.588145947,17.06215882,6.107350756,0.299257288,-2.202018347,1.857142857,-0.392060857,5.751603401
Butylate (Ref: R 1910),Not High,2.122225858,3.4735,6.371588753,0.231388889,0.281136084,-0.333096652,0.702512438,4.151457931,17.00109666,5.606863113,0.281136084,-2.251730113,1.857142857,0.207702519,8.130012536
Cadusafos (Ref: FMC 67825),Not High,2.721730871,5.1944,10.17718662,0.401795792,0.313193393,-0.313869694,0.566594588,4.371665188,28.53600745,11.53989634,0.313193393,-2.212724684,1.733333333,0.357083455,8.88990606
Camphechlor (Ref: Hercules 3956),Not High,2.774547163,5.6627,8.857676086,0.107685185,0.127080266,-0.125968037,0.523425981,2.676764037,92.80751912,9.029782845,0.125968037,-2.477868049,1.944444444,0.148560406,6.517302337
Captafol (Ref: Ortho-5865),Not High,2.48121272,3.5209,7.624442872,0.278695988,0.243209457,-0.273108353,0.338692748,2.160445589,70.16604199,8.202413271,0.243209457,-2.239314368,2.0,-0.132785416,8.018170723
Captan (Ref: SR 406),Not High,2.462704698,2.9135,6.593407105,0.25400463,0.256394464,-0.273107652,0.323312311,2.179857529,58.5651021,7.77732441,0.256394464,-2.173705889,1.9375,-0.132766644,8.030747843
Carbaryl (Ref: UC 7744),Not High,2.244264845,2.558,4.683739641,0.452450869,0.411859733,-0.409697068,0.769567031,2.464953756,16.8656885,3.116804193,0.409697068,-2.058962003,2.666666667,0.20328045,5.896103239
Carbendazim (Ref: BAS 346F),Not High,2.124469109,1.7412,4.091060446,0.387083333,0.413189963,-0.452571857,0.720984649,2.310490604,23.07498079,2.719140879,0.413189963,-1.964126254,3.0,0.186462226,5.854879957
Carbetamide (Ref: RP 11561),Not High,2.056049809,1.7597,5.435443874,0.309526224,0.411897676,-0.436180761,0.836620648,2.419926733,17.68780607,3.433143394,0.411897676,-2.126648266,2.529411765,-0.12785506,5.879847332
Carbofuran (Ref: OMS 864),Not High,2.411353517,2.1183,5.221744443,0.231659226,0.411971662,-0.483302334,0.789737865,2.298082754,6.093240071,4.422447704,0.411971662,-2.173616876,2.9375,0.132713289,5.711549454
Carbophenothion (Ref: ENT 23708),Not High,2.614912572,5.4203,11.10608145,0.593144209,0.247639752,-0.321948961,0.355407068,2.431478516,52.24494333,11.28862482,0.247639752,-2.190575231,2.222222222,0.280468262,8.690521438
Carbosulfan (Ref: OMS 3022),Not High,2.415665979,5.2961,10.28467905,0.26130918,0.42570192,-0.483302329,0.544125841,1.976780131,18.22720105,8.593561197,0.42570192,-2.252664949,2.5,0.131449037,7.94704627
Carboxin (Ref: D 735),Not High,2.259294662,2.62,6.086004867,0.089444444,0.26500736,-0.495979972,0.855983133,2.086650444,23.35645095,4.507555053,0.26500736,-2.171860042,2.8125,-0.111980148,8.036146888
Carfentrazone-ethyl (Ref: F 8426),Not High,2.252393895,3.24302,8.236582981,0.042350351,0.354828821,-0.464877598,0.539998727,2.47619465,29.17118507,6.142014906,0.354828821,-2.117643241,2.576923077,-0.142144134,6.321236012
Cetrimide,Not High,2.117324846,2.3977,8.364975334,0.0,0.077992828,-1.0,0.357881232,0.0,0.0,6.903018179,0.077992828,-2.230980809,1.157894737,-0.870130462,4.47903276
Chinomethionat (Ref: ENT 25606),High,2.207393908,2.57462,6.036074951,0.05280376,0.291035356,-0.265260746,0.60011514,2.514523654,43.36776603,5.461849683,0.265260746,-1.966375174,2.466666667,1.401905927,7.34583017
Chlomethoxyfen (Ref: X-52),Not High,2.35456769,4.7025,6.219337058,0.108875906,0.31068367,-0.490042217,0.605828161,2.31965731,28.88926606,4.611206777,0.31068367,-2.088988884,2.45,-0.385353701,6.350579505
Chloralose,High,2.420759325,-0.4629,5.977935995,0.546576134,0.240527151,-0.393578938,0.598205189,2.012130747,34.80281967,6.188863653,0.240527151,-2.239691846,2.294117647,-0.187672614,6.674846201
Chloramben (Ref: ACP M-629),High,2.269566588,2.2738,3.755000035,0.020277778,0.33684198,-0.477599213,0.692333259,3.373859011,34.85857134,2.976111682,0.33684198,-2.019391239,2.5,0.069689222,6.373780624
Chlorbromuron (Ref: C6313),Not High,2.250038663,3.1276,5.252728102,0.364917486,0.34498232,-0.306010247,0.85125721,2.729689123,39.24938458,4.000619816,0.306010247,-2.142599517,2.8,-0.059759785,9.103383745
Chlordane (Ref: OMS 1437),High,2.790301039,5.6828,8.354834449,0.183796296,0.166392137,-0.12137494,0.451292438,2.264384235,92.80751912,9.294475915,0.12137494,-2.34868452,1.944444444,0.385023589,6.6553574
Chlorethoxyfos (Ref: DPX 43898),Not High,2.537496824,4.2356,8.157770371,0.33407124,0.328252498,-0.308935807,0.535832054,4.476907591,64.92922288,7.97444742,0.308935807,-2.257374036,1.866666667,0.155393829,8.071526924
Chlorfenapyr (Ref: MK 242),Not High,2.427825176,5.45548,7.70874634,0.097823602,0.432183107,-0.361050593,0.675230423,2.773865747,27.53088379,5.782015264,0.361050593,-2.15260736,2.391304348,-0.145892868,9.103508162
Chlorfenson (Ref: K 6451),Not High,2.212436225,3.7611,7.09312441,0.04337963,0.338712333,-0.378968977,0.81084953,2.267141922,33.32000664,5.864488819,0.338712333,-2.063996292,1.722222222,0.48586569,7.867205173
Chlorfenvinphos (Ref: OMS 166),Not High,2.529147186,5.7283,8.451834303,0.082006173,0.529594974,-0.402365732,0.460592567,3.047340265,48.38468167,6.126830739,0.402365732,-2.188177916,2.3,0.159333058,7.483867564
Chlorfluazuron (Ref: CGA 112913),High,2.40753134,7.093,9.958796458,0.061915719,0.417446253,-0.43438855,0.346273748,1.743191058,52.42850019,7.606313293,0.417446253,-2.135775696,2.058823529,-0.137390133,6.375729172
Chloridazon (Ref: BAS 119H),Not High,2.114680377,1.4681,4.664517212,0.00569161,0.291875441,-0.396048531,0.79338231,2.660282009,17.28832616,3.344363132,0.291875441,-2.043845069,2.6,0.809331004,6.32287857
Chlormephos (Ref: MC 2188),Not High,2.604964499,3.2134,8.041153421,0.427854938,0.247987342,-0.321940988,0.518771569,3.90847195,40.48305838,8.415171999,0.247987342,-2.176545713,2.090909091,0.280465552,8.677182555
Chlormequat chloride (Ref: BAS 062W),Not High,1.884050412,-2.0646,2.959652278,0.0,0.091764584,-1.0,0.319881492,0.0,11.60093989,3.080877592,0.091764584,-2.213301191,1.625,-0.867354096,6.174699344
Chlorobenzilate (Ref: ENT 18596),Not High,2.322383497,3.7924,7.154264833,0.168971053,0.34717772,-0.463326597,0.870120696,2.554539375,29.17118507,5.317537988,0.34717772,-2.265540775,1.714285714,-0.161176433,6.304385856
Chloroneb,High,2.345157324,3.0106,4.013338829,0.484953704,0.138714153,-0.495138932,0.741456107,3.164874105,23.20187978,2.93570048,0.138714153,-2.064729313,1.5,0.403286115,6.348307889
Chlorophacinone (Ref: LM 91),Not High,2.348180861,4.7364,8.97077103,0.322933149,0.181441583,-0.297295705,0.619806917,1.794523805,28.95067473,6.94115026,0.181441583,-2.192537211,1.740740741,-0.120372108,6.361177196
Chloropicrin,High,2.24887402,1.5908,2.289595298,1.016203704,0.448706986,-0.260449341,0.236106424,3.791118417,34.80281967,2.946320043,0.260449341,-1.955265198,1.571428571,-0.491425197,6.654391197
Chloropropylate (Ref: ENT 26999),Not High,2.32633086,4.1809,7.548885716,0.348494985,0.347443706,-0.460310659,0.850265185,2.547618684,29.17118507,6.051131206,0.347443706,-2.277678987,1.636363636,-0.165740304,6.304393814
Chlorothalonil (Ref: DS 2787),Not High,2.397734479,4.04356,4.715000434,0.036265432,0.102378679,-0.1923229,0.524970362,3.781719624,46.40375956,3.741393636,0.102378679,-2.053695676,1.285714286,1.446040323,6.50303518
Chlorotoluron (Ref: C 2242),Not High,2.193881654,2.74192,4.627138715,0.162111363,0.320817445,-0.330653038,0.762996081,2.781208374,23.31944068,3.695742917,0.320817445,-2.118739777,2.571428571,0.230478345,6.312161282
Chloroxuron (Ref: C 1983),High,2.238625683,4.2258,6.440087544,0.170028135,0.320816671,-0.457380095,0.919060886,2.00922775,23.31944068,4.841375154,0.320816671,-2.120620543,2.0,0.230471577,6.301106597
Chlorpropham (Ref: ENT 18060),Not High,2.145180958,3.2969,4.686965004,0.130385015,0.411370985,-0.446591943,0.818819204,2.559925674,23.38156624,3.525846528,0.411370985,-2.087311548,2.785714286,0.129675765,6.30432198
Chlorpyrifos (Ref: OMS 971),Not High,2.505339914,4.7181,8.707427315,0.05212963,0.381355943,-0.403962032,0.548341319,3.006125183,53.32828299,7.029481866,0.381355943,-2.204641212,2.222222222,0.215804603,8.072978733
Chlorpyrifos-methyl (Ref: OMS 1155),Not High,2.4915769,3.9379,7.532360064,0.030648148,0.380830901,-0.403974323,0.620156074,3.063766854,53.32828299,6.772980042,0.380830901,-2.176708077,2.25,0.270231654,8.072809352
Chlorsulfuron (Ref: DPX 4189),High,2.196729628,1.35242,8.027179218,0.008819636,0.335023421,-0.46665724,0.845948959,2.163978048,33.60368484,6.240998093,0.335023421,-2.090271948,2.565217391,0.256071335,7.898004749
Chlorthal-dimethyl (Ref: DAC 893),High,2.411907701,3.8734,5.90078,0.20510519,0.340518014,-0.465339195,0.609365141,3.656892594,58.34237014,4.500950086,0.340518014,-2.122105344,1.111111111,0.058693952,6.51950636
