Unnamed: 0,Environmental fate,qed,fr_quatN,Kappa1,fr_sulfonamd,fr_ether,fr_N_O,fr_morpholine,fr_pyridine,fr_hdrzine,fr_nitro_arom_nonortho,VSA_EState8,fr_priamide,fr_tetrazole,SMR_VSA4,BCUT2D_CHGLO
Boscalid (Ref: BAS 510F),High,0.655191527,0,15.53244466,0,0,0,0,1,0,0,0.0,0,0,0.0,-2.115625072
Brodifacoum (Ref: WBA 8119),High,0.24575406,0,21.87346071,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.318599276
Bromacil (Ref: DPX N0976),High,0.878196139,0,11.23598784,0,0,0,0,0,0,0,5.468807162,0,0,0.0,-2.117271016
Bromadiolone (Ref: LM 637),Not High,0.229590089,0,23.08968141,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.218587823
Bromethalin (Ref: OMS 3020),High,0.302546013,0,21.56873373,0,0,0,0,0,0,1,0.0,0,0,0.0,-2.251232094
Bromofenoxim (Ref: C9122),Not High,0.526657134,0,17.81810792,0,0,1,0,0,0,1,0.0,0,0,0.0,-2.086098345
Bromophos,High,0.572893002,0,14.71006006,0,0,0,0,0,0,0,-2.790006614,0,0,0.0,-2.187409987
Bromopropylate (Ref: GS 19851),High,0.735227222,0,17.18807448,0,1,0,0,0,0,0,3.502942387,0,0,0.0,-2.278021591
Bromoxynil (Ref: ENT 20852),Not High,0.791922188,0,8.565510984,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.985538837
Bromuconazole (Ref: LS 860263),High,0.767071805,0,14.32284807,0,1,0,0,0,0,0,1.198516708,0,0,0.0,-2.293271176
Bronopol,High,0.273843954,0,8.8,0,0,0,0,0,0,0,-1.451388889,0,0,0.0,-2.107977199
Bupirimate (Ref: PP 588),Not High,0.786241915,0,17.64104645,0,0,0,0,0,0,0,6.469587349,0,0,0.0,-2.158712681
Buprofezin (Ref: PP 618),Not High,0.821370517,0,15.89054477,0,0,0,0,0,0,0,10.18413218,0,0,4.992404733,-2.384033936
Butachlor (Ref: CP 53619),Not High,0.389228092,0,17.99015045,0,1,0,0,0,0,0,7.24963249,0,0,0.0,-2.264659942
Butocarboxim (Ref: Co 755),High,0.416304575,0,11.29,0,0,0,0,0,0,0,3.820255102,0,0,5.155712727,-2.050589574
Butoxycarboxim (Ref: Co 859),High,0.418265494,0,12.89,0,0,0,0,0,0,0,2.954398621,0,0,5.155712727,-2.06793696
Butralin (Ref: Amchem70-25),High,0.653232887,0,16.87313496,0,0,0,0,0,0,0,9.302223758,0,0,0.0,-2.202018347
Butylate (Ref: R 1910),Not High,0.702512438,0,13.82,0,0,0,0,0,0,0,12.37737906,0,0,11.83581209,-2.251730113
Cadusafos (Ref: FMC 67825),Not High,0.566594588,0,15.89,0,0,0,0,0,0,0,10.87092845,0,0,0.0,-2.212724684
Camphechlor (Ref: Hercules 3956),Not High,0.523425981,0,16.68643446,0,0,0,0,0,0,0,0.0,0,0,16.74788698,-2.477868049
Captafol (Ref: Ortho-5865),Not High,0.338692748,0,14.79194472,0,0,0,0,0,0,0,0.0,0,0,11.83581209,-2.239314368
Captan (Ref: SR 406),Not High,0.323312311,0,12.55415683,0,0,0,0,0,0,0,0.0,0,0,11.83581209,-2.173705889
Carbaryl (Ref: UC 7744),Not High,0.769567031,0,9.522159782,0,1,0,0,0,0,0,0.0,0,0,0.0,-2.058962003
Carbendazim (Ref: BAS 346F),Not High,0.720984649,0,8.553468983,0,1,0,0,0,0,0,0.0,0,0,0.0,-1.964126254
Carbetamide (Ref: RP 11561),Not High,0.836620648,0,13.02684492,0,1,0,0,0,0,0,3.830421235,0,0,0.0,-2.126648266
Carbofuran (Ref: OMS 864),Not High,0.789737865,0,10.79610799,0,2,0,0,0,0,0,4.021174887,0,0,0.0,-2.173616876
Carbophenothion (Ref: ENT 23708),Not High,0.355407068,0,16.83324814,0,0,0,0,0,0,0,5.061224237,0,0,0.0,-2.190575231
Carbosulfan (Ref: OMS 3022),Not High,0.544125841,0,20.90639648,0,2,0,0,0,0,0,10.37867645,0,0,0.0,-2.252664949
Carboxin (Ref: D 735),Not High,0.855983133,0,11.07700004,0,1,0,0,0,0,0,2.504646479,0,0,0.0,-2.171860042
Carfentrazone-ethyl (Ref: F 8426),Not High,0.539998727,0,20.3136,0,1,0,0,0,0,0,-0.195359188,0,0,0.0,-2.117643241
Cetrimide,Not High,0.357881232,1,21.73327287,0,0,0,0,0,0,0,3.621002455,0,0,0.0,-2.230980809
Chinomethionat (Ref: ENT 25606),High,0.60011514,0,8.936835241,0,0,0,0,0,0,0,2.015269668,0,0,0.0,-1.966375174
Chlomethoxyfen (Ref: X-52),Not High,0.605828161,0,14.42955284,0,2,0,0,0,0,0,0.0,0,0,0.0,-2.088988884
Chloralose,High,0.598205189,0,14.0478901,0,3,0,0,0,0,0,-0.546576134,0,0,0.0,-2.239691846
Chloramben (Ref: ACP M-629),High,0.692333259,0,9.160334237,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.019391239
Chlorbromuron (Ref: C6313),Not High,0.85125721,0,12.29032349,0,0,2,0,0,0,0,0.0,0,0,0.0,-2.142599517
Chlordane (Ref: OMS 1437),High,0.451292438,0,14.97496117,0,0,0,0,0,0,0,0.0,0,0,11.83581209,-2.34868452
Chlorethoxyfos (Ref: DPX 43898),Not High,0.535832054,0,16.69,0,0,0,0,0,0,0,1.24825822,0,0,0.0,-2.257374036
Chlorfenapyr (Ref: MK 242),Not High,0.675230423,0,17.85750339,0,1,0,0,0,0,0,1.608728803,0,0,0.0,-2.15260736
Chlorfenson (Ref: K 6451),Not High,0.81084953,0,13.20752963,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.063996292
Chlorfenvinphos (Ref: OMS 166),Not High,0.460592567,0,17.83055612,0,0,0,0,0,0,0,3.685665794,0,0,0.0,-2.188177916
Chlorfluazuron (Ref: CGA 112913),High,0.346273748,0,25.47258919,0,1,0,0,1,0,0,0.0,0,0,0.0,-2.135775696
Chloridazon (Ref: BAS 119H),Not High,0.79338231,0,9.733912005,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.043845069
Chlormephos (Ref: MC 2188),Not High,0.518771569,0,12.21,0,0,0,0,0,0,0,4.964341459,0,0,0.0,-2.176545713
Chlormequat chloride (Ref: BAS 062W),Not High,0.319881492,1,11.35128599,0,0,0,0,0,0,0,1.043209877,0,0,0.0,-2.213301191
Chlorobenzilate (Ref: ENT 18596),Not High,0.870120696,0,15.8316333,0,1,0,0,0,0,0,1.851553358,0,0,0.0,-2.265540775
Chloroneb,High,0.741456107,0,9.487719298,0,2,0,0,0,0,0,0.0,0,0,0.0,-2.064729313
Chlorophacinone (Ref: LM 91),Not High,0.619806917,0,17.37764038,0,0,0,0,0,0,0,0.0,0,0,5.917906046,-2.192537211
Chloropicrin,High,0.236106424,0,7.27,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.955265198
Chloropropylate (Ref: ENT 26999),Not High,0.850265185,0,16.81426666,0,1,0,0,0,0,0,3.448497942,0,0,0.0,-2.277678987
Chlorothalonil (Ref: DS 2787),Not High,0.524970362,0,11.4348503,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.053695676
Chlorotoluron (Ref: C 2242),Not High,0.762996081,0,10.85824726,0,0,0,0,0,0,0,1.916548091,0,0,0.0,-2.118739777
Chloroxuron (Ref: C 1983),High,0.919060886,0,14.21421458,0,1,0,0,0,0,0,0.0,0,0,0.0,-2.120620543
Chlorpropham (Ref: ENT 18060),Not High,0.818819204,0,10.85824726,0,1,0,0,0,0,0,3.578475652,0,0,0.0,-2.087311548
Chlorpyrifos (Ref: OMS 971),Not High,0.548341319,0,16.44437738,0,0,0,0,1,0,0,1.366291607,0,0,0.0,-2.204641212
Chlorpyrifos-methyl (Ref: OMS 1155),Not High,0.620156074,0,14.45101281,0,0,0,0,1,0,0,-2.880284392,0,0,0.0,-2.176708077
Chlorsulfuron (Ref: DPX 4189),High,0.845948959,0,16.90278083,1,1,0,0,0,0,0,1.563263793,0,0,0.0,-2.090271948
Chlorthal-dimethyl (Ref: DAC 893),High,0.609365141,0,15.37773672,0,2,0,0,0,0,0,0.0,0,0,0.0,-2.122105344
Chlorthiamid (Ref: WL 5792.),Not High,0.714441282,0,8.78354537,0,0,0,0,0,0,0,0.0,0,0,5.733667477,-2.020611976
Chlozolinate (Ref: M 8164),Not High,0.628570991,0,15.59605038,0,2,0,0,0,0,0,2.816118871,0,0,0.0,-2.17234899
Cholecalciferol,Not High,0.499104027,0,21.87853116,0,0,0,0,0,0,0,14.08683229,0,0,29.08661465,-2.441917938
Choline chloride,High,0.397592531,1,11.06701468,0,0,0,0,0,0,0,1.114583333,0,0,0.0,-2.213793761
Cinidon-ethyl (Ref: BAS 615H),Not High,0.435754005,0,18.67427002,0,1,0,0,0,0,0,1.87471233,0,0,0.0,-2.159962937
Cinosulfuron (Ref: CGA 142464),High,0.553543332,0,21.11395278,1,4,0,0,0,0,0,0.407756209,0,0,0.0,-2.124861376
Clethodim (Ref: RE 45601),High,0.291616145,0,20.2650045,0,0,1,0,0,0,0,6.447685224,0,0,5.917906046,-2.255199346
Clodinafop propargyl (Ref: CGA 184927),Not High,0.588722015,0,17.57193438,0,3,0,0,1,0,0,1.425829695,0,0,0.0,-2.131354011
Clofencet (Ref: MON 21250 ),High,0.933574533,0,13.29538834,0,0,0,0,0,0,0,1.773126715,0,0,0.0,-2.123126443
Clofentezine (Ref: NC 21314),High,0.720022371,0,12.96692367,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.028873889
Clomazone (Ref: FMC 57020),Not High,0.794199393,0,11.42613921,0,0,2,0,0,0,0,4.585406982,0,0,5.414990469,-2.164855469
Clopyralid,High,0.69255238,0,8.298039216,0,0,0,0,1,0,0,0.0,0,0,0.0,-1.955751696
Cloquintocet-mexyl (Ref: CGA 185072),Not High,0.514282773,0,17.54239922,0,2,0,0,1,0,0,3.923827785,0,0,0.0,-2.137180683
Clothianidin (Ref: CGA 322704),High,0.355200432,0,11.66358352,0,0,0,0,0,1,0,0.386805556,0,0,4.992404733,-2.029425954
Coumachlor,Not High,0.719105862,0,16.27420751,0,0,0,0,0,0,0,1.447055759,0,0,0.0,-2.171608706
Coumatetralyl,Not High,0.690455553,0,13.13649957,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.251664903
Crimidine,High,0.600161332,0,8.268328417,0,0,0,0,0,0,0,1.889444444,0,0,0.0,-2.10305692
"Cyanamide (Ref: LH 21,810A)",High,0.291167961,0,2.29,0,0,0,0,0,0,0,0.0,0,0,5.733667477,-1.242289656
Cyanazine,Not High,0.832661954,0,12.4594927,0,0,0,0,0,0,0,6.042329578,0,0,0.0,-2.16964138
Cyazofamid (Ref: IKF 916),Not High,0.865047576,0,15.50773324,0,0,0,0,0,0,0,1.916623323,0,0,0.0,-2.151547486
Cyclanilide (Ref: RPA 090946),Not High,0.832686468,0,12.20362314,0,0,0,0,0,0,0,0.0,0,0,5.414990469,-2.114619323
Cycloate (Ref: R 2063),Not High,0.717721205,0,11.8923589,0,0,0,0,0,0,0,4.996530455,0,0,0.0,-2.326463353
Cycloxydim (Ref: BAS 517H),High,0.461317184,0,17.54239922,0,0,1,0,0,0,0,4.417992178,0,0,11.83581209,-2.322982284
Cyflufenamid (Ref: NF 149),Not High,0.330598228,0,20.91229428,0,0,1,0,0,0,0,0.143037396,0,0,10.91031078,-2.165613734
Cyfluthrin (Ref: OMS 2012),Not High,0.499726358,0,21.16589846,0,2,0,0,0,0,0,3.781529252,0,0,17.25080256,-2.138826611
Cyhalofop-butyl (Ref: DE 537),Not High,0.510034365,0,19.25732327,0,3,0,0,0,0,0,4.011828275,0,0,0.0,-2.141030944
Cyhalothrin (Ref: OMS 2011),High,0.469387702,0,22.69956028,0,2,0,0,0,0,0,3.298292879,0,0,17.25080256,-2.133534975
Cymoxanil (Ref: DPX T3217),High,0.464456052,0,11.9,0,0,0,0,0,0,0,2.070361867,0,0,5.155712727,-2.012594322
Cypermethrin (Ref: OMS 2002),Not High,0.528046798,0,20.25931433,0,2,0,0,0,0,0,3.874036139,0,0,17.25080256,-2.133296373
Cyproconazole (Ref: SAN 619),High,0.921421117,0,13.58654719,0,0,0,0,0,0,0,2.523314909,0,0,11.83581209,-2.345613112
Cyprodinil (Ref: CGA 219417),High,0.869464226,0,10.26651277,0,0,0,0,0,0,0,2.017592593,0,0,0.0,-2.069477391
Cyromazine (Ref: OMS 2014),Not High,0.552557543,0,7.080414577,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.019360891
Daminozide,High,0.540940884,0,9.9,0,0,0,0,0,1,0,0.0,0,0,0.0,-2.098267024
Dazomet (Ref: N 521),High,0.485762833,0,7.308695652,0,0,0,0,0,0,0,0.96412037,0,0,0.0,-2.306749834
DDT (Ref: OMS 16),High,0.540334122,0,15.28210125,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.251489566
Deltamethrin (Ref: OMS 1998),Not High,0.421566373,0,20.62956411,0,2,0,0,0,0,0,4.025270707,0,0,17.25080256,-2.133313996
Demeton-S-methyl,Not High,0.496135295,0,12.85,0,0,0,0,0,0,0,-0.719220679,0,0,0.0,-2.109072045
Desmedipham (Ref: EP 475),Not High,0.898357366,0,15.37038037,0,2,0,0,0,0,0,1.99458079,0,0,0.0,-2.085846524
Desmetryn (Ref: G 34360),Not High,0.738206672,0,11.03716049,0,0,0,0,0,0,0,4.086504157,0,0,0.0,-2.090776187
Di-1-p-menthene,Not High,0.521312737,0,14.88013661,0,0,0,0,0,0,0,9.600119241,0,0,17.25080256,-2.372914988
Diafenthiuron (Ref: CGA 106630),Not High,0.554726738,0,21.2325738,0,1,0,0,0,0,0,15.07151197,0,0,0.0,-2.265886916
Di-allate (Ref: CP 15),Not High,0.759620026,0,15.14,0,0,0,0,0,0,0,7.989902928,0,0,0.0,-2.296533998
Diazinon (Ref: OMS 469),Not High,0.717615875,0,16.50420054,0,0,0,0,0,0,0,7.777433757,0,0,0.0,-2.204863958
Dicamba (Ref: SAN 837H),High,0.834380531,0,10.15285004,0,1,0,0,0,0,0,0.0,0,0,0.0,-2.071742814
Dichlobenil (Ref: H 133),Not High,0.589626564,0,7.397642626,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.936721371
Dichlofenthion (Ref: ENT 17470),High,0.713103546,0,15.22824112,0,0,0,0,0,0,0,1.713352457,0,0,0.0,-2.210834397
Dichlofluanid (Ref: BAY 47531),Not High,0.6143393,0,15.84621135,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.27066045
Dichlorophen,Not High,0.864712718,0,12.08686679,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.073472919
Dichlorprop (Ref: RD 406),High,0.875513664,0,11.14651109,0,1,0,0,0,0,0,1.423878338,0,0,0.0,-2.109104434
Dichlorprop-P (Ref: BAS 044H),High,0.875513664,0,11.14651109,0,1,0,0,0,0,0,1.423878338,0,0,0.0,-2.109104434
Dichlorvos (Ref: OMS 14),High,0.540193894,0,11.27,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.095553414
Diclofop-methyl (Ref: HOE 023408),Not High,0.738015883,0,16.46033365,0,3,0,0,0,0,0,1.614809985,0,0,0.0,-2.128136308
Dicloran (Ref: RD 6584),Not High,0.43642667,0,9.090909091,0,0,0,0,0,0,1,0.0,0,0,0.0,-1.990506309
Dicofol (Ref: ENT 23648),High,0.682416197,0,16.22449177,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.352932994
Dicrotophos (Ref: OMS 253),High,0.410483541,0,14.16,0,0,0,0,0,0,0,1.492152778,0,0,0.0,-2.144615726
Dicyclopentadiene,High,0.443824351,0,5.172687783,0,0,0,0,0,0,0,0.0,0,0,23.67162418,-2.184300613
Dieldrin (Ref: ENT 16225 ),High,0.342677786,0,12.93215822,0,1,0,0,0,0,0,0.0,0,0,23.67162418,-2.375103966
Dienochlor (Ref: SAN 804),High,0.341262069,0,18.20230192,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.376048396
Diethofencarb (Ref: S 1605),Not High,0.857381802,0,15.14851375,0,3,0,0,0,0,0,8.471957451,0,0,0.0,-2.133961055
Difenacoum,High,0.304055214,0,20.49363797,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.318586235
Difenoconazole (Ref: CGA 169374),High,0.616741931,0,18.25296757,0,3,0,0,0,0,0,2.76141669,0,0,0.0,-2.28749992
Difenoxuron (Ref: C3470),Not High,0.934234978,0,14.71356569,0,2,0,0,0,0,0,0.0,0,0,0.0,-2.121485585
Difenzoquat (Ref: BAS 450H),Not High,0.616780596,0,11.72425483,0,0,0,0,0,0,0,0.0,0,0,14.09534397,-1.987904144
Difethialone (Ref: OMS 3053),High,0.250693897,0,22.26641658,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.320512782
Diflubenzuron (Ref: OMS 1804),Not High,0.890435202,0,14.92913911,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.075729086
Diflufenican (Ref: AE 088657),High,0.601206164,0,19.27654134,0,1,0,0,1,0,0,0.0,0,0,0.0,-2.121430549
Dimefox,High,0.557899317,0,9.08,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.208418321
Dimefuron (Ref: RP 23465),High,0.91256701,0,17.07984521,0,0,0,0,0,0,0,5.678865527,0,0,0.0,-2.127734964
Dimepiperate (Ref: MY 93),Not High,0.79426613,0,13.47116799,0,0,0,0,0,0,0,6.094344136,0,0,0.0,-2.304705288
Dimethachlor (Ref: CGA 17020),High,0.757027947,0,14.00273526,0,1,0,0,0,0,0,4.997465357,0,0,0.0,-2.249177207
Dimethenamid (Ref: SAN 582H),High,0.773456601,0,14.48090134,0,1,0,0,0,0,0,6.481897833,0,0,0.0,-2.288094877
Dimethenamid-P,Not High,0.773456601,0,14.48090134,0,1,0,0,0,0,0,6.481897833,0,0,0.0,-2.288094877
Dimethipin (Ref: N 252),High,0.567585878,0,9.725910653,0,0,0,0,0,0,0,2.669398148,0,0,0.0,-2.144528573
Dimethirimol (Ref: PP675),High,0.816916616,0,11.75309942,0,0,0,0,0,0,0,4.04783305,0,0,0.0,-2.125464896
Dimethoate (Ref: OMS 94),High,0.712117042,0,12.39,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.149644526
Dimethomorph (Ref: CME 151),Not High,0.734661439,0,19.26682093,0,3,0,1,0,0,0,2.308297131,0,0,0.0,-2.257800227
Dimoxystrobin (Ref: BAS 505F),Not High,0.655640907,0,17.53255443,0,1,0,0,0,0,0,4.35951785,0,0,5.155712727,-2.134077063
