Unnamed: 0,Environmental fate,VSA_EState10,MolLogP,Kappa2,Chi3n,fr_NH0,HallKierAlpha,SMR_VSA10,TPSA,fr_amide,fr_NH2,SMR_VSA7,SlogP_VSA11,Chi4v,FpDensityMorgan2,SlogP_VSA10
Alloxydim,High,0.0,2.1051,8.057779602,3.820290601,0,-1.95,17.53579518,81.7,0,0,23.92509963,0.0,2.766601864,2.086956522,0.0
Alpha-cypermethrin (Ref: OMS 3004),High,11.46206606,6.17798,8.261449021,4.961172443,1,-2.48,29.17118507,59.32,0,0,70.72824339,11.49902367,3.570249235,1.821428571,0.0
Ametryn (Ref: G 34162 ),Not High,1.507851474,1.8456,5.747178635,1.550133234,3,-1.04,23.65856351,62.73,0,0,0.0,0.0,1.363218731,1.866666667,11.89667856
Amidosulfuron,High,0.0,-1.2485,6.926833178,2.349949174,3,-2.19,32.21207412,156.89,2,0,6.066367068,11.75997667,3.10733543,1.608695652,10.74287647
Aminopyralid (Ref: XDE 750),High,10.9862963,1.6688,3.1640625,1.157144912,1,-1.0,34.85857134,76.21,0,1,21.93603819,0.0,1.037973702,2.166666667,5.687386275
Amitraz (Ref: ENT 27967),Not High,0.0,4.87188,7.030059524,3.46250464,3,-2.42,24.05184327,27.96,0,0,58.65200838,0.0,2.236827153,1.136363636,11.37477255
Amitrole,Not High,0.0,-0.6131,0.96520151,0.43365482,2,-1.06,5.948339281,67.59,0,1,6.327320075,0.0,0.2149387,2.666666667,5.948339281
Ammonium acetate,Not High,0.0,-0.8676,3.43,0.0,0,-0.57,5.969305288,76.63,0,0,0.0,0.0,0.0,1.8,0.0
Ammonium carbonate,Not High,0.0,-1.6946,8.890110506,0.0,0,-0.81,6.15536563,136.19,0,0,0.0,0.0,0.0,1.166666667,4.794537184
Ammonium hydroxide,Not High,0.0,0.1994,0.92,0.0,0,-0.08,0.0,66.5,0,0,0.0,0.0,0.0,1.0,0.0
Ammonium sulphamate,High,0.0,-1.2185,2.084527213,0.0,0,-0.17,10.30416488,119.72,0,1,0.0,0.0,0.0,1.5,0.0
Ammonium sulphate,Not High,0.0,-0.5856,3.962711572,0.0,0,-0.21,10.39900058,153.26,0,0,0.0,0.0,0.0,1.0,0.0
Ammonium thiocyanate,Not High,3.699074074,0.39058,16.58802183,0.0,1,-0.33,12.62878915,60.29,0,0,0.0,0.0,0.0,1.75,0.0
Ancymidol (Ref: EL 531),Not High,0.0,2.1311,4.626154697,3.698973815,2,-1.94,0.0,55.24,0,0,54.11337848,5.749511833,2.480204019,1.736842105,0.0
Anilazine (Ref: ENT 26 058),Not High,17.22703802,3.5754,4.822874836,1.701163861,3,-1.1,46.43854523,50.7,0,0,39.85527423,0.0,1.61129406,1.5,11.63572556
Anthracene oil,High,0.0,3.993,2.845083623,2.614031049,0,-1.82,21.54489686,0.0,0,0,60.66367068,0.0,1.882638632,0.714285714,0.0
Atrazine (Ref: G 30027),Not High,5.72696775,1.7771,4.950243339,1.360787381,3,-1.1,23.49761845,62.73,0,0,5.28358632,0.0,1.070114806,1.857142857,11.89667856
Azafenidin,Not High,12.29083457,2.6891,6.072680778,3.511735412,3,-1.9,23.20187978,49.05,0,0,38.48668584,5.749511833,2.985045602,2.136363636,0.0
Azamethiphos (Ref: GCA 18809),High,6.607170721,2.7345,5.682516792,2.265018389,2,-0.79,41.01048954,83.56,0,0,27.83644396,0.0,3.744659546,2.210526316,0.0
Azimsulfuron,High,0.0,-1.0718,7.661441242,3.437950879,8,-3.82,22.00274495,180.93,2,0,12.26321064,11.75997667,3.476954545,1.793103448,10.74287647
Azinphos-ethyl (Ref: BAY 16259),High,6.695292711,2.7797,7.465933933,2.541873469,3,-0.79,39.78504342,66.24,0,0,34.61927235,0.0,5.825917886,1.952380952,0.0
Azinphos-methyl,Not High,6.450292711,1.9995,6.107870443,2.414660409,3,-0.79,39.78504342,66.24,0,0,34.61927235,0.0,4.001989828,2.052631579,0.0
Aziprotryne (Ref: C 7019),Not High,1.364552154,2.3556,5.37535906,1.337603336,6,-1.53,23.65856351,99.46,0,0,10.44284065,0.0,1.1953117,2.133333333,11.89667856
Azoxystrobin (Ref: ICI 5504),High,0.0,4.09318,9.705328791,3.871708302,3,-4.38,11.54240982,103.56,0,0,78.31360712,23.25900034,2.535304824,1.6,0.0
Beflubutamid (Ref: UBH 820),High,0.0,4.3183,8.003614293,3.49435986,0,-2.57,5.907179729,38.33,1,0,65.47506037,5.749511833,2.180319542,1.84,17.56166019
Benalaxyl (Ref: M 9834),Not High,0.0,3.44064,7.773307474,4.076857798,1,-2.62,17.56387129,46.61,1,0,65.22129102,0.0,2.851605383,1.583333333,5.687386275
Benazolin (Ref: RD 7693),High,6.907525195,1.801,3.674519059,1.930712002,1,-1.33,39.12365169,59.3,0,0,32.8892343,0.0,2.609345868,2.266666667,0.0
Bendiocarb (Ref: NC 6897),Not High,0.0,1.9121,3.588759725,2.053162371,0,-1.91,6.093240071,56.79,1,0,18.19910121,17.2485355,1.439362458,2.125,4.794537184
Benfluralin (Ref: EL 110),High,0.0,4.1482,7.24842552,3.269934191,3,-2.39,17.06215882,89.52,0,0,37.92482217,0.0,2.147199355,1.565217391,30.23340397
Benfuracarb,Not High,1.21681625,4.0575,9.5152388,4.154313131,2,-1.93,24.19650634,68.31,1,0,23.7625527,11.49902367,3.624716983,2.035714286,4.794537184
Benfuresate (Ref: NC 20484),Not High,0.0,2.0851,3.90797371,2.845415415,0,-1.23,10.11812686,52.6,0,0,23.7625527,11.49902367,2.271877177,2.117647059,0.0
Benodanil (Ref: BAS 3170),Not High,2.157492404,3.5435,5.115512289,2.150140485,0,-1.36,34.18543663,29.1,1,0,63.73093738,0.0,1.997607145,1.5625,5.687386275
Benomyl (Ref: T 1991),Not High,0.0,2.5724,6.735629459,2.969698388,2,-2.57,29.1060953,85.25,2,0,24.26546827,0.0,1.908887762,2.095238095,15.53741365
Benoxacor (Ref: CGA 154281),High,11.25355978,2.6042,4.515959969,2.469715135,1,-0.93,34.79644578,29.54,1,0,24.26546827,5.749511833,1.951932977,2.1875,5.687386275
Bensulfuron-methyl (Ref: DPX F5384),Not High,0.0,0.9319,8.99157112,3.339146721,2,-3.41,27.97205023,145.81,2,0,41.45873833,11.75997667,3.200164171,1.642857143,10.74287647
Bensulide (Ref: R 4461),High,6.877906075,3.7726,9.51166895,2.376887331,0,0.05,38.90540964,64.63,0,0,30.33183534,0.0,8.46806617,1.652173913,0.0
Bensultap (Ref: OMS 3011),Not High,0.0,3.1608,9.273922571,3.625214785,1,-1.0,39.32632828,71.52,0,0,60.66367068,0.0,8.400231964,1.076923077,0.0
Bentazone,High,0.0,1.2075,3.482071033,2.324540106,1,-1.56,21.80389517,66.48,1,0,29.82891977,0.0,3.112647824,1.875,5.687386275
Beta-cyfluthrin (Ref: OMS 3051),High,11.42067334,6.31708,8.442870432,5.050446803,1,-2.55,29.17118507,59.32,0,0,70.47909716,11.49902367,3.581262163,1.931034483,4.390415048
Beta-cypermethrin (Ref: OMS 3068),Not High,11.46206606,6.17798,8.261449021,4.961172443,1,-2.48,29.17118507,59.32,0,0,70.72824339,11.49902367,3.570249235,1.821428571,0.0
Bifenazate,Not High,0.0,3.8237,7.355955271,2.948571638,0,-2.69,11.78062635,59.59,1,0,48.53093655,5.749511833,1.977737816,1.772727273,10.48192346
Bifenox,Not High,11.76643515,4.4805,6.635055684,2.691758828,1,-2.31,34.85857134,78.67,0,0,62.1212388,11.49902367,2.143317958,1.909090909,5.687386275
Bifenthrin (Ref: FMC 54800),High,5.342564226,6.66242,7.864845989,5.662011628,0,-2.27,17.57024518,26.3,0,0,70.76614599,0.0,3.835726834,1.793103448,13.17124514
Binapacryl (Ref: FMC 9044),High,0.0,3.8881,7.479886206,3.242800327,2,-2.77,17.34407784,112.58,0,0,49.5739468,5.749511833,1.92399954,1.869565217,11.37477255
Bioallethrin,Not High,0.0,4.002,5.864062937,4.950733167,0,-1.64,11.75255023,43.37,0,0,35.45028949,0.0,3.419688155,2.045454545,0.0
Bioresmethrin (Ref: FMC 17370),Not High,0.0,5.152,6.909573679,4.987841259,0,-2.29,5.969305288,39.44,0,0,71.19764045,0.0,3.433908458,1.92,0.0
Biphenyl,Not High,0.0,3.3536,3.224946402,1.88091147,0,-1.56,0.0,0.0,0,0,60.66367068,0.0,1.261205885,0.75,0.0
Bitertanol (Ref: KWG 0599),Not High,0.0,3.9297,7.069085296,4.073011862,3,-2.66,0.0,60.17,0,0,67.25194377,5.749511833,2.535621109,1.6,0.0
Boscalid (Ref: BAS 510F),High,11.90229272,5.3077,6.816482904,3.334206331,1,-2.36,34.79644578,41.99,1,0,82.59970888,0.0,2.549498253,1.652173913,5.687386275
Brodifacoum (Ref: WBA 8119),High,3.496403023,7.79,8.862046387,7.145017133,0,-3.63,26.89918825,50.44,0,0,134.2085221,5.749511833,5.657179041,1.457142857,0.0
Bromacil (Ref: DPX N0976),High,3.158130197,1.57852,4.125446455,2.280630443,1,-0.84,15.9299439,54.86,0,0,31.00473217,0.0,1.506942963,2.071428571,0.0
Bromadiolone (Ref: LM 637),Not High,3.453514943,7.1837,9.902708787,6.302247061,0,-3.67,26.89918825,70.67,0,0,134.7114377,5.749511833,4.724854381,1.342857143,0.0
Bromethalin (Ref: OMS 3020),High,9.638468519,6.5772,7.716024628,3.439963623,3,-1.73,70.53937679,89.52,0,0,63.47571485,0.0,5.174940354,1.444444444,35.92079024
Bromofenoxim (Ref: C9122),Not High,6.203291127,3.4106,7.360124631,2.765123015,2,-2.53,49.01790529,124.61,0,0,71.31758248,5.749511833,2.893997008,1.708333333,11.37477255
Bromophos,High,20.17605828,4.652,6.005197583,1.632175059,0,0.65,57.657287,27.69,0,0,26.65072028,5.749511833,2.659654426,1.75,0.0
Bromopropylate (Ref: GS 19851),High,6.70259044,4.3991,6.939849895,3.162144086,0,-1.17,37.82919308,46.53,0,0,68.60327856,0.0,2.612570252,1.318181818,0.0
Bromoxynil (Ref: ENT 20852),Not High,6.213101852,2.78888,3.244738766,1.145993747,1,-0.53,31.8598878,44.02,0,0,26.64162466,5.749511833,1.816520081,1.727272727,0.0
Bromuconazole (Ref: LS 860263),High,15.95519384,3.6642,5.638183065,3.397670169,3,-0.62,39.13182368,39.94,0,0,46.46245947,0.0,3.779506973,2.3,0.0
Bronopol,High,2.548611111,-0.6611,3.09218107,0.811756461,1,-0.2,15.9299439,83.6,0,0,10.11431827,0.0,0.165470054,1.888888889,0.0
Bupirimate (Ref: PP 588),Not High,0.0,1.74462,7.55627348,2.922625448,3,-1.41,16.25250416,84.42,0,0,11.25737949,5.879988336,2.177957097,1.904761905,5.948339281
Buprofezin (Ref: PP 618),Not High,1.61421438,4.1822,6.096692565,2.981137715,3,-1.49,28.64803751,35.91,2,0,30.33183534,0.0,3.337147987,1.80952381,10.48192346
Butachlor (Ref: CP 53619),Not High,5.781018457,4.1574,9.800132642,3.512850145,1,-1.06,23.19550589,29.54,1,0,29.32600419,0.0,2.441705807,1.80952381,5.687386275
Butocarboxim (Ref: Co 755),High,1.649644511,1.4698,5.879535771,1.418554486,1,-0.71,23.56681002,50.69,1,0,0.0,0.0,0.788016704,2.25,4.794537184
Butoxycarboxim (Ref: Co 859),High,0.0,0.1514,4.942860059,1.707229621,1,-1.11,21.64217821,84.83,1,0,0.0,0.0,1.205791283,2.0,4.794537184
Butralin (Ref: Amchem70-25),High,0.0,4.0109,6.06976294,3.359250922,2,-2.18,17.06215882,98.31,0,0,37.92482217,0.0,1.829148973,1.571428571,17.06215882
Butylate (Ref: R 1910),Not High,1.41037037,3.4735,7.156653982,1.697081564,1,-0.18,17.00109666,20.31,1,0,0.0,0.0,1.898511289,1.571428571,4.794537184
Cadusafos (Ref: FMC 67825),Not High,3.023148148,5.1944,8.050730215,2.055131841,0,0.89,28.53600745,26.3,0,0,0.0,0.0,10.27857705,1.466666667,0.0
Camphechlor (Ref: Hercules 3956),Not High,50.40321759,5.6627,5.197765365,4.57724507,0,2.32,92.80751912,0.0,0,0,0.0,0.0,8.382820305,1.611111111,0.0
Captafol (Ref: Ortho-5865),Not High,23.66776305,3.5209,5.408269402,2.934171025,1,0.39,70.16604199,37.38,2,0,12.15204021,0.0,3.448314882,1.611111111,0.0
Captan (Ref: SR 406),Not High,17.36940382,2.9135,4.406909764,2.661925375,1,0.1,58.5651021,37.38,2,0,12.15204021,0.0,3.242161918,1.5625,0.0
Carbaryl (Ref: UC 7744),Not High,0.0,2.558,4.002881594,2.156410831,0,-2.03,16.8656885,38.33,1,0,42.46456948,5.749511833,1.435589269,1.866666667,4.794537184
Carbendazim (Ref: BAS 346F),Not High,0.0,1.7412,3.370672566,1.795234821,1,-2.04,23.07498079,67.01,1,0,24.26546827,0.0,1.1597056,2.285714286,10.74287647
Carbetamide (Ref: RP 11561),Not High,0.0,1.7597,6.522570101,2.024237828,0,-2.04,17.68780607,67.43,2,0,30.33183534,0.0,1.200835869,1.941176471,10.48192346
Carbofuran (Ref: OMS 864),Not High,0.0,2.1183,3.700750186,2.461758846,0,-1.71,6.093240071,47.56,1,0,23.7625527,11.49902367,1.818627366,2.25,4.794537184
Carbophenothion (Ref: ENT 23708),Not High,14.56329406,5.4203,8.853030676,1.824475165,0,0.78,52.24494333,18.46,0,0,29.28810159,0.0,8.21018329,1.722222222,0.0
Carbosulfan (Ref: OMS 3022),Not High,1.4363214,5.2961,9.51105921,4.269438036,2,-1.4,18.22720105,42.01,1,0,23.7625527,11.49902367,3.766837876,1.884615385,4.794537184
Carboxin (Ref: D 735),Not High,1.54124126,2.62,5.074231901,2.205947584,0,-1.42,23.35645095,38.33,1,0,40.99613673,0.0,2.255545265,2.125,5.687386275
Carfentrazone-ethyl (Ref: F 8426),Not High,11.90024814,3.24302,8.131482834,3.461332098,3,-2.0,29.17118507,66.12,0,0,44.84472486,0.0,2.723148738,2.038461538,13.17124514
Cetrimide,Not High,0.0,2.3977,14.8409382,3.682487667,1,0.44,0.0,0.0,0,0,0.0,0.0,2.427135306,0.842105263,0.0
Chinomethionat (Ref: ENT 25606),High,2.322698176,2.57462,3.079795011,2.11787909,2,-1.33,43.36776603,42.85,0,0,32.61327168,0.0,3.203561508,1.733333333,0.0
Chlomethoxyfen (Ref: X-52),Not High,11.77414,4.7025,5.982929562,2.469618832,1,-1.98,28.88926606,61.6,0,0,56.55778731,17.2485355,2.004287137,1.85,5.687386275
Chloralose,High,16.73804574,-0.4629,4.956413249,2.60471356,0,0.63,34.80281967,88.38,0,0,0.0,0.0,2.096613597,1.823529412,0.0
Chloramben (Ref: ACP M-629),High,11.15990741,2.2738,3.207836991,1.295938647,0,-0.93,34.85857134,63.32,0,1,27.74145226,0.0,1.182554089,2.0,5.687386275
Chlorbromuron (Ref: C6313),Not High,9.126118372,3.1276,5.344008008,1.730734481,1,-0.78,39.24938458,41.57,2,0,27.69445403,0.0,1.286163831,2.266666667,10.48192346
Chlordane (Ref: OMS 1437),High,51.00593364,5.6828,4.074683778,4.316900466,0,2.06,92.80751912,0.0,0,0,10.0645727,0.0,7.460477664,1.388888889,0.0
Chlorethoxyfos (Ref: DPX 43898),Not High,27.29807933,4.2356,7.196932528,1.053420218,0,1.69,64.92922288,27.69,0,0,0.0,0.0,3.468042956,1.6,0.0
Chlorfenapyr (Ref: MK 242),Not High,8.727163884,5.45548,6.952345453,3.126516632,2,-1.49,27.53088379,37.95,0,0,45.01820059,0.0,3.027980276,1.913043478,13.17124514
Chlorfenson (Ref: K 6451),Not High,11.38672182,3.7611,5.180406586,2.121883762,0,-1.23,33.32000664,43.37,0,0,58.57620318,5.749511833,2.448296463,1.222222222,0.0
Chlorfenvinphos (Ref: OMS 166),Not High,17.57559676,5.7283,8.278238907,2.080267295,0,-0.22,48.38468167,44.76,0,0,39.34302125,0.0,3.274012914,1.85,0.0
Chlorfluazuron (Ref: CGA 112913),High,17.9256591,7.093,9.997827635,4.006524367,1,-3.15,52.42850019,80.32,3,0,80.42429059,11.62950017,3.293558414,1.529411765,32.4339987
Chloridazon (Ref: BAS 119H),Not High,5.734369961,1.4681,3.744477633,1.946636375,2,-1.81,17.28832616,60.91,0,1,51.90511631,0.0,1.327465744,1.933333333,5.687386275
Chlormephos (Ref: MC 2188),Not High,12.04074342,3.2134,6.69655533,0.781335542,0,1.21,40.48305838,18.46,0,0,0.0,0.0,5.685482525,1.818181818,0.0
Chlormequat chloride (Ref: BAS 062W),Not High,5.470540123,-2.0646,4.421922239,0.755335819,1,0.54,11.60093989,0.0,0,0,0.0,0.0,0.760638829,1.625,0.0
Chlorobenzilate (Ref: ENT 18596),Not High,11.70804826,3.7924,6.477637416,3.094835654,0,-1.55,29.17118507,46.53,0,0,69.70310616,0.0,2.272064994,1.380952381,0.0
Chloroneb,High,11.63324074,3.0106,3.874784955,1.426240033,0,-0.6,23.20187978,18.46,0,0,22.17800076,11.49902367,1.284801322,1.25,0.0
Chlorophacinone (Ref: LM 91),Not High,5.983115001,4.7364,6.934028082,4.887640112,0,-3.04,28.95067473,51.21,0,0,106.1392112,0.0,3.715685169,1.185185185,0.0
Chloropicrin,High,14.09953704,1.5908,2.026419253,0.207019668,1,0.27,34.80281967,43.14,0,0,10.11431827,0.0,0.0,1.571428571,0.0
Chloropropylate (Ref: ENT 26999),Not High,11.75438571,4.1809,6.693774027,3.162144086,0,-1.55,29.17118507,46.53,0,0,69.70310616,0.0,2.335881054,1.318181818,0.0
Chlorothalonil (Ref: DS 2787),Not High,22.81197657,4.04356,4.255635544,1.486982079,2,-0.64,46.40375956,47.58,0,0,31.21743624,0.0,1.899925919,1.0,0.0
Chlorotoluron (Ref: C 2242),Not High,5.911951058,2.74192,4.330313101,1.829284863,1,-1.22,23.31944068,32.34,2,0,28.78518601,0.0,1.086434433,2.071428571,10.48192346
Chloroxuron (Ref: C 1983),High,5.80965948,4.2258,6.300630972,2.561107591,1,-2.2,23.31944068,41.57,2,0,53.55356986,11.49902367,1.606298282,1.5,10.48192346
Chlorpropham (Ref: ENT 18060),Not High,5.741914088,3.2969,4.861820261,1.413757502,0,-1.22,23.38156624,38.33,1,0,29.28810159,0.0,1.117913308,2.214285714,10.48192346
Chlorpyrifos (Ref: OMS 971),Not High,22.67465017,4.7181,7.246563253,1.627234632,1,0.39,53.32828299,40.58,0,0,21.26474351,5.879988336,3.59452941,1.722222222,0.0
Chlorpyrifos-methyl (Ref: OMS 1155),Not High,22.27011735,3.9379,5.825051429,1.500021572,1,0.39,53.32828299,40.58,0,0,21.26474351,5.879988336,2.190686894,1.75,0.0
Chlorsulfuron (Ref: DPX 4189),High,5.812397753,1.35242,6.751816662,2.487835499,3,-2.46,33.60368484,123.17,2,0,35.11250609,6.01046484,2.999191754,1.913043478,10.74287647
Chlorthal-dimethyl (Ref: DAC 893),High,23.46665659,3.8734,5.974619917,2.042414383,0,-0.68,58.34237014,52.6,0,0,31.21743624,0.0,2.355506976,0.944444444,0.0
Chlorthiamid (Ref: WL 5792.),Not High,16.29104938,2.6276,3.390937135,1.209161925,0,-0.31,40.40825533,26.02,0,1,33.80781932,0.0,1.666222478,1.727272727,0.0
Chlozolinate (Ref: M 8164),Not High,11.68234187,2.7984,5.537122722,2.855675148,1,-1.79,46.85899114,72.91,2,0,28.24436783,0.0,2.36352883,1.857142857,10.48192346
Cholecalciferol,Not High,0.0,7.619,9.329705669,8.353356217,0,-0.82,0.0,20.23,0,0,35.45028949,0.0,6.65870292,1.892857143,0.0
Choline chloride,High,0.0,-3.3111,4.125077866,0.770820393,1,0.21,0.0,20.23,0,0,0.0,0.0,0.3,1.625,0.0
Cinidon-ethyl (Ref: BAS 615H),Not High,12.12690948,4.2266,7.639907586,4.38076915,1,-2.11,52.74895091,63.68,2,0,44.96368142,0.0,3.494546735,1.807692308,5.687386275
Cinosulfuron (Ref: CGA 142464),High,0.0,0.4244,9.66053824,3.095620873,3,-3.19,22.00274495,150.86,2,0,24.26546827,17.77044151,2.961540028,1.642857143,10.74287647
Clethodim (Ref: RE 45601),High,7.28586762,4.0041,10.89415784,3.741607867,0,-0.78,34.92931473,55.4,0,0,22.88136588,0.0,3.844666512,2.043478261,0.0
Clodinafop propargyl (Ref: CGA 184927),Not High,5.623165338,3.6101,8.178977207,2.754860441,1,-2.78,17.57024518,57.65,0,0,47.36853307,17.379012,1.801985379,2.041666667,4.390415048
Clofencet (Ref: MON 21250 ),High,5.805961278,2.1465,5.237014312,2.701060235,2,-2.14,17.57024518,72.19,0,0,56.96565222,0.0,1.978685079,2.0,0.0
Clofentezine (Ref: NC 21314),High,12.16823074,3.9074,5.526081527,2.708405982,4,-2.04,23.20187978,51.56,0,0,58.57620318,0.0,2.170510599,0.9,0.0
Clomazone (Ref: FMC 57020),Not High,6.027937138,2.64,4.072705755,2.658494098,1,-1.06,17.50811962,29.54,1,0,34.85155308,0.0,1.791515157,2.125,0.0
Clopyralid,High,10.91703704,2.0866,3.067883356,1.014599318,1,-0.8,29.17118507,50.19,0,0,28.00240526,0.0,0.901913002,2.090909091,0.0
Cloquintocet-mexyl (Ref: CGA 185072),Not High,6.133799589,4.779,8.726057661,3.571800107,1,-1.81,28.47317011,48.42,0,0,35.48494516,5.749511833,2.579711952,2.130434783,0.0
Clothianidin (Ref: CGA 322704),High,6.917737107,0.6532,5.46589045,1.37621489,3,-1.41,28.89728034,92.45,0,0,25.65511455,0.0,1.708843767,2.6,0.0
Coumachlor,Not High,5.912189372,4.263,6.494186107,3.932286576,0,-2.59,28.35342919,67.51,0,0,75.10059635,5.749511833,2.950287395,1.833333333,0.0
Coumatetralyl,Not High,0.0,3.9668,5.021055119,4.537754648,0,-2.55,10.96924436,50.44,0,0,75.64141453,5.749511833,3.508965278,1.818181818,0.0
Crimidine,High,5.645308642,1.50442,3.048412601,1.271603894,3,-0.83,17.41880267,29.02,0,0,17.04388138,0.0,0.965432166,2.0,5.817862778
"Cyanamide (Ref: LH 21,810A)",High,0.0,-0.57382,1.29,0.0,1,-0.71,0.0,49.81,0,1,0.0,0.0,0.0,2.0,0.0
Cyanazine,Not High,5.732648495,1.67088,4.944116985,1.646824698,4,-1.61,23.49761845,86.52,0,0,5.28358632,0.0,1.11072724,1.9375,11.89667856
Cyazofamid (Ref: IKF 916),Not High,6.047898558,2.0381,5.483862253,2.912093078,4,-1.88,21.81026906,78.99,0,0,40.80643408,0.0,3.1603467,1.857142857,0.0
Cyclanilide (Ref: RPA 090946),Not High,11.59200829,2.7967,4.200044229,2.773361639,0,-1.26,40.76575107,66.4,1,0,28.24436783,0.0,1.951590018,1.941176471,5.687386275
Cycloate (Ref: R 2063),Not High,1.444626795,3.5141,6.330980784,2.85847817,1,-0.18,17.00109666,20.31,1,0,0.0,0.0,2.826412426,1.928571429,4.794537184
Cycloxydim (Ref: BAS 517H),High,1.958494469,3.2731,8.726057661,4.456512673,0,-0.81,23.32837484,55.4,0,0,11.27014384,0.0,4.630777315,1.954545455,0.0
Cyflufenamid (Ref: NF 149),Not High,0.0,4.4307,8.687930145,4.256523497,1,-2.81,11.74279952,50.69,1,0,70.78936564,0.0,2.595243655,1.793103448,21.95207524
Cyfluthrin (Ref: OMS 2012),Not High,11.42067334,6.31708,8.442870432,5.050446803,1,-2.55,29.17118507,59.32,0,0,70.47909716,11.49902367,3.581262163,1.931034483,4.390415048
Cyhalofop-butyl (Ref: DE 537),Not High,0.0,4.60028,9.422784335,3.499519251,1,-3.07,5.969305288,68.55,0,0,53.84524181,17.2485355,2.053066455,1.884615385,4.390415048
Cyhalothrin (Ref: OMS 2011),High,5.319767599,6.54398,8.637870733,5.252317973,1,-2.98,17.57024518,59.32,0,0,71.26906157,11.49902367,3.550919479,1.806451613,13.17124514
Cymoxanil (Ref: DPX T3217),High,0.0,-0.64192,6.4197404,1.067948067,2,-2.1,17.64997924,103.58,3,0,0.0,0.0,0.570994328,2.214285714,4.794537184
Cypermethrin (Ref: OMS 2002),Not High,11.46206606,6.17798,8.261449021,4.961172443,1,-2.48,29.17118507,59.32,0,0,70.72824339,11.49902367,3.570249235,1.821428571,0.0
Cyproconazole (Ref: SAN 619),High,5.949778194,2.8654,5.185277001,4.296139752,3,-1.39,11.60093989,50.94,0,0,47.50619323,0.0,2.910163261,2.1,0.0
