Unnamed: 0,Environmental fate,Ipc,fr_epoxide,BalabanJ,fr_urea,fr_imide,fr_aryl_methyl,VSA_EState9,fr_hdrzone,PEOE_VSA6,Chi4v,fr_bicyclic,EState_VSA2,NumAliphaticHeterocycles,fr_sulfone,fr_thiophene
Bensulfuron-methyl (Ref: DPX F5384),Not High,1163516.2,0,2.127819015,1,0,0,-0.24321397,0,18.19910121,3.200164171,0,28.83521894,0,0,0
Bensulide (Ref: R 4461),High,63844.11792,0,2.553910806,0,0,0,-3.490760871,0,29.580826,8.46806617,0,23.64817266,0,0,0
Bensultap (Ref: OMS 3011),Not High,471706.9955,0,2.014935594,0,0,0,-1.621899234,0,36.39820241,8.400231964,0,27.33851499,0,0,0
Bentazone,High,3385.087507,0,2.606555901,0,0,0,-3.751597222,0,12.13273414,3.112647824,1,0.0,1,0,0
Beta-cyfluthrin (Ref: OMS 3051),High,3193429.225,0,1.769045078,0,0,0,0.0,0,61.31482245,3.581262163,0,21.57387652,0,0,0
Beta-cypermethrin (Ref: OMS 3068),Not High,2171247.032,0,1.721481495,0,0,0,0.0,0,67.38118952,3.570249235,0,21.74227074,0,0,0
Bifenazate,Not High,91880.69279,0,2.164634493,0,0,0,1.578514136,0,36.39820241,1.977737816,0,6.103966388,0,0,0
Bifenox,Not High,73098.33817,0,2.399020158,0,0,0,1.134575861,0,23.20187978,2.143317958,0,22.02298291,0,0,0
Bifenthrin (Ref: FMC 54800),High,2670412.364,0,1.704911756,0,0,0,0.0,0,80.05537094,3.835726834,0,6.606881965,0,0,0
Binapacryl (Ref: FMC 9044),High,65878.90586,0,3.554156211,0,0,0,0.0,0,19.42057893,1.92399954,0,17.23086937,0,0,0
Bioallethrin,Not High,62798.5938,0,2.067252684,0,0,0,0.0,0,31.57261914,3.419688155,0,35.42417442,0,0,0
Bioresmethrin (Ref: FMC 17370),Not High,436533.1395,0,1.542209936,0,0,0,0.0,0,55.82843438,3.433908458,0,29.82698981,0,0,0
Biphenyl,Not High,1023.952729,0,2.45714948,0,0,0,0.0,0,60.66367068,1.261205885,0,0.0,0,0,0
Bitertanol (Ref: KWG 0599),Not High,610925.6977,0,1.825659727,0,0,0,0.0,0,63.23578108,2.535621109,0,5.414990469,0,0,0
Boscalid (Ref: BAS 510F),High,213429.0711,0,1.936438113,0,0,0,0.0,0,53.53371512,2.549498253,0,11.06028955,0,0,0
Brodifacoum (Ref: WBA 8119),High,160029057.8,0,1.407183202,0,0,0,0.0,0,88.72634872,5.657179041,2,17.58532393,0,0,0
Bromacil (Ref: DPX N0976),High,1094.568273,0,3.529081536,0,0,1,0.0,0,6.9237372,1.506942963,0,17.29085112,0,0,0
Bromadiolone (Ref: LM 637),Not High,117613265.9,0,1.504070716,0,0,0,0.0,0,94.79271579,4.724854381,1,17.73378495,0,0,0
Bromethalin (Ref: OMS 3020),High,414300.5683,0,2.895058327,0,0,0,1.196592026,0,15.9299439,5.174940354,0,11.75375334,0,0,0
Bromofenoxim (Ref: C9122),Not High,169320.603,0,2.180088894,0,0,0,0.0,0,0.0,2.893997008,0,11.53275678,0,0,0
Bromophos,High,2823.240266,0,3.063766854,0,0,0,2.830647518,0,23.20187978,2.659654426,0,0.0,0,0,0
Bromopropylate (Ref: GS 19851),High,68560.89639,0,2.547618684,0,0,0,0.0,0,56.12535607,2.612570252,0,6.103966388,0,0,0
Bromoxynil (Ref: ENT 20852),Not High,286.568713,0,3.348369661,0,0,0,0.0,0,0.0,1.816520081,0,5.749511833,0,0,0
Bromuconazole (Ref: LS 860263),High,54863.66739,0,2.011553139,0,0,0,0.0,0,45.19819075,3.779506973,0,4.82717407,1,0,0
Bronopol,High,74.37070549,0,4.090340516,0,0,0,0.0,0,0.0,0.165470054,0,0.0,0,0,0
Bupirimate (Ref: PP 588),Not High,28069.0019,0,3.229204537,0,0,1,-0.99803847,0,13.34455882,2.177957097,0,5.879988336,0,0,0
Buprofezin (Ref: PP 618),Not High,36740.17754,0,2.323385479,1,0,0,0.0,0,29.96098615,3.337147987,0,17.61188059,1,0,0
Butachlor (Ref: CP 53619),Not High,47220.40324,0,3.04059293,0,0,2,0.0,0,45.39113443,2.441705807,0,18.51799992,0,0,0
Butocarboxim (Ref: Co 755),High,378.4910295,0,3.912237963,0,0,0,1.491255905,0,5.155712727,0.788016704,0,5.24993803,0,0,0
Butoxycarboxim (Ref: Co 859),High,687.4153531,0,4.473265368,0,0,0,-1.817054674,0,5.155712727,1.205791283,0,5.711685003,0,1,0
Butralin (Ref: Amchem70-25),High,22301.88967,0,3.588145947,0,0,0,0.0,0,27.6949488,1.829148973,0,23.10399965,0,0,0
Butylate (Ref: R 1910),Not High,741.0057641,0,4.151457931,0,0,0,0.0,0,46.38057095,1.898511289,0,5.239211713,0,0,0
Cadusafos (Ref: FMC 67825),Not High,1305.140459,0,4.371665188,0,0,0,0.0,0,50.45839839,10.27857705,0,0.0,0,0,0
Camphechlor (Ref: Hercules 3956),Not High,8809.172979,0,2.676764037,0,0,0,0.0,0,0.0,8.382820305,2,23.0550008,0,0,0
Captafol (Ref: Ortho-5865),Not High,10433.56449,0,2.160445589,0,1,0,0.0,0,35.35391999,3.448314882,1,23.65017155,1,0,0
Captan (Ref: SR 406),Not High,3867.430124,0,2.179857529,0,1,0,0.0,0,46.95485988,3.242161918,1,23.65017155,1,0,0
Carbaryl (Ref: UC 7744),Not High,3599.374368,0,2.464953756,0,0,0,1.535182351,0,36.39820241,1.435589269,1,0.0,0,0,0
Carbendazim (Ref: BAS 346F),Not High,2507.520862,0,2.310490604,0,0,0,1.303559146,0,12.13273414,1.1597056,1,0.0,0,0,0
Carbetamide (Ref: RP 11561),Not High,5941.818724,0,2.419926733,0,0,0,0.0,0,18.19910121,1.200835869,0,5.907179729,0,0,0
Carbofuran (Ref: OMS 864),Not High,4481.112002,0,2.298082754,0,0,0,1.524101356,0,12.13273414,1.818627366,1,5.601050811,1,0,0
Carbophenothion (Ref: ENT 23708),Not High,8943.542223,0,2.431478516,0,0,0,0.0,0,22.98266469,8.21018329,0,0.0,0,0,0
Carbosulfan (Ref: OMS 3022),Not High,533190.9402,0,1.976780131,0,0,0,1.755805815,0,38.82185178,3.766837876,1,11.69429088,1,0,0
Carboxin (Ref: D 735),Not High,5744.988995,0,2.086650444,0,0,0,0.0,0,18.19910121,2.255545265,0,5.907179729,1,0,0
Carfentrazone-ethyl (Ref: F 8426),Not High,427313.7691,0,2.47619465,0,0,1,0.0,0,11.60093989,2.723148738,0,39.69267881,0,0,0
Cetrimide,Not High,6452.38108,0,0.0,0,0,0,6.870660425,0,71.13195343,2.427135306,0,16.98145085,0,0,0
Chinomethionat (Ref: ENT 25606),High,4528.234806,0,2.514523654,0,0,1,0.0,0,28.73993882,3.203561508,2,4.056181796,0,0,0
Chlomethoxyfen (Ref: X-52),Not High,29383.03438,0,2.31965731,0,0,0,1.348593348,0,23.20187978,2.004287137,0,11.43689811,0,0,0
Chloralose,High,6966.162004,0,2.012130747,0,0,0,0.0,0,34.80281967,2.096613597,1,0.0,2,0,0
Chloramben (Ref: ACP M-629),High,391.6090567,0,3.373859011,0,0,0,0.0,0,23.20187978,1.182554089,0,21.29610439,0,0,0
Chlorbromuron (Ref: C6313),Not High,1999.368972,0,2.729689123,1,0,0,2.92057244,0,11.60093989,1.286163831,0,6.031114512,0,0,0
Chlordane (Ref: OMS 1437),High,10895.21969,0,2.264384235,0,0,0,0.0,0,46.40375956,7.460477664,5,27.27747266,0,0,0
Chlorethoxyfos (Ref: DPX 43898),Not High,951.0191143,0,4.476907591,0,0,0,0.0,0,46.40375956,3.468042956,0,0.0,0,0,0
Chlorfenapyr (Ref: MK 242),Not High,113845.4944,0,2.773865747,0,0,0,0.0,0,23.73367403,3.027980276,0,29.06779771,0,0,0
Chlorfenson (Ref: K 6451),Not High,10744.29936,0,2.267141922,0,0,0,-3.844668052,0,23.20187978,2.448296463,0,10.64499531,0,0,0
Chlorfenvinphos (Ref: OMS 166),Not High,19870.58292,0,3.047340265,0,0,0,-3.733513125,0,34.80281967,3.274012914,0,18.9729288,0,0,0
Chlorfluazuron (Ref: CGA 112913),High,17241798.96,0,1.743191058,1,1,0,0.0,0,40.86918674,3.293558414,0,21.48216474,0,0,0
Chloridazon (Ref: BAS 119H),Not High,3255.848303,0,2.660282009,0,0,0,0.0,0,29.8000411,1.327465744,0,10.71001959,0,0,0
Chlormephos (Ref: MC 2188),Not High,203.1900102,0,3.90847195,0,0,0,0.0,0,11.3817248,5.685482525,0,0.0,0,0,0
Chlormequat chloride (Ref: BAS 062W),Not High,18.14170945,0,0.0,0,0,0,6.382083333,0,0.0,0.760638829,0,12.40703316,0,0,0
Chlorobenzilate (Ref: ENT 18596),Not High,50245.82916,0,2.554539375,0,0,0,0.0,0,47.46734805,2.272064994,0,6.606881965,0,0,0
Chloroneb,High,500.9803543,0,3.164874105,0,0,0,3.063528597,0,23.20187978,1.284801322,0,0.0,0,0,0
Chlorophacinone (Ref: LM 91),Not High,2085446.503,0,1.794523805,0,0,0,0.0,0,78.33097764,3.715685169,1,0.0,0,0,0
Chloropicrin,High,17.08616633,0,3.791118417,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0
Chloropropylate (Ref: ENT 26999),Not High,68560.89639,0,2.547618684,0,0,0,0.0,0,47.46734805,2.335881054,0,6.103966388,0,0,0
Chlorothalonil (Ref: DS 2787),Not High,1177.311597,0,3.781719624,0,0,0,0.0,0,46.40375956,1.899925919,0,31.21743624,0,0,0
Chlorotoluron (Ref: C 2242),Not High,1115.779106,0,2.781208374,1,0,1,3.371290627,0,17.66730696,1.086434433,0,6.031114512,0,0,0
Chloroxuron (Ref: C 1983),High,32249.96632,0,2.00922775,1,0,0,3.37568986,0,11.60093989,1.606298282,0,6.031114512,0,0,0
Chlorpropham (Ref: ENT 18060),Not High,1087.970162,0,2.559925674,0,0,0,0.0,0,17.66730696,1.117913308,0,6.103966388,0,0,0
Chlorpyrifos (Ref: OMS 971),Not High,6946.358281,0,3.006125183,0,0,0,0.0,0,34.80281967,3.59452941,0,21.07836478,0,0,0
Chlorpyrifos-methyl (Ref: OMS 1155),Not High,2823.240266,0,3.063766854,0,0,0,2.741484281,0,34.80281967,2.190686894,0,21.07836478,0,0,0
Chlorsulfuron (Ref: DPX 4189),High,99791.24261,0,2.163978048,1,0,1,-2.784806632,0,23.73367403,2.999191754,0,21.87692091,0,0,0
Chlorthal-dimethyl (Ref: DAC 893),High,7368.890196,0,3.656892594,0,0,0,2.287735891,0,46.40375956,2.355506976,0,31.21743624,0,0,0
Chlorthiamid (Ref: WL 5792.),Not High,255.6766679,0,3.318913173,0,0,0,0.0,0,41.48612029,1.666222478,0,4.988502102,0,0,0
Chlozolinate (Ref: M 8164),Not High,39153.60214,0,2.406863934,0,1,0,0.0,0,23.20187978,2.36352883,0,22.33953487,1,0,0
Cholecalciferol,Not High,1818820.023,0,1.695898531,0,0,0,0.0,0,76.83459862,6.65870292,1,6.103966388,0,0,0
Choline chloride,High,18.14170945,0,0.0,0,0,0,6.155416667,0,0.0,0.3,0,19.01391513,0,0,0
Cinidon-ethyl (Ref: BAS 615H),Not High,792260.9667,0,1.935414745,0,1,0,0.0,0,23.20187978,3.494546735,0,23.45352778,1,0,0
Cinosulfuron (Ref: CGA 142464),High,1327731.045,0,2.15267857,1,0,0,-0.132916934,0,12.13273414,2.961540028,0,41.8280282,0,0,0
Clethodim (Ref: RE 45601),High,94667.92541,0,2.717680423,0,0,0,0.0,0,32.37215149,3.844666512,0,29.66438243,0,0,0
Clodinafop propargyl (Ref: CGA 184927),Not High,215354.1852,0,1.975448227,0,0,0,0.0,0,17.52137421,1.801985379,0,17.50950361,0,0,0
Clofencet (Ref: MON 21250 ),High,18790.61087,0,2.706695792,0,0,0,0.0,0,18.52467709,1.978685079,0,5.563451492,0,0,0
Clofentezine (Ref: NC 21314),High,55148.55546,0,2.007301288,0,0,0,0.0,0,47.46734805,2.170510599,0,0.0,0,0,0
Clomazone (Ref: FMC 57020),Not High,4578.028187,0,2.129383558,0,0,0,0.0,0,29.8000411,1.791515157,0,5.907179729,1,0,0
Clopyralid,High,267.1888101,0,3.23220887,0,0,0,0.0,0,23.20187978,0.901913002,0,15.86967113,0,0,0
Cloquintocet-mexyl (Ref: CGA 185072),Not High,149008.4615,0,1.908833852,0,0,0,0.0,0,31.36632034,2.579711952,1,18.68015364,0,0,0
Clothianidin (Ref: CGA 322704),High,2512.17825,0,2.445694045,0,0,0,1.442940112,0,17.02673129,1.708843767,0,5.959554569,0,0,0
Coumachlor,Not High,265640.886,0,2.242176861,0,0,0,0.0,0,35.86640816,2.950287395,1,23.51702989,0,0,0
Coumatetralyl,Not High,184715.696,0,1.979698566,0,0,1,0.0,0,36.39820241,3.508965278,2,11.66741788,0,0,0
Crimidine,High,243.6781765,0,3.083430511,0,0,1,3.829567901,0,0.0,0.965432166,0,0.0,0,0,0
"Cyanamide (Ref: LH 21,810A)",High,2.754887502,0,2.475534206,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0
Cyanazine,Not High,2683.077454,0,2.929790652,0,0,0,0.0,0,0.0,1.11072724,0,11.2319256,0,0,0
Cyazofamid (Ref: IKF 916),Not High,45098.59703,0,2.817868848,0,0,1,-1.150611786,0,41.42985966,3.1603467,0,16.67144231,0,0,0
Cyclanilide (Ref: RPA 090946),Not High,10429.70658,0,2.166183507,0,0,0,0.0,0,23.20187978,1.951590018,0,5.022633314,0,0,0
Cycloate (Ref: R 2063),Not High,1607.030227,0,2.459331222,0,0,0,0.0,0,37.94808702,2.826412426,0,5.239211713,0,0,0
Cycloxydim (Ref: BAS 517H),High,95833.13929,0,2.106854138,0,0,0,0.0,0,13.34455882,4.630777315,0,17.48439594,1,0,0
Cyflufenamid (Ref: NF 149),Not High,4101491.097,0,1.960556421,0,0,0,0.0,0,30.33183534,2.595243655,0,18.94560963,0,0,0
Cyfluthrin (Ref: OMS 2012),Not High,3193429.225,0,1.769045078,0,0,0,0.0,0,61.31482245,3.581262163,0,21.57387652,0,0,0
Cyhalofop-butyl (Ref: DE 537),Not High,612707.183,0,1.935829055,0,0,0,0.0,0,13.34455882,2.053066455,0,11.31296332,0,0,0
Cyhalothrin (Ref: OMS 2011),High,7055026.678,0,1.72297074,0,0,0,0.0,0,61.85626974,3.550919479,0,0.0,0,0,0
Cymoxanil (Ref: DPX T3217),High,974.5045475,0,4.272256097,1,1,0,1.191204727,0,5.155712727,0.570994328,0,0.0,0,0,0
Cypermethrin (Ref: OMS 2002),Not High,2171247.032,0,1.721481495,0,0,0,0.0,0,67.38118952,3.570249235,0,21.74227074,0,0,0
Cyproconazole (Ref: SAN 619),High,66479.24953,0,1.948662544,0,0,0,0.0,0,30.65741123,2.910163261,0,5.917906046,0,0,0
Cyprodinil (Ref: CGA 219417),High,21283.47517,0,1.870035833,0,0,1,0.0,0,18.19910121,1.887621913,0,0.0,0,0,0
Cyromazine (Ref: OMS 2014),Not High,1077.751445,0,2.177047784,0,0,0,0.0,0,0.0,0.884164424,0,11.89667856,0,0,0
Daminozide,High,169.1075151,0,3.454102565,0,0,0,3.330688776,0,0.0,0.525766447,0,18.74882298,0,0,0
Dazomet (Ref: N 521),High,104.2009193,0,2.438362799,0,0,0,4.107407407,0,23.97975839,1.642744581,0,0.0,1,0,0
DDT (Ref: OMS 16),High,15386.05708,0,2.474116813,0,0,0,0.0,0,82.27016773,2.888780653,0,5.917906046,0,0,0
Deltamethrin (Ref: OMS 1998),Not High,2171247.032,0,1.721481495,0,0,0,0.0,0,50.25532985,3.868340417,0,23.22010785,0,0,0
Demeton-S-methyl,Not High,398.7476586,0,3.522394748,0,0,0,2.813970931,0,6.9237372,4.148094063,0,0.0,0,0,0
Desmedipham (Ref: EP 475),Not High,94467.12609,0,1.947468538,0,0,0,0.0,0,24.26546827,1.694262898,0,6.606881965,0,0,0
Desmetryn (Ref: G 34360),Not High,1283.666892,0,2.920018224,0,0,0,1.790272109,0,11.76188495,1.237851305,0,0.0,0,0,0
Di-1-p-menthene,Not High,18247.77456,0,1.807547745,0,0,0,0.0,0,37.14572367,3.737035957,0,0.0,0,0,0
Diafenthiuron (Ref: CGA 106630),Not High,539841.9276,0,2.435098234,0,0,0,0.0,0,45.89405,3.291384769,0,5.538925252,0,0,0
Di-allate (Ref: CP 15),Not High,1217.014266,0,4.279209959,0,0,0,0.0,0,34.96376473,2.502347047,0,17.32289337,0,0,0
Diazinon (Ref: OMS 469),Not High,10959.54846,0,2.990376565,0,0,1,0.0,0,13.8474744,3.384127713,0,5.917906046,0,0,0
Dicamba (Ref: SAN 837H),High,711.3964735,0,3.433209198,0,0,0,1.337283951,0,23.20187978,1.396345585,0,21.35822995,0,0,0
Dichlobenil (Ref: H 133),Not High,186.2099006,0,3.342774623,0,0,0,0.0,0,29.26824685,1.086589355,0,0.0,0,0,0
Dichlofenthion (Ref: ENT 17470),High,4660.457914,0,2.893401561,0,0,0,0.0,0,23.20187978,3.662624983,0,0.0,0,0,0
Dichlofluanid (Ref: BAY 47531),Not High,5632.825657,0,3.205352782,0,0,0,-1.249316893,0,41.40098099,3.869383244,0,17.63530924,0,0,0
Dichlorophen,Not High,6943.4452,0,2.370227579,0,0,0,0.0,0,23.20187978,1.985926294,0,11.49902367,0,0,0
Dichlorprop (Ref: RD 406),High,1093.6085,0,2.817664885,0,0,0,0.0,0,23.20187978,1.264681683,0,0.0,0,0,0
Dichlorprop-P (Ref: BAS 044H),High,1093.6085,0,2.817664885,0,0,0,0.0,0,23.20187978,1.264681683,0,0.0,0,0,0
Dichlorvos (Ref: OMS 14),High,200.2582242,0,4.102541909,0,0,0,-1.11868591,0,23.20187978,1.034023438,0,4.491468174,0,0,0
Diclofop-methyl (Ref: HOE 023408),Not High,81364.55963,0,2.039717259,0,0,0,1.314474008,0,23.20187978,2.13647024,0,0.0,0,0,0
Dicloran (Ref: RD 6584),Not High,405.2923077,0,3.306535413,0,0,0,0.0,0,23.20187978,1.151872712,0,21.42003918,0,0,0
Dicofol (Ref: ENT 23648),High,23186.94524,0,2.622374711,0,0,0,0.0,0,82.27016773,2.782805246,0,0.0,0,0,0
Dicrotophos (Ref: OMS 253),High,1196.208273,0,4.546443218,0,0,0,2.027864701,0,0.0,1.358313208,0,11.6663446,0,0,0
Dicyclopentadiene,High,625.7737438,0,2.038964408,0,0,0,0.0,0,24.30408043,2.972928357,5,0.0,0,0,0
Dieldrin (Ref: ENT 16225 ),High,38778.56644,1,1.80290746,0,0,0,0.0,0,46.40375956,8.434422266,12,24.04374487,1,0,0
Dienochlor (Ref: SAN 804),High,21111.72599,0,2.819123971,0,0,0,0.0,0,92.80751912,5.488760193,0,40.25829082,0,0,0
Diethofencarb (Ref: S 1605),Not High,13390.42521,0,2.792804776,0,0,0,0.0,0,0.0,1.490259731,0,6.103966388,0,0,0
Difenacoum,High,113169502.7,0,1.425985978,0,0,0,0.0,0,90.99550603,5.381110524,2,17.58532393,0,0,0
Difenoconazole (Ref: CGA 169374),High,2187677.512,0,1.619349752,0,0,0,0.0,0,23.20187978,3.429392335,0,6.103966388,1,0,0
Difenoxuron (Ref: C3470),Not High,56393.7212,0,1.995230412,1,0,0,5.003562854,0,0.0,1.62144019,0,6.031114512,0,0,0
Difenzoquat (Ref: BAS 450H),Not High,40387.43708,0,2.155727427,0,0,0,4.184074074,0,48.53093655,2.397703784,0,0.0,0,0,0
Difethialone (Ref: OMS 3053),High,160029057.8,0,1.407237107,0,0,0,0.0,0,100.0631346,6.624385264,2,22.32781002,0,0,0
Diflubenzuron (Ref: OMS 1804),Not High,45416.32798,0,2.055651413,1,1,0,0.0,0,17.66730696,1.701906381,0,0.0,0,0,0
Diflufenican (Ref: AE 088657),High,1511587.443,0,1.860716925,0,0,0,0.0,0,6.066367068,2.273000392,0,22.88033794,0,0,0
Dimefox,High,54.46500594,0,4.208996984,0,0,0,2.111111111,0,0.0,1.073312629,0,0.0,0,0,0
Dimefuron (Ref: RP 23465),High,96011.07554,0,2.371095244,1,0,0,3.266445586,0,32.37215149,1.985606202,0,11.05374783,0,0,0
