,Environmental fate,Ecotoxicity,Human health,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Beta-cypermethrin (Ref: OMS 3068),Not High,High,High,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,12.61141838,12.61141838,0.113804497,-1.028401466,0.528046798,20.39285714,416.304,397.152,415.0741988,144,0.311285242,-0.457370815,0.457370815,0.311285242,1.142857143,1.821428571,2.464285714,35.53908973,10.08891602,2.615221577,-2.133296373,2.599929679,-2.142236553,6.55440166,-0.149079894,3.195228206,1.721481495,930.2980937,20.31119031,15.43344091,16.9452988,13.32373563,8.784538394,9.54046734,7.214765173,8.222629525,4.961172443,5.213148759,3.298782484,3.570249235,-2.48,2171247.032,20.25931433,8.261449021,4.493889414,173.830209,9.473725908,22.05971315,0.0,6.103966388,0.0,5.969305288,4.794537184,0.0,5.261891555,0.0,67.38118952,41.6743849,5.563451492,5.917906046,14.26826309,29.17118507,5.261891555,0.0,17.25080256,19.95144079,0.0,70.72824339,17.56824498,4.736862954,0.0,11.49902367,23.20187978,5.969305288,9.531400138,28.58191543,25.51489228,65.1647919,0.0,0.0,59.32,12.07327168,10.05642874,0.0,21.74227074,17.06247516,0.0,0.0,30.34148838,50.24853105,0.0,32.67560569,11.39789951,11.46206606,12.61141838,9.530405787,0.23139462,0.289262743,18.29388163,0.615190678,3.874036139,0.0,0.272727273,28,0,4,1,0,1,2,0,2,4,0,6,6,1,0,1,3,6.17798,107.954,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifenazate,Not High,High,High,CC(C)OC(=O)NNC1=C(C=CC(=C1)C2=CC=CC=C2)OC,11.54468462,11.54468462,0.181158671,-0.539659969,0.824046587,10.18181818,300.358,280.198,300.1473925,116,0.425706198,-0.494522,0.494522,0.425706198,1.045454545,1.772727273,2.409090909,16.55927873,10.05013168,2.084184249,-2.145867429,2.295499556,-2.314567243,5.744690351,0.117347678,2.525582539,2.164634493,627.0561063,15.94938299,12.92089729,12.92089729,10.59655545,7.059740999,7.059740999,4.985151554,4.985151554,2.948571638,2.948571638,1.977737816,1.977737816,-2.69,91880.69279,15.69419757,7.355955271,4.15007289,129.7716808,9.473725908,5.749511833,0.0,0.0,0.0,6.093240071,5.425791397,10.22032858,0.0,0.0,36.39820241,37.10711152,0.0,18.9011502,14.26826309,11.78062635,0.0,5.425791397,0.0,19.95144079,12.53558894,48.53093655,16.87641482,15.58844575,10.48192346,5.749511833,0.0,19.307004,4.736862954,0.0,13.8474744,48.53093655,0.0,11.12690298,59.59,6.093240071,4.794537184,0.0,6.103966388,11.43689811,11.12690298,0.0,20.95727194,48.53093655,10.85158279,9.473725908,10.30193279,0.0,11.54468462,0.0,8.077506404,0.629192649,15.67988363,-0.72081864,3.57577108,1.578514136,0.235294118,22,2,5,0,0,0,2,0,2,4,2,5,5,0,0,0,2,3.8237,86.8054,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifenox,Not High,High,Not High,COC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-],11.629225,11.629225,0.203909675,-0.833932351,0.464943161,10.13636364,342.134,333.062,340.9857777,114,0.344530995,-0.465231512,0.465231512,0.344530995,1.181818182,1.909090909,2.5,35.49683568,10.14623504,2.216596518,-2.088950772,2.33134411,-2.054652962,6.350649114,-0.384752833,2.486168906,2.399020158,748.0082101,16.2756564,11.20848561,12.7203435,10.41792266,5.917532257,6.673461203,4.104452713,4.94808862,2.691758828,3.222225496,1.696248192,2.143317958,-2.31,73098.33817,16.06731609,6.635055684,3.468871653,134.8665023,9.473725908,17.06247516,0.0,0.0,5.687386275,5.969305288,10.11431827,4.794537184,0.0,0.0,23.20187978,24.26546827,17.15536745,17.0557419,19.19157414,34.85857134,0.0,0.0,0.0,0.0,7.109797541,62.1212388,11.49902367,4.736862954,5.687386275,11.49902367,23.20187978,18.00241388,4.736862954,10.11431827,10.35798868,36.39820241,10.04526663,0.0,78.67,10.89261634,14.90885545,0.0,22.02298291,10.77214515,13.17616461,18.19910121,12.13273414,0.0,4.736862954,27.93874273,10.04254412,11.76643515,21.87846157,11.63450447,-0.586584222,-0.32841569,8.347367629,0.0,0.0,1.134575861,0.071428571,22,0,6,0,0,0,2,0,2,5,0,8,4,0,0,0,2,4.4805,80.9719,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifenthrin (Ref: FMC 54800),High,High,High,CC1=C(C=CC=C1COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)C3=CC=CC=C3,12.69249533,12.69249533,0.070791171,-4.607470104,0.503249024,21.0,422.874,400.698,422.1260423,154,0.426122298,-0.4605547,0.4605547,0.426122298,1.137931034,1.793103448,2.413793103,35.49570622,9.966976062,2.618033506,-2.123099517,2.601572274,-2.112909985,6.299410423,-0.147153004,3.202901074,1.704911756,932.8842879,21.39697675,16.38631422,17.14224316,13.5307292,9.282473505,9.660437978,7.900617993,8.307818119,5.662011628,6.002285499,3.699993458,3.835726834,-2.27,2670412.364,21.439136,7.864845989,4.502043589,172.8823662,4.736862954,11.63916832,0.0,0.0,0.0,12.14560381,4.794537184,0.0,13.17124514,0.0,80.05537094,40.51043968,0.0,5.917906046,22.70264528,17.57024518,0.0,0.0,17.25080256,33.55439208,0.0,70.76614599,11.12690298,0.0,13.17124514,0.0,11.60093989,12.14560381,16.1382821,24.17453976,24.97437738,59.63924301,0.0,11.12690298,26.3,34.42869272,17.96578233,0.0,6.606881965,0.0,28.32982607,0.0,13.8474744,55.45467375,0.0,16.33780284,43.54172896,5.342564226,12.5262535,-1.196961362,3.34491503,-1.745840308,15.64089199,-3.682115428,5.506341168,0.0,0.347826087,29,0,2,1,0,1,2,0,2,2,0,6,5,1,0,1,3,6.66242,107.163,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Binapacryl (Ref: FMC 9044),High,High,High,CCC(C)C1=CC(=CC(=C1OC(=O)C=C(C)C)[N+](=O)[O-])[N+](=O)[O-],11.82456444,11.82456444,0.238472222,-0.78768802,0.258006741,11.47826087,322.317,304.173,322.1164863,124,0.335834655,-0.415657054,0.415657054,0.335834655,1.260869565,1.869565217,2.304347826,16.63662927,9.959302292,2.283784904,-2.139117835,2.399035512,-2.102536202,5.855989955,-0.394310566,2.444304907,3.554156211,676.7898291,17.73168633,13.36042479,13.36042479,10.66681022,7.003314058,7.003314058,5.349547982,5.349547982,3.242800327,3.242800327,1.92399954,1.92399954,-2.77,65878.90586,18.27943154,7.479886206,4.599647527,132.6072979,4.736862954,0.0,0.0,5.749511833,5.687386275,11.65669156,20.22863654,4.794537184,0.0,0.0,19.42057893,26.18620207,17.70583867,15.91298917,19.37802224,17.34407784,0.0,0.0,0.0,40.03367647,0.0,49.5739468,5.749511833,4.736862954,11.37477255,5.749511833,0.0,15.81592739,4.794537184,20.22863654,45.59712796,23.78185877,0.0,0.0,112.58,27.19069993,25.02317372,0.0,17.23086937,11.99392615,6.066367068,12.14238718,20.7712116,6.9237372,0.0,4.736862954,5.126911376,0.0,32.55236407,22.22325026,-0.062425805,-1.243463719,2.017170257,1.774849222,6.944677675,0.0,0.4,23,0,8,0,0,0,1,0,1,6,0,8,6,0,0,0,1,3.8881,83.5228,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bioallethrin,Not High,High,High,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,12.4800611,12.4800611,0.057011999,-0.390089758,0.569226799,29.31818182,302.414,276.206,302.1881947,120,0.310236645,-0.457090999,0.457090999,0.310236645,1.409090909,2.045454545,2.590909091,16.54540603,10.08059192,2.613418644,-2.134259633,2.596364136,-2.202633676,5.997051288,-0.149703367,2.828510666,2.067252684,573.487716,16.65433606,14.23281656,14.23281656,10.1956131,7.889968688,7.889968688,7.276032983,7.276032983,4.950733167,4.950733167,3.419688155,3.419688155,-1.64,62798.5938,16.7257647,5.864062937,2.943022426,132.6643271,4.736862954,6.103966388,5.783244946,0.0,0.0,5.969305288,9.589074368,0.0,0.0,6.578935684,31.57261914,44.09803427,5.57310453,12.33872767,14.32593732,11.75255023,0.0,0.0,17.25080256,53.56429563,0.0,35.45028949,0.0,0.0,0.0,0.0,0.0,17.85651662,14.32593732,17.25080256,47.46032924,35.45028949,0.0,0.0,43.37,6.103966388,9.589074368,0.0,35.42417442,6.420821623,11.14620906,5.57310453,6.076020107,20.7712116,26.50243019,4.736862954,5.660757275,0.0,24.46280222,0.0,2.797562718,0.03092674,0.0,4.306924421,13.82435996,0.0,0.578947368,22,0,3,2,0,2,0,0,0,3,0,3,5,1,0,1,2,4.002,87.21,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bioresmethrin (Ref: FMC 17370),Not High,High,Not High,CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C,12.40190449,12.40190449,0.010695266,-0.112676506,0.539835014,20.8,338.447,312.239,338.1881947,132,0.309957973,-0.46857681,0.46857681,0.309957973,1.2,1.92,2.6,16.5349105,10.08344935,2.608819818,-2.034756126,2.59406212,-2.099638064,5.778960103,-0.147100652,2.901863563,1.542209936,763.5798371,18.02673326,15.41246113,15.41246113,11.87504723,8.795486214,8.795486214,7.760192075,7.760192075,4.987841259,4.987841259,3.433908458,3.433908458,-2.29,436533.1395,17.53037839,6.909573679,4.036552724,149.2417651,9.154013891,12.36712938,0.0,0.0,0.0,5.969305288,4.794537184,0.0,0.0,0.0,55.82843438,36.81018948,11.98427311,12.18106904,13.94855107,5.969305288,0.0,0.0,17.25080256,40.72265239,0.0,71.19764045,0.0,0.0,0.0,0.0,0.0,5.969305288,22.55910373,17.25080256,44.5820992,58.72764098,0.0,0.0,39.44,0.0,4.794537184,0.0,29.82698981,0.0,17.74452053,11.13655602,6.263162996,24.26546827,45.90370304,9.154013891,11.12565944,0.0,12.40190449,0.0,3.331854708,1.005379005,12.13321216,4.603175932,8.648814271,0.0,0.409090909,25,0,3,1,0,1,1,1,2,3,0,3,6,1,0,1,3,5.152,97.944,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biphenyl,Not High,Not High,High,C1=CC=C(C=C1)C2=CC=CC=C2,2.12037037,2.12037037,1.276018519,1.276018519,0.590501888,9.666666667,154.212,144.132,154.0782503,58,-0.018404256,-0.062225395,0.062225395,0.018404256,0.416666667,0.75,1.083333333,13.96133163,10.06881928,1.912300675,-1.980707141,2.16566886,-1.731257902,5.621924011,1.62006332,2.206794674,2.45714948,297.4313205,8.22576835,6.773502692,6.773502692,5.966326495,4.071367205,4.071367205,2.732050808,2.732050808,1.88091147,1.88091147,1.261205885,1.261205885,-1.56,1023.952729,7.108736858,3.224946402,1.37393594,72.48849733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.66367068,11.12690298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.66367068,11.12690298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.66367068,0.0,11.12690298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12690298,0.0,12.13273414,48.53093655,0.0,0.0,0.0,0.0,0.0,2.552037037,0.0,20.7812963,0.0,0.0,0.0,0.0,12,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,2,3.3536,51.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bitertanol (Ref: KWG 0599),Not High,High,High,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O,10.69757803,10.69757803,0.36051987,-0.747222342,0.766176915,14.08,337.423,314.239,337.179027,130,0.218752628,-0.46582123,0.46582123,0.218752628,0.96,1.6,2.16,16.51815619,9.878152597,2.335551914,-2.323790586,2.306805054,-2.384656652,5.63377416,-0.073057404,3.138230961,1.825659727,778.0684054,17.86359655,14.70265617,14.70265617,11.94850831,8.29307902,8.29307902,7.085172526,7.085172526,4.073011862,4.073011862,2.535621109,2.535621109,-2.66,610925.6977,17.17239427,7.069085296,4.059905987,147.4699046,9.843390349,24.50811837,0.0,6.227901171,0.0,0.0,0.0,9.665781456,5.098681808,0.0,63.23578108,28.67462759,0.0,0.0,9.843390349,0.0,0.0,14.76446326,5.414990469,33.10307916,0.0,67.25194377,16.87641482,4.736862954,0.0,5.749511833,0.0,25.97495705,0.0,5.414990469,26.99911277,67.25194377,0.0,11.12690298,60.17,12.33186756,5.106527395,0.0,5.414990469,5.749511833,11.12690298,6.327320075,11.00912301,63.23578108,22.21539447,4.736862954,7.591175359,0.0,3.963679289,14.83059715,1.901728453,0.669889928,17.98130952,1.592999113,5.885287856,0.0,0.3,25,1,5,0,0,0,2,1,3,5,1,5,5,0,0,0,3,3.9297,97.0268,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boscalid (Ref: BAS 510F),High,Not High,Not High,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl,12.41590126,12.41590126,0.174975974,-0.301376361,0.655191527,10.34782609,343.213,331.117,342.0326684,114,0.258307216,-0.321316429,0.321316429,0.258307216,0.913043478,1.652173913,2.391304348,35.49678693,10.03404485,2.129127269,-2.115625072,2.290319094,-2.131123532,6.329393411,0.102194642,2.564390243,1.936438113,847.6502516,16.23384004,11.96224379,13.47410169,11.14786705,6.917953581,7.673882527,4.848373429,5.642822297,3.334206331,3.887372717,2.218351003,2.549498253,-2.36,213429.0711,15.53244466,6.816482904,3.524659785,143.4480984,5.316788604,5.153109817,0.0,0.0,5.907179729,0.0,4.794537184,4.983978521,0.0,0.0,53.53371512,35.89528683,22.47031465,5.563451492,4.794537184,34.79644578,0.0,4.983978521,0.0,0.0,5.316788604,82.59970888,11.12690298,5.316788604,5.687386275,0.0,23.20187978,10.89115825,0.0,0.0,10.35798868,66.86051426,10.17574313,11.12690298,41.99,0.0,4.794537184,0.0,11.06028955,16.27347108,11.12690298,0.0,18.32957771,48.53093655,10.30076712,23.20187978,0.0,11.90229272,16.33795008,3.723622545,2.888825061,-0.301376361,18.29514404,1.542430795,0.0,0.0,0.0,23,1,3,0,0,0,2,1,3,2,1,5,3,0,0,0,3,5.3077,94.0882,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brodifacoum (Ref: WBA 8119),High,High,High,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br,13.101706,13.101706,0.030453132,-0.46551909,0.24575406,17.28571429,523.426,500.242,522.0830567,172,0.343352271,-0.506591997,0.506591997,0.343352271,0.8,1.457142857,2.228571429,79.91873136,9.715042623,2.329597036,-2.318599276,2.454316959,-2.225574562,9.103001869,0.436781455,2.889728653,1.407183202,1583.301727,23.94058234,18.94819306,20.5341896,17.08052004,11.76672008,12.55971835,9.165011804,10.08068733,7.145017133,7.673682646,5.392846285,5.657179041,-3.63,160029057.8,21.87346071,8.862046387,3.979823114,211.3664079,9.523678332,11.33253197,0.0,0.0,0.0,5.625586319,0.0,4.794537184,0.0,0.0,88.72634872,70.84227502,10.39062556,10.94967571,9.523678332,26.89918825,0.0,0.0,0.0,24.67745534,0.0,134.2085221,16.87641482,5.625586319,0.0,5.749511833,15.9299439,5.106527395,6.420821623,0.0,40.51043968,110.7462807,0.0,22.09614734,50.44,5.625586319,9.901064579,0.0,17.58532393,16.53269585,22.87781425,22.25380597,18.19910121,30.33183534,64.46088045,4.417150937,6.698324242,3.496403023,13.101706,11.75353881,6.162477061,0.012947849,32.40428132,1.620321694,0.0,0.0,0.129032258,35,1,3,1,0,1,4,1,5,3,1,4,3,0,0,0,6,7.79,143.0738,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromacil (Ref: DPX N0976),High,Not High,Not High,CCC(C)N1C(=O)C(=C(NC1=O)C)Br,11.7068287,11.7068287,0.080416667,-0.342546296,0.878196139,12.85714286,261.119,248.015,260.0160398,78,0.328349741,-0.310184665,0.328349741,0.310184665,1.5,2.071428571,2.571428571,79.91873104,10.23823269,2.120449593,-2.117271016,2.082881287,-2.376667767,9.103106943,0.485986775,2.137828659,3.529081536,447.1056683,10.87831518,8.4261317,10.01212824,6.485269665,4.495348353,5.288346623,3.30155931,4.09455758,2.280630443,3.214569043,1.216782641,1.506942963,-0.84,1094.568273,11.23598784,4.125446455,1.819827975,90.09597295,4.983978521,4.472719516,0.0,0.0,5.559266895,5.689743398,9.361636832,4.794537184,0.0,0.0,6.9237372,36.19823992,11.73576882,0.0,0.0,15.9299439,0.0,9.551078169,0.0,33.23387405,0.0,31.00473217,0.0,11.24901029,0.0,0.0,15.9299439,9.551078169,0.0,6.9237372,32.00406485,14.06179388,0.0,0.0,54.86,0.0,9.589074368,0.0,17.29085112,10.16664751,6.420821623,4.567099648,6.9237372,13.8474744,20.91392242,0.0,1.661365741,3.158130197,25.83046296,0.0,-0.036849017,0.0,-0.080416667,0.748499622,5.468807162,0.0,0.555555556,14,1,4,0,0,0,0,1,1,3,1,5,2,0,0,0,1,1.57852,58.7617,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromadiolone (Ref: LM 637),Not High,High,High,C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O,13.00061,13.00061,0.107880201,-0.856996095,0.229590089,12.97142857,527.414,504.23,526.0779713,174,0.343353675,-0.506591986,0.506591986,0.343353675,0.742857143,1.342857143,2.028571429,79.91873136,9.84493396,2.271259514,-2.218587823,2.389273185,-2.165997131,9.103001601,0.160919737,2.888909065,1.504070716,1507.150749,24.36323207,18.76565014,20.35164668,17.00804039,11.34645063,12.1394489,8.49163189,9.407307419,6.302247061,6.830912574,4.460521625,4.724854381,-3.67,117613265.9,23.08968141,9.902708787,4.784329821,210.8015306,14.63020573,11.33253197,0.0,0.0,0.0,5.625586319,0.0,4.794537184,0.0,0.0,94.79271579,52.94009586,10.39062556,17.05364209,14.63020573,26.89918825,0.0,0.0,0.0,18.44269406,0.0,134.7114377,16.87641482,5.625586319,0.0,5.749511833,15.9299439,10.21305479,0.0,0.0,35.13304853,116.8126478,0.0,22.09614734,70.67,17.64745875,15.00759197,0.0,17.73378495,10.96924436,26.72652548,0.0,24.26546827,78.86277189,15.9299439,4.417150937,6.551360902,3.453514943,13.00061,22.73734198,3.54746248,-0.665096683,32.10848502,-0.650345302,0.0,0.0,0.1,35,2,4,0,0,0,4,1,5,4,2,5,6,0,0,0,5,7.1837,141.5886,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromethalin (Ref: OMS 3020),High,High,High,CN(C1=C(C=C(C=C1C(F)(F)F)[N+](=O)[O-])[N+](=O)[O-])C2=C(C=C(C=C2Br)Br)Br,13.57368415,13.57368415,0.167271353,-5.060824003,0.302546013,11.37037037,577.933,570.877,574.7938767,144,0.418424364,-0.33666442,0.418424364,0.33666442,0.925925926,1.444444444,1.851851852,79.92079653,10.07442764,2.411563889,-2.251232094,2.48397515,-2.192407926,9.113961353,-0.393592293,2.508176343,2.895058327,930.1754898,20.67928009,13.05182186,17.80981148,12.34013028,6.765232026,9.144226834,5.150100419,7.774449746,3.439963623,5.106777894,2.384302779,5.174940354,-1.73,414300.5683,21.56873373,7.716024628,4.405601488,174.3834157,4.899909731,5.687386275,0.0,0.0,11.37477255,6.176298517,20.22863654,0.0,13.17124514,0.0,15.9299439,43.99262193,26.5321976,27.16382693,23.01786724,70.53937679,0.0,0.0,0.0,6.176298517,11.94758171,63.47571485,0.0,4.899909731,35.92079024,0.0,47.78983169,16.89429408,6.176298517,20.22863654,5.563451492,37.68362682,0.0,0.0,89.52,38.64853093,33.39988168,0.0,11.75375334,19.48452562,4.899909731,7.047671983,12.13273414,0.0,47.78983169,0.0,42.00502888,9.638468519,21.07460065,22.32706978,-4.212082861,0.0,3.864480348,-5.060824003,0.0,1.196592026,0.142857143,27,0,7,0,0,0,2,0,2,5,0,13,4,0,0,0,2,6.5772,102.3578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
