"Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (MFE, max)","%RSD (MFE)","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] 250-MS-POS,[Mass] 251-MS-POS,[Mass] 252-MS-POS,[Mass] 253-MS-POS,[Mass] 254-MS-POS,[Mass] 255-MS-POS,[Mass] 256-MS-POS,[Mass] 257-MS-POS,[Mass] 258-MS-POS,[Mass] 259-MS-POS,[Mass] 260-MS-POS,[Mass] 261-MS-POS,[Mass] 262-MS-POS,[Mass] 263-MS-POS,[Mass] 264-MS-POS,[Mass] 265-MS-POS,[Mass] 266-MS-POS,[Mass] 267-MS-POS,[Mass] 268-MS-POS,[Mass] 269-MS-POS,[Mass] 270_POS,[Mass] 271_POS,[Mass] 272_POS,[Mass] 273_POS,[Mass] QC1_POS,[Mass] QC2_POS,[Mass] QC3_POS,[RT] 250-MS-POS,[RT] 251-MS-POS,[RT] 252-MS-POS,[RT] 253-MS-POS,[RT] 254-MS-POS,[RT] 255-MS-POS,[RT] 256-MS-POS,[RT] 257-MS-POS,[RT] 258-MS-POS,[RT] 259-MS-POS,[RT] 260-MS-POS,[RT] 261-MS-POS,[RT] 262-MS-POS,[RT] 263-MS-POS,[RT] 264-MS-POS,[RT] 265-MS-POS,[RT] 266-MS-POS,[RT] 267-MS-POS,[RT] 268-MS-POS,[RT] 269-MS-POS,[RT] 270_POS,[RT] 271_POS,[RT] 272_POS,[RT] 273_POS,[RT] QC1_POS,[RT] QC2_POS,[RT] QC3_POS,[Area] 250-MS-POS,[Area] 251-MS-POS,[Area] 252-MS-POS,[Area] 253-MS-POS,[Area] 254-MS-POS,[Area] 255-MS-POS,[Area] 256-MS-POS,[Area] 257-MS-POS,[Area] 258-MS-POS,[Area] 259-MS-POS,[Area] 260-MS-POS,[Area] 261-MS-POS,[Area] 262-MS-POS,[Area] 263-MS-POS,[Area] 264-MS-POS,[Area] 265-MS-POS,[Area] 266-MS-POS,[Area] 267-MS-POS,[Area] 268-MS-POS,[Area] 269-MS-POS,[Area] 270_POS,[Area] 271_POS,[Area] 272_POS,[Area] 273_POS,[Area] QC1_POS,[Area] QC2_POS,[Area] QC3_POS,[Score (MFE)] 250-MS-POS,[Score (MFE)] 251-MS-POS,[Score (MFE)] 252-MS-POS,[Score (MFE)] 253-MS-POS,[Score (MFE)] 254-MS-POS,[Score (MFE)] 255-MS-POS,[Score (MFE)] 256-MS-POS,[Score (MFE)] 257-MS-POS,[Score (MFE)] 258-MS-POS,[Score (MFE)] 259-MS-POS,[Score (MFE)] 260-MS-POS,[Score (MFE)] 261-MS-POS,[Score (MFE)] 262-MS-POS,[Score (MFE)] 263-MS-POS,[Score (MFE)] 264-MS-POS,[Score (MFE)] 265-MS-POS,[Score (MFE)] 266-MS-POS,[Score (MFE)] 267-MS-POS,[Score (MFE)] 268-MS-POS,[Score (MFE)] 269-MS-POS,[Score (MFE)] 270_POS,[Score (MFE)] 271_POS,[Score (MFE)] 272_POS,[Score (MFE)] 273_POS,[Score (MFE)] QC1_POS,[Score (MFE)] QC2_POS,[Score (MFE)] QC3_POS,[Score (Tgt)] 250-MS-POS,[Score (Tgt)] 251-MS-POS,[Score (Tgt)] 252-MS-POS,[Score (Tgt)] 253-MS-POS,[Score (Tgt)] 254-MS-POS,[Score (Tgt)] 255-MS-POS,[Score (Tgt)] 256-MS-POS,[Score (Tgt)] 257-MS-POS,[Score (Tgt)] 258-MS-POS,[Score (Tgt)] 259-MS-POS,[Score (Tgt)] 260-MS-POS,[Score (Tgt)] 261-MS-POS,[Score (Tgt)] 262-MS-POS,[Score (Tgt)] 263-MS-POS,[Score (Tgt)] 264-MS-POS,[Score (Tgt)] 265-MS-POS,[Score (Tgt)] 266-MS-POS,[Score (Tgt)] 267-MS-POS,[Score (Tgt)] 268-MS-POS,[Score (Tgt)] 269-MS-POS,[Score (Tgt)] 270_POS,[Score (Tgt)] 271_POS,[Score (Tgt)] 272_POS,[Score (Tgt)] 273_POS,[Score (Tgt)] QC1_POS,[Score (Tgt)] QC2_POS,[Score (Tgt)] QC3_POS,[Ions] 250-MS-POS,[Ions] 251-MS-POS,[Ions] 252-MS-POS,[Ions] 253-MS-POS,[Ions] 254-MS-POS,[Ions] 255-MS-POS,[Ions] 256-MS-POS,[Ions] 257-MS-POS,[Ions] 258-MS-POS,[Ions] 259-MS-POS,[Ions] 260-MS-POS,[Ions] 261-MS-POS,[Ions] 262-MS-POS,[Ions] 263-MS-POS,[Ions] 264-MS-POS,[Ions] 265-MS-POS,[Ions] 266-MS-POS,[Ions] 267-MS-POS,[Ions] 268-MS-POS,[Ions] 269-MS-POS,[Ions] 270_POS,[Ions] 271_POS,[Ions] 272_POS,[Ions] 273_POS,[Ions] QC1_POS,[Ions] QC2_POS,[Ions] QC3_POS,
493.5581,0.37,0,1.59,0.031,275909,27,0,100.0,9.1,99.7,0.5,3,3,493.5584,493.5579,493.5579,493.5581,493.5580,493.5582,493.5581,493.5582,493.5581,493.5583,493.5580,493.5583,493.5581,493.5582,493.5582,493.5581,493.5580,493.5580,493.5582,493.5581,493.5579,493.5580,493.5584,493.5579,493.5587,493.5581,493.5581,1.596,1.593,1.598,1.589,1.583,1.598,1.583,1.587,1.586,1.585,1.599,1.582,1.580,1.586,1.607,1.597,1.595,1.586,1.596,1.584,1.599,1.588,1.583,1.611,1.595,1.584,1.595,3069754,2620064,2574342,2351607,2224732,2303353,2083225,1966819,2189864,1941193,2070952,1874989,2036014,2084528,1988197,2064258,1683471,2043999,1980263,2208722,1367666,2367265,1885644,1889762,3260186,1953048,2019529,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,100.0,73.3,100.0,79.1,100.0,100.0,78.6,100.0,87.0,81.3,100.0,87.0,100.0,93.1,84.1,99.49,98.13,98.84,98.70,98.35,99.25,98.15,98.65,98.37,98.59,98.37,97.83,97.48,98.49,99.13,98.49,99.00,97.70,98.80,98.12,98.87,98.27,98.34,98.34,99.73,98.15,99.21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
131.0949,1.60,0,6.57,0.042,387458,19,8,100.0,0.0,91.9,11.6,1,2,131.0953,131.0950,131.0952,131.0948,131.0951,,,,131.0949,131.0949,,131.0948,131.0949,131.0948,131.0948,131.0947,131.0947,,,,131.0947,,131.0949,131.0955,131.0950,131.0949,131.0948,6.561,6.570,6.563,6.566,6.565,,,,6.574,6.567,,6.570,6.573,6.568,6.567,6.573,6.566,,,,6.564,,6.565,6.532,6.566,6.566,6.566,10211,1587845,2607,1645940,1804194,,,,899,1235657,,1714643,1279896,1932184,1611942,1625800,2031349,,,,911247,,679045,3239,818676,837418,846641,,100.0,,100.0,100.0,,,,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,,100.0,,100.0,100.0,100.0,66.66,91.26,63.12,91.79,91.08,,,,89.77,91.68,,91.80,91.27,91.79,91.82,91.78,91.90,,,,91.66,,91.26,63.59,91.49,91.60,91.62,2,2,1,2,2,,,,2,2,,2,2,2,2,2,2,,,,2,,2,2,2,2,2,
751.5772,1.86,0,1.77,0.043,644895,22,5,100.0,23.6,90.9,7.2,4,7,,751.5761,751.5800,751.5775,751.5759,751.5796,,,751.5779,751.5770,,751.5767,751.5765,751.5773,751.5769,751.5773,751.5756,751.5754,751.5794,,751.5765,751.5758,751.5772,751.5803,751.5765,751.5765,751.5771,,1.767,1.782,1.763,1.768,1.799,,,1.765,1.764,,1.767,1.764,1.765,1.764,1.765,1.769,1.760,1.780,,1.773,1.778,1.756,1.773,1.758,1.763,1.758,,795310,4257,777166,474537,1227,,,3230,6902652,,716223,6134821,1487536,5667652,7012189,738098,2914,2770,,6895113,7629,6187336,8682,3782553,2954940,2624454,,,,,40.2,,,,,100.0,,,80.0,74.6,100.0,60.7,,,,,100.0,,80.0,,100.0,100.0,80.0,,86.47,86.44,86.65,84.23,68.90,,,80.00,90.11,,87.77,89.12,86.03,89.95,90.94,86.91,73.10,80.09,,89.39,82.94,89.92,73.93,88.64,89.54,89.42,,4,7,5,6,7,,,7,6,,6,6,5,6,6,4,6,6,,6,6,6,6,6,6,6,
705.5901,1.79,0,1.77,0.060,487644,27,0,100.0,7.3,93.5,10.2,4,7,705.5895,705.5895,705.5906,705.5905,705.5901,705.5926,705.5905,705.5895,705.5897,705.5902,705.5868,705.5899,705.5902,705.5904,705.5901,705.5907,705.5910,705.5886,705.5887,705.5880,705.5896,705.5907,705.5908,705.5935,705.5900,705.5902,705.5908,1.769,1.778,1.754,1.774,1.774,1.771,1.757,1.749,1.726,1.786,1.773,1.773,1.776,1.776,1.781,1.781,1.775,1.782,1.747,1.741,1.773,1.767,1.779,1.768,1.763,1.768,1.763,8684,4114937,12643,4109458,4119656,12399,4337,5132,8118,2294914,3013,4033207,1612178,3353174,1988987,2184412,4074561,22158,9579,10018,2270659,16219,1646472,23048,2564342,2233949,2575277,,100.0,,100.0,100.0,,,,,100.0,,100.0,100.0,100.0,80.0,100.0,100.0,,,,100.0,,79.5,,100.0,98.5,100.0,80.62,91.24,84.84,90.45,90.99,75.43,82.26,63.30,67.47,89.66,71.88,91.30,87.09,90.50,89.40,90.80,89.76,83.42,79.11,76.45,93.47,78.96,84.98,67.09,88.85,90.44,88.56,5,4,6,6,5,5,7,4,5,7,5,6,7,4,7,7,6,6,6,5,7,4,7,4,6,6,6,
817.6313,1.49,0,1.80,0.057,649227,17,10,100.0,21.4,97.6,13.7,4,10,,817.6319,,817.6316,817.6321,,817.6280,,,817.6313,,817.6318,817.6312,817.6327,817.6314,817.6311,817.6326,,817.6293,,817.6301,,817.6327,,817.6307,817.6315,817.6318,,1.801,,1.802,1.796,,1.785,,,1.797,,1.801,1.798,1.799,1.792,1.798,1.803,,1.836,,1.801,,1.795,,1.786,1.780,1.780,,3004320,,2580328,2812770,,828,,,1392030,,2931373,1655626,2833340,1601292,1340575,3020580,,2380,,1532659,,1286181,,1850552,2959835,1776015,,70.2,,80.0,80.0,,,,,39.1,,100.0,74.7,100.0,72.4,100.0,76.0,,,,73.0,,,,98.5,68.5,97.0,,87.31,,88.78,93.29,,72.82,,,71.07,,85.64,71.82,95.38,72.22,72.03,86.29,,60.07,,73.06,,71.45,,93.94,84.21,97.64,,7,,7,8,,4,,,4,,7,5,6,4,5,7,,4,,4,,5,,10,9,10,
255.9573,0.21,0,9.67,0.035,211568,27,0,100.0,11.8,99.8,0.6,6,6,255.9573,255.9573,255.9574,255.9573,255.9572,255.9573,255.9573,255.9573,255.9573,255.9574,255.9573,255.9572,255.9573,255.9572,255.9573,255.9573,255.9573,255.9573,255.9573,255.9573,255.9573,255.9572,255.9573,255.9573,255.9572,255.9573,255.9572,9.657,9.671,9.675,9.667,9.667,9.659,9.650,9.681,9.664,9.685,9.671,9.671,9.669,9.664,9.679,9.669,9.684,9.680,9.668,9.662,9.666,9.671,9.677,9.672,9.662,9.661,9.656,1864509,1775431,2643831,2166565,1109617,2619454,2156790,1868843,3313645,2118131,2612469,1915536,1140733,1442020,1811910,2770392,1806609,1977530,1547835,1937604,1616869,912427,1860435,2056358,2697450,2259894,4052494,100.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.1,98.9,83.2,100.0,58.5,100.0,100.0,82.6,100.0,100.0,100.0,81.8,99.0,66.1,85.6,100.0,100.0,100.0,99.71,99.44,99.03,99.50,99.55,99.56,99.32,98.16,99.80,97.83,99.45,99.50,99.56,99.57,98.58,99.61,98.03,98.52,99.55,99.68,99.63,99.47,98.95,99.37,99.81,99.81,99.68,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
607.0812,1.14,0,8.87,0.063,224107,23,4,100.0,11.6,99.8,22.5,2,7,607.0813,607.0818,607.0813,607.0815,607.0810,607.0812,,607.0833,,607.0811,607.0813,607.0809,607.0815,607.0814,607.0811,607.0812,607.0810,607.0789,607.0812,,607.0810,607.0811,607.0811,,607.0810,607.0811,607.0812,8.873,8.876,8.864,8.866,8.866,8.853,,8.841,,8.845,8.904,8.876,8.874,8.869,8.857,8.857,8.861,8.874,8.878,,8.876,8.859,8.871,,8.878,8.866,8.861,1714,2765990,9886,2968405,2872143,6546,,1288,,141099,1365,2855261,147492,2754567,140227,156694,2690360,2884,504,,138193,448,113373,,1132238,1104845,1176934,,100.0,,100.0,100.0,,,,,57.8,,100.0,100.0,100.0,97.4,,100.0,,,,100.0,,100.0,,100.0,100.0,100.0,64.13,98.99,77.61,99.51,99.83,67.41,,61.38,34.30,78.10,60.65,99.65,85.56,99.48,82.94,79.95,99.69,60.32,62.91,,79.83,64.10,84.91,,99.12,99.69,99.57,2,7,4,7,7,3,,2,,4,3,7,6,7,6,5,7,2,2,,5,3,5,,7,7,7,
650.6437,0.17,0,14.18,0.071,241347,27,0,93.0,15.5,86.2,1.5,3,3,650.6438,650.6435,650.6437,650.6439,650.6436,650.6436,650.6436,650.6438,650.6437,650.6436,650.6435,650.6437,650.6437,650.6435,650.6437,650.6436,650.6437,650.6437,650.6438,650.6436,650.6436,650.6438,650.6438,650.6437,650.6437,650.6438,650.6436,14.191,14.161,14.182,14.212,14.173,14.199,14.184,14.193,14.198,14.157,14.211,14.189,14.203,14.181,14.191,14.181,14.191,14.142,14.157,14.180,14.177,14.172,14.178,14.184,14.196,14.162,14.168,4647579,4298711,4878676,4673894,213867,4703032,4812862,3968869,4418859,4164768,3566112,4408506,4816107,3505453,4245682,4365889,4330330,3229896,4025665,4240953,4750444,4094805,4282911,4314471,2943312,4267172,4780132,66.4,53.8,68.1,58.5,60.0,71.9,76.2,76.4,93.0,54.4,82.5,56.0,65.5,67.9,58.6,55.5,69.2,68.9,67.9,57.8,58.6,65.0,52.2,62.9,56.4,57.5,49.7,85.67,83.46,85.31,83.49,85.06,84.73,84.98,85.34,85.43,83.18,82.54,85.57,85.15,85.92,85.14,85.94,85.21,80.67,83.22,85.37,85.27,85.19,86.17,86.16,85.50,83.76,84.90,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
813.6241,4.25,0,1.76,0.030,677234,24,3,100.0,23.1,91.2,21.6,2,6,813.6259,813.6253,,813.6264,813.6260,,813.6271,813.6317,813.6213,813.6197,,813.6260,813.6197,813.6268,813.6198,813.6191,813.6271,813.6225,813.6280,813.6202,813.6191,813.6256,813.6207,813.6272,813.6245,813.6246,813.6255,1.769,1.756,,1.757,1.751,,1.774,1.777,1.771,1.758,,1.756,1.759,1.754,1.759,1.753,1.758,1.760,1.758,1.780,1.756,1.767,1.751,1.768,1.752,1.752,1.752,11426,4453671,,4992339,4796842,,8959,7110,10221,2519217,,4899184,2453103,4938707,2426477,2460246,4692912,8702,13560,7532,2366687,8450,2397600,9255,3004268,3077569,3264116,,96.4,,95.4,79.1,,,,,38.3,,93.9,59.7,97.0,76.1,55.3,91.0,,,,73.8,,77.1,,100.0,100.0,100.0,64.10,91.18,50.57,89.04,89.76,64.14,70.55,63.39,71.87,55.65,46.52,88.65,53.19,87.86,52.96,53.30,87.30,77.68,69.28,65.16,50.21,83.37,56.49,67.94,88.89,86.68,88.97,5,5,,5,5,,3,2,4,3,,5,3,5,3,3,5,2,2,2,3,3,3,4,5,6,6,
249.9803,0.23,0,5.56,0.080,181602,27,0,100.0,6.8,91.2,1.7,3,3,249.9803,249.9802,249.9803,249.9801,249.9802,249.9802,249.9802,249.9803,249.9803,249.9803,249.9803,249.9803,249.9803,249.9803,249.9804,249.9803,249.9804,249.9802,249.9803,249.9803,249.9803,249.9802,249.9803,249.9803,249.9802,249.9803,249.9803,5.565,5.551,5.555,5.525,5.575,5.583,5.586,5.561,5.555,5.587,5.568,5.523,5.554,5.566,5.543,5.538,5.604,5.566,5.570,5.565,5.557,5.562,5.557,5.574,5.575,5.530,5.531,1520103,1522236,1653122,1574935,1859886,1502156,1785559,1590128,1982796,1883470,1805060,1797050,1714690,1782855,1818526,2201125,1721765,1657083,2099616,1740826,2307074,1808280,1748863,1767585,1831641,2042797,1911924,87.0,97.9,100.0,92.2,100.0,84.8,100.0,93.2,91.3,84.1,83.5,86.9,92.1,85.4,86.2,94.4,82.3,78.4,95.3,95.8,82.7,93.5,94.1,100.0,89.1,91.5,93.6,90.87,91.24,90.67,87.63,90.26,89.42,88.59,91.01,90.68,88.37,90.45,87.33,91.04,90.58,90.43,89.77,84.97,90.73,90.92,90.92,91.16,90.88,91.23,90.34,90.25,88.71,88.83,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
203.0795,2.37,0,8.87,0.092,232308,20,7,100.0,5.2,91.9,18.1,1,4,203.0790,203.0795,,203.0795,203.0794,,203.0797,203.0810,,203.0794,,203.0793,203.0794,203.0794,203.0793,203.0793,203.0794,203.0790,203.0806,,203.0792,,203.0794,,203.0794,203.0793,203.0794,8.873,8.876,,8.866,8.872,,8.805,8.813,,8.873,,8.876,8.879,8.869,8.868,8.868,8.867,8.897,8.856,,8.871,,8.871,,8.872,8.866,8.878,1492,1869881,,1936233,1872178,,829,278,,294446,,1527438,245842,1582473,287392,322026,1511493,980,304,,215232,,153596,,498014,503499,495037,,100.0,,100.0,100.0,,,,,100.0,,100.0,100.0,100.0,80.0,100.0,100.0,,,,100.0,,100.0,,100.0,100.0,100.0,60.76,91.72,,91.81,91.85,,52.31,52.54,,91.69,,91.80,91.27,91.80,91.19,91.88,91.81,62.20,62.63,,91.62,,91.62,,91.56,90.80,91.24,2,4,,4,4,,2,2,,3,,4,3,4,3,3,4,1,2,,3,,2,,3,4,3,
663.1085,3.11,0,8.73,0.107,213079,27,0,100.0,0.0,99.7,31.8,1,9,663.1103,663.1093,663.1084,663.1092,663.1090,663.1084,663.1072,663.1017,663.1117,663.1094,663.1073,663.1090,663.1090,663.1085,663.1085,663.1090,663.1093,663.1105,663.1079,663.1047,663.1096,663.1117,663.1093,663.1048,663.1086,663.1088,663.1086,8.733,8.731,8.729,8.726,8.726,8.713,8.749,8.701,8.723,8.733,8.731,8.736,8.734,8.734,8.739,8.728,8.733,8.712,8.733,8.789,8.725,8.809,8.737,8.799,8.738,8.732,8.727,10232,2637436,26682,2657936,2625826,22601,1956,12792,781,251227,6379,2397293,247888,2346977,278653,273355,2451722,15787,1447,12122,200229,783,175587,11639,900968,836366,918075,,100.0,,100.0,100.0,,,,,,,100.0,,100.0,,,100.0,,,,,,,,100.0,100.0,100.0,72.88,99.68,92.59,99.53,99.35,75.72,73.44,8.09,77.22,89.01,70.28,99.34,93.59,98.75,91.82,87.28,99.73,77.35,64.73,24.85,97.13,53.64,95.63,25.20,98.38,98.18,99.48,4,9,5,9,9,4,3,1,3,8,3,9,8,9,7,8,9,3,3,1,8,3,8,1,8,9,8,
386.3871,0.25,0,2.03,0.054,260264,27,0,100.0,7.1,99.6,1.1,3,3,386.3873,386.3870,386.3871,386.3869,386.3872,386.3871,386.3871,386.3871,386.3870,386.3871,386.3871,386.3871,386.3871,386.3870,386.3872,386.3870,386.3872,386.3873,386.3871,386.3871,386.3871,386.3870,386.3870,386.3870,386.3872,386.3871,386.3870,2.038,2.041,2.029,2.048,2.037,2.034,2.031,2.034,2.039,2.021,2.047,2.013,2.028,2.011,2.022,2.033,2.026,2.051,2.021,2.027,2.019,2.052,2.059,2.048,2.060,2.026,2.065,2552929,1937124,2641822,2185590,2035032,2517642,2774886,2551362,2702938,2376148,2342739,2039652,2148558,2118816,2364057,2074179,2126839,2688244,2421354,2514984,2351381,2769725,2083558,2608513,2504472,2453057,1222453,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,100.0,100.0,80.0,87.0,100.0,87.0,100.0,100.0,87.0,87.0,100.0,87.0,100.0,100.0,100.0,100.0,87.0,87.0,100.0,99.57,99.27,98.60,99.54,99.02,98.96,98.88,99.07,99.41,97.35,99.60,95.78,98.05,95.62,97.43,98.50,98.42,99.61,97.63,98.07,96.91,99.40,98.63,99.37,98.94,98.27,97.95,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
131.0947,1.50,0,6.72,0.059,253994,18,9,100.0,0.0,91.9,9.7,1,2,131.0946,131.0946,,131.0947,131.0946,,,,,131.0946,,131.0947,131.0947,131.0945,131.0947,131.0947,131.0946,131.0954,,,131.0946,131.0946,131.0946,,131.0946,131.0946,131.0946,6.712,6.715,,6.722,6.722,,,,,6.729,,6.727,6.730,6.725,6.735,6.724,6.723,6.730,,,6.727,6.676,6.727,,6.723,6.728,6.717,13729,1616767,,1770158,1712955,,,,,1053534,,1456669,968629,1655937,1364772,1211137,1707916,475,,,687115,2017,553947,,713919,704696,749190,,100.0,,100.0,100.0,,,,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,,100.0,,100.0,100.0,100.0,85.00,91.81,,91.81,91.90,,,,,91.59,,91.80,91.67,91.81,91.18,91.84,91.91,75.19,,,91.81,58.54,91.78,,91.91,91.69,91.80,2,2,,2,2,,,,,2,,2,2,2,2,2,2,2,,,2,1,2,,2,2,2,
412.4029,0.28,0,1.99,0.033,215441,27,0,100.0,16.2,91.7,1.3,2,2,412.4030,412.4027,412.4029,412.4028,412.4029,412.4028,412.4029,412.4029,412.4028,412.4029,412.4031,412.4029,412.4029,412.4030,412.4032,412.4029,412.4029,412.4030,412.4028,412.4029,412.4029,412.4026,412.4028,412.4028,412.4030,412.4029,412.4028,2.004,1.985,2.001,2.009,1.981,1.978,2.009,1.995,1.995,1.999,1.980,1.997,1.994,1.995,1.994,1.989,2.004,1.983,1.993,1.999,2.002,1.996,1.980,2.003,1.998,1.987,1.976,2458721,1798149,1976572,1914568,1466754,1997936,1937622,1983669,2310770,1871488,1928780,1778431,1178485,1700246,1239323,1772582,1647954,1976715,1344917,2178954,1731989,2074059,1613354,1997937,1988545,1810373,2166161,100.0,,100.0,100.0,70.2,100.0,100.0,66.0,100.0,79.7,100.0,100.0,100.0,100.0,71.8,100.0,70.1,100.0,,60.0,,100.0,100.0,79.0,100.0,87.0,67.5,91.73,89.36,91.54,91.70,88.85,88.65,91.61,91.10,91.02,91.46,88.91,91.25,90.99,90.89,90.83,90.21,91.73,89.48,90.76,91.42,91.63,91.04,88.78,91.63,91.28,89.84,88.15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
729.5716,2.07,0,1.76,0.080,458162,18,9,100.0,30.5,91.7,23.4,2,4,,729.5701,729.5721,,729.5711,,,,,729.5711,,729.5709,729.5708,729.5727,729.5709,729.5713,729.5725,729.5759,729.5698,,729.5705,,729.5714,729.5743,729.5715,729.5704,729.5708,,1.761,1.760,,1.774,,,,,1.769,,1.767,1.764,1.765,1.764,1.765,1.769,1.776,1.696,,1.773,,1.762,1.757,1.758,1.763,1.769,,263529,1363,,288301,,,,,3978833,,281739,4173204,253706,3376521,3834731,235367,2757,704,,3752121,,3936949,4044,1718283,1778302,1629219,,87.3,,63.4,84.5,,,,,100.0,,41.6,100.0,72.7,100.0,100.0,16.1,,,,100.0,,100.0,,100.0,100.0,100.0,,62.12,62.94,60.43,59.81,,,,,91.60,,61.15,91.69,63.20,91.65,91.36,64.24,63.83,53.46,37.44,91.04,,91.42,62.95,90.74,88.62,90.64,,2,2,,2,,,,,3,,2,3,2,3,3,2,4,4,,3,,3,3,4,4,3,
747.5655,1.93,0,1.76,0.059,582563,21,6,80.0,21.5,89.3,15.6,3,6,,747.5660,,747.5669,747.5662,,,,,747.5653,747.5622,747.5660,747.5650,747.5669,747.5651,747.5655,747.5671,747.5622,747.5672,747.5668,747.5646,747.5633,747.5657,747.5645,747.5657,747.5661,747.5663,,1.784,,1.780,1.774,,,,,1.769,1.728,1.784,1.764,1.787,1.764,1.765,1.769,1.754,1.736,1.775,1.773,1.761,1.756,1.785,1.758,1.763,1.752,,1498424,,1441765,1484470,,,,,4940443,1490,1436341,4628035,1333162,4570678,5027444,1446424,5463,3139,2699,4926565,6514,4852257,2357,2346856,2631408,2478951,,80.0,,80.0,37.7,,,,,80.0,,53.0,45.0,72.0,80.0,,78.2,,,,80.0,,80.0,,,80.0,80.0,,65.19,,68.40,62.51,,48.58,,,88.89,52.97,68.28,85.22,63.60,81.80,87.28,62.76,79.05,68.62,70.36,89.26,70.49,81.55,82.43,80.83,81.13,80.83,,6,,6,6,,,,,5,4,6,5,6,5,5,6,5,3,5,5,5,5,5,6,6,6,
241.1192,1.83,0,8.73,0.129,94956,24,3,100.0,12.9,91.4,19.1,1,2,241.1196,241.1191,241.1189,241.1191,241.1190,241.1188,241.1199,,,241.1191,241.1201,241.1191,241.1190,241.1190,241.1191,241.1191,241.1191,241.1187,241.1205,,241.1190,241.1192,241.1190,241.1198,241.1190,241.1191,241.1190,8.705,8.658,8.712,8.710,8.720,8.763,8.743,,,8.728,8.731,8.731,8.739,8.734,8.728,8.734,8.716,8.729,8.738,,8.787,8.758,8.737,8.737,8.727,8.738,8.755,8741,1924271,13729,2005293,1867100,6280,491,,,1158202,2561,1820801,1112062,1910014,1307723,1374933,1624163,8905,239,,604393,5691,75939,1090,540920,653926,517442,,79.4,,87.0,87.0,,,,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,67.5,87.0,72.5,62.15,78.75,63.44,90.14,90.55,60.80,62.18,,,91.44,61.87,91.09,90.88,91.21,91.39,91.36,91.04,64.01,59.23,49.02,82.34,61.93,89.95,63.02,91.16,91.09,89.35,1,2,1,2,2,1,1,,,2,1,2,2,2,2,2,2,1,1,,2,1,2,1,2,2,2,
414.4184,0.31,0,1.99,0.035,260694,27,0,100.0,7.3,96.5,1.4,3,3,414.4186,414.4183,414.4184,414.4183,414.4185,414.4184,414.4184,414.4185,414.4183,414.4184,414.4185,414.4187,414.4183,414.4184,414.4187,414.4184,414.4185,414.4185,414.4184,414.4183,414.4184,414.4181,414.4183,414.4183,414.4186,414.4184,414.4183,1.993,1.968,1.973,1.964,1.975,1.978,1.998,1.984,1.995,1.988,1.991,1.997,1.988,1.983,1.999,1.972,1.993,1.972,1.987,1.999,1.985,1.985,1.980,1.969,1.970,1.970,1.987,2770306,2097018,2449256,2107214,1753964,2330057,2555660,2212223,2522951,2457597,2404777,1289464,2152864,2699301,2151702,2212328,1834214,2538944,2323968,2537079,2343401,2090184,1935895,2663577,1888990,2144313,2515808,100.0,76.4,100.0,100.0,100.0,82.6,100.0,100.0,86.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.3,87.0,96.50,92.05,93.43,91.11,94.71,94.51,94.83,93.86,93.85,95.15,95.36,94.40,92.83,92.89,93.87,92.54,93.77,91.69,93.04,94.09,94.64,93.55,91.48,91.75,92.05,92.45,93.45,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
